name,release_date,rating,metacritic,playtime,genres
Operation Flashpoint: Red River,2011-04-19,2.66,67.0,1,"Shooter, Strategy, Action"
Dungeons of Dredmor,2011-07-13,3.46,79.0,3,"Indie, RPG"
LittleBigPlanet 2,2011-01-18,4.08,,5,"Arcade, Action"
Cthulhu Saves the World,2011-07-13,2.98,78.0,3,"Indie, Adventure, RPG"
Capsized,2011-04-28,2.8,80.0,1,"Indie, Platformer, Adventure, Action"
Rochard,2011-11-15,3.09,81.0,1,"Casual, Indie, Action"
Space Pirates and Zombies,2011-08-14,3.11,74.0,2,"Strategy, Indie, Action, RPG"
Grimm - GameClub,2011-01-04,1.94,,0,"Indie, Adventure, Action, Puzzle"
Uncharted: Golden Abyss,2011-12-17,3.81,80.0,16,"Adventure, Action"
Rock of Ages,2011-08-31,3.51,74.0,2,"Racing, Strategy, Platformer, Action"
RIFT,2011-03-01,2.96,84.0,4,"Adventure, Action, RPG, Strategy, Massively Multiplayer"
Breath of Death VII,2011-07-13,2.68,,1,"Indie, RPG"
Serious Sam: The Random Encounter,2011-10-24,2.65,64.0,1,"Indie, Action, RPG"
DC Universe Online,2011-01-11,2.95,72.0,5,"Massively Multiplayer, Adventure, Action, RPG"
LEGO Star Wars III - The Clone Wars,2011-03-21,3.75,76.0,3,"Arcade, Family, Adventure, Action"
Ni no Kuni: Wrath of the White Witch,2011-11-17,4.19,84.0,47,RPG
Serious Sam Double D XXL,2011-08-30,2.68,67.0,1,"Shooter, Indie, Action"
Driver San Francisco,2011-09-01,3.77,80.0,4,"Racing, Arcade, Action"
Dead Rising 2: Off the Record,2011-04-13,3.5,66.0,5,"Adventure, Action"
Gemini Rue,2011-02-23,3.67,82.0,2,"Indie, Adventure, RPG"
Universe Sandbox,2011-04-29,3.02,83.0,2,"Casual, Indie, Simulation"
Worms Crazy Golf,2011-10-18,2.57,73.0,1,"Action, Puzzle, Casual, Strategy, Arcade, Sports"
Hector: Badge of Carnage - Full Series,2011-04-27,2.48,75.0,4,"Casual, Adventure"
Jetpack Joyride,2011-09-01,3.57,90.0,5,"Arcade, Casual, Adventure, Action"
ARMA: Gold Edition,2011-07-13,2.65,,1,"Strategy, Action, Simulation"
STREET FIGHTER X TEKKEN,2011-09-05,3.32,81.0,4,"Action, Fighting"
Steel Storm: Burning Retribution,2011-05-11,2.0,55.0,4,"Indie, Action"
Worms Pinball,2011-10-19,2.05,,1,Casual
The King of Fighters XIII,2011-11-18,3.63,,4,"Arcade, Action, Fighting"
Men of War: Assault Squad,2011-02-23,3.67,77.0,2,Strategy
Kingdom Rush,2011-12-19,4.15,,4,"Strategy, Indie, Action"
Ultimate Marvel vs. Capcom 3,2011-11-15,3.86,,2,Fighting
Atom Zombie Smasher,2011-03-14,2.97,75.0,1,"Strategy, Indie"
Solar 2,2011-06-17,3.18,72.0,2,"Casual, Indie, Action, Simulation"
FIFA 12,2011-09-27,3.43,85.0,0,Sports
Might & Magic: Heroes VI,2011-10-13,3.41,77.0,9,"Strategy, RPG"
Insanely Twisted Shadow Planet,2011-08-03,3.6,76.0,1,"Indie, Shooter, Adventure, Action"
Dwarfs!?,2011-05-04,2.34,,1,"Casual, Strategy, Indie"
DETOUR,2011-05-16,1.68,,3,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie"
From Dust,2011-07-27,3.44,76.0,2,"Strategy, Adventure, Simulation"
Anno 2070,2011-11-17,3.83,83.0,11,Strategy
Nuclear Dawn,2011-09-25,2.72,71.0,3,"Strategy, Action"
The Adventures of Shuggy,2011-06-15,2.46,,1,"Platformer, Indie, Action, Puzzle"
Stronghold Kingdoms,2011-12-01,2.36,75.0,1,"Strategy, Massively Multiplayer"
Gothic 3: Forsaken Gods Enhanced Edition,2011-03-22,2.99,,1,RPG
Need for Speed: The Run,2011-11-15,3.7,66.0,6,"Racing, Arcade"
Hacker Evolution Duality,2011-08-15,2.23,,1,Indie
Hydrophobia: Prophecy,2011-05-09,2.69,64.0,1,"Shooter, Adventure, Action, Strategy, Indie"
Test Drive Unlimited 2,2011-02-08,3.8,72.0,5,"Racing, Arcade"
Sparkle 2 Evo,2011-11-29,2.58,,3,"Action, Casual, Arcade, Simulation, Family, Indie"
Painkiller Redemption,2011-02-25,2.87,43.0,1,"Shooter, Action"
Another World – 20th Anniversary Edition,2011-09-22,4.01,,1,"Arcade, Platformer, Adventure, Action"
Blocks That Matter,2011-08-19,2.85,72.0,2,"Action, Puzzle, Casual, Platformer, Indie"
SHIFT 2 UNLEASHED,2011-03-08,3.53,84.0,2,Racing
TRAUMA,2011-08-08,2.3,62.0,1,"Casual, Indie, Adventure, Puzzle"
Wizorb,2011-11-07,3.48,81.0,2,"Indie, Adventure, Action"
Beyond Good & Evil HD,2011-03-02,3.91,84.0,1,"Adventure, Action"
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,2.71,,1,"Indie, Action, Sports"
The Witcher 2: Assassins of Kings,2011-05-17,4.33,88.0,41,RPG
Flatout 3: Chaos & Destruction,2011-12-13,2.01,23.0,1,Racing
Deus Ex: Human Revolution - The Missing Link,2011-10-18,3.83,,4,"Shooter, Action, RPG"
Take On Helicopters,2011-10-27,2.04,70.0,1,Simulation
ArcaniA: Fall of Setarrif,2011-10-23,2.36,41.0,1,"Action, RPG"
Avadon: The Black Fortress,2011-05-01,2.84,75.0,1,"Indie, Adventure, RPG"
Jurassic Park: The Game,2011-11-15,2.91,54.0,3,"Adventure, Action"
Galaxy on Fire 2 Full HD,2011-08-25,3.36,76.0,1,"Strategy, Adventure, RPG"
Forza Motorsport 4,2011-01-03,3.9,91.0,65,Racing
SpellForce 2: Faith in Destiny,2011-06-19,2.61,55.0,1,"Strategy, RPG"
Majesty 2 Collection,2011-04-18,3.46,,3,Strategy
MotorStorm: Apocalypse,2011-03-16,3.61,77.0,0,"Racing, Arcade"
SkyDrift,2011-09-06,2.81,73.0,1,"Racing, Indie, Action"
Champions Online,2011-06-14,2.23,72.0,3,"Massively Multiplayer, RPG"
Q.U.B.E.,2011-12-16,3.47,69.0,1,"Indie, Adventure, Action, Puzzle"
Killzone 3,2011-02-22,3.93,,60,"Shooter, Action"
Fractal: Make Blooms Not War,2011-11-29,2.27,,1,"Casual, Indie"
Waves,2011-11-16,3.5,82.0,1,"Casual, Indie, Arcade, Action"
The Legend of Zelda: Ocarina of Time 3D,2011-06-19,4.54,94.0,13,"Adventure, RPG, Puzzle"
No Time To Explain,2011-08-15,3.12,,2,Arcade
Two Worlds II Castle Defense,2011-05-17,2.15,,3,"Strategy, Arcade, Action"
Post Apocalyptic Mayhem,2011-03-17,2.74,44.0,3,"Racing, Action"
Blackwell Deception,2011-10-12,3.9,73.0,4,"Indie, Adventure"
Bloodline Champions,2011-01-13,2.68,79.0,1,"Massively Multiplayer, Action"
The Legend of Zelda: Skyward Sword,2011-11-20,4.13,93.0,33,Adventure
CHRONO TRIGGER (HD),2011-12-08,4.45,,3,RPG
LEGO Pirates of the Caribbean: The Video Game,2011-05-10,3.92,73.0,5,"Adventure, Action"
EverQuest II Free-To-Play. Your Way.,2011-12-07,2.29,83.0,2,"Massively Multiplayer, RPG"
Snuggle Truck,2011-04-28,2.19,,2,"Casual, Racing, Arcade, Indie"
Cities in Motion,2011-02-21,3.43,70.0,1,"Strategy, Simulation"
Battle vs Chess,2011-05-17,3.11,69.0,4,"Casual, Strategy, Board Games, Puzzle"
Elsword,2011-05-04,2.89,,1,"Adventure, Action, RPG, Casual, Massively Multiplayer"
BlazBlue: Continuum Shift Extend,2011-12-17,3.5,66.0,5,"Action, Fighting"
"Pokémon Black, White",2011-03-06,4.21,87.0,0,"Adventure, RPG"
Shadows of the Damned,2011-06-07,3.89,76.0,2,"Shooter, Action"
The First Templar,2011-05-05,3.24,57.0,1,"Adventure, Action"
Before the Echo,2011-10-20,2.92,70.0,2,"Indie, RPG"
BloodRayne Betrayal,2011-09-06,2.98,68.0,5,"Platformer, Adventure, Action"
Ratchet & Clank: All 4 One,2011-10-18,3.51,70.0,0,"Arcade, Adventure, Action"
Puzzle Pirates,2011-08-31,2.54,,1,"Casual, Massively Multiplayer, Strategy, Adventure"
A.V.A. Alliance of Valiant Arms,2011-06-14,1.62,,1,Action
Wasteland Angel,2011-09-01,1.92,,1,"Indie, Action"
A.R.E.S.: Extinction Agenda,2011-01-19,2.85,68.0,2,"Indie, Action"
Hunted: The Demon’s Forge,2011-05-31,3.27,61.0,2,"Adventure, Action"
Fortix 2,2011-05-06,2.77,74.0,3,"Casual, Indie"
Super Mario 3D Land,2011-11-03,4.17,90.0,17,Platformer
Hard Reset,2011-09-13,3.15,,2,"Shooter, Action"
Hamilton's Great Adventure,2011-05-31,2.67,77.0,2,"Casual, Indie, Adventure, Action"
The Next BIG Thing,2011-04-20,3.83,75.0,2,"Family, Adventure"
F1 2011,2011-09-19,3.48,83.0,2,"Racing, Sports"
Bunch of Heroes,2011-09-21,1.87,,1,"Indie, Action"
inMomentum,2011-10-31,2.47,59.0,1,"Racing, Indie"
CrimeCraft: GangWars,2011-08-22,1.65,68.0,1,"Massively Multiplayer, Action, RPG"
Men of War: Vietnam,2011-09-07,2.9,68.0,1,Strategy
Resistance 3,2011-09-06,4.01,83.0,12,"Shooter, Action"
DUNGEONS,2011-02-04,2.43,65.0,1,"Strategy, RPG"
Critical Mass,2011-06-20,2.16,81.0,1,"Casual, Indie"
The Baconing,2011-08-31,3.34,63.0,1,"Adventure, Action, RPG"
Xotic,2011-06-01,2.18,67.0,1,"Shooter, Indie, Action"
Lume,2011-05-09,3.0,69.0,1,"Casual, Indie, Adventure, Puzzle"
Gray Matter,2011-02-21,3.64,72.0,3,"Casual, Adventure"
Memoir '44 Online,2011-10-12,2.11,,1,"Casual, Strategy, Simulation"
Runespell: Overture,2011-07-20,2.31,69.0,3,"Indie, Adventure, RPG"
Trainz Simulator 12,2011-04-12,2.11,,2,Simulation
Section 8: Prejudice,2011-03-01,3.0,77.0,3,"Shooter, Action"
Dungeons - The Dark Lord,2011-09-27,2.4,72.0,1,"Strategy, RPG, Simulation"
Darkest Hour: A Hearts of Iron Game,2011-04-05,2.61,81.0,1,Strategy
Naval Warfare,2011-05-25,1.75,57.0,1,"Indie, Action"
Rocksmith,2011-10-18,4.19,78.0,9,"Casual, Simulation"
Call of Juarez: The Cartel,2011-05-20,2.71,51.0,4,"Shooter, Adventure, Action"
Ghostbusters: Sanctum of Slime,2011-03-23,2.84,33.0,1,"Arcade, Shooter, Adventure, Action"
Resident Evil Code: Veronica X HD,2011-09-08,4.06,,0,"Shooter, Adventure, Action"
TrackMania² Canyon,2011-09-14,3.84,81.0,3,"Racing, Sports"
Child of Eden,2011-06-14,3.32,,8,"Shooter, Arcade"
Enigmatis: The Ghosts of Maple Creek,2011-08-31,3.67,66.0,4,"Casual, Adventure, Puzzle"
Cargo! The Quest for Gravity,2011-04-21,3.11,,2,"Arcade, Adventure, Action, Simulation"
Virtua Tennis 4,2011-04-29,3.8,,2,Sports
Grotesque Tactics 2 – Dungeons and Donuts,2011-11-17,1.47,48.0,1,"Indie, Strategy, Adventure, RPG"
Defy Gravity,2011-01-07,2.21,,2,Arcade
"Warhammer 40,000: Kill Team",2011-07-13,2.88,66.0,2,"Shooter, Action"
The Cat and the Coup,2011-06-15,3.87,,1,"Indie, Platformer, Adventure"
