appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
2705100,breakfive,"Nanjing Baiku Network Technology Co., Ltd","Nanjing Baiku Network Technology Co., Ltd",,4,3,0,"50,000 .. 100,000",0,0,0,0,399,399,0,0
483980,Mad Father,sen,PLAYISM,,4399,120,0,"50,000 .. 100,000",347,0,639,0,999,999,0,10
1096410,Vampire: The Masquerade - Coteries of New York,Draw Distance,Draw Distance,,1886,692,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,7
805590,ARMORED HEAD,Egor Rezenov,Egor Rezenov,,1034,12,0,"50,000 .. 100,000",0,0,0,0,499,499,0,1
965230,DORAEMON  STORY OF SEASONS,"Marvelous Inc., Brownies Inc.",BANDAI NAMCO Entertainment,,1680,374,0,"50,000 .. 100,000",0,0,0,0,4999,4999,0,16
1303270,Ungeon,Jonas Dall,Jonas Dall,,1,0,0,"50,000 .. 100,000",0,0,0,0,399,399,0,0
343070,World of Subways 4 – New York Line 7,TML-Studios,Aerosoft GmbH,,233,106,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,2
1681350,时空梦魇Ⅰ代号608,Clock In Dream,Clock In Dream,,7,5,0,"50,000 .. 100,000",0,0,0,0,699,699,0,0
1361480,"Robots, Death & Venice",FX Animation | Barcelona 3D &amp; Film School,FX Animation | Barcelona 3D &amp; Film School,,18,7,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
391280,Epic Manager - Create Your Own Adventuring Agency!,ManaVoid Entertainment,"ManaVoid Entertainment, Indie Asylum",,157,75,0,"50,000 .. 100,000",0,0,0,0,899,1799,50,2
1471000,Nevermore - Documentary Kinetic Novel,Nikita Kaf Jam Productions,Nikita Kaf Jam Publishing,,2,1,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
437570,GoNNER,Art in Heart,Raw Fury,,1052,224,0,"50,000 .. 100,000",158,0,215,0,199,999,80,0
553340,SolarGun,Mechanical Boss,Mechanical Boss,,171,32,0,"50,000 .. 100,000",0,0,0,0,99,99,0,0
1347140,NEAR DEADline,Dumb ****ing Horse,Scarecrow Arts,,63,8,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
618080,Martial Arts Brutality,Cold Beam Games,Cold Beam Games,,575,107,0,"50,000 .. 100,000",1,0,1,0,0,0,0,0
1307370,Rain City,big pineapple,Cotton Game,,65,37,0,"50,000 .. 100,000",0,0,0,0,399,399,0,0
1937750,Prime of Flames,RAYKA STUDIO,RAYKA STUDIO,,825,108,0,"50,000 .. 100,000",0,0,0,0,999,999,0,11
2326510,Ettrian - The Elf Prince,Metthink,Metthink Universe,,9,3,0,"50,000 .. 100,000",0,0,0,0,499,499,0,1
102200,Runespell: Overture,Mystic Box,Mystic Box,,281,98,0,"50,000 .. 100,000",0,0,0,0,999,999,0,0
2095340,Road 96: Mile 0,Digixart,"Digixart, Ravenscourt",,717,325,0,"50,000 .. 100,000",426,0,617,0,1296,1296,0,17
