name,release_date,rating,rating_top,metacritic,playtime,genres
The Legend of Zelda: Ocarina of Time,1998-11-21,4.39,5,99.0,7,"Adventure, Action, RPG"
Soulcalibur (1998),1998-07-30,0.0,0,98.0,0,Fighting
Soulcalibur,1998-07-30,4.39,5,98.0,6,"Action, Fighting"
Half-Life,1998-11-08,4.38,5,96.0,3,"Shooter, Action"
Grim Fandango,1998-10-14,4.39,5,94.0,1,Adventure
Metal Gear Solid,1998-09-03,4.42,5,94.0,1,Action
Thief: The Dark Project,1998-12-02,4.35,5,92.0,0,Action
Banjo-Kazooie,1998-05-31,4.23,5,92.0,2,"Platformer, Adventure, Action, Puzzle"
Crash Bandicoot 3: Warped,1998-10-31,4.33,5,91.0,5,"Platformer, Action"
Baldur's Gate,1998-12-21,4.36,5,91.0,76,"Strategy, RPG"
Resident Evil 2 (1998),1998-01-21,4.33,5,90.0,13,Action
Railroad Tycoon 2,1998-11-02,0.0,0,89.0,0,Strategy
Railroad Tycoon II,1998-10-31,4.3,5,89.0,0,Strategy
Myth 2: Soulblighter,1998-11-30,0.0,0,88.0,0,Strategy
Need for Speed 3: Hot Pursuit,1998-03-25,4.08,4,88.0,2,"Racing, Arcade"
StarCraft,1998-03-31,4.38,5,88.0,1,Action
Shogo: Mobile Armor Division,1998-09-30,4.0,4,88.0,1,"Strategy, Shooter, Adventure, Action"
R4: Ridge Racer Type 4,1998-12-03,4.0,4,88.0,0,Racing
Tenchu: Stealth Assassins,1998-02-26,4.37,4,87.0,0,"Adventure, Action"
The Adventures of Alundra,1998-01-01,4.12,4,86.0,1,"Action, RPG, Puzzle"
Fallout 2,1998-09-30,4.35,5,86.0,2,RPG
Tom Clancy's Rainbow Six,1998-08-21,3.84,4,85.0,1,"Strategy, Shooter, Adventure, Action"
F-Zero X,1998-07-14,4.41,4,85.0,0,Racing
Xenogears (1998),1998-02-11,4.37,5,84.0,0,RPG
Suikoden II,1998-12-17,4.34,5,82.0,12,RPG
Parasite Eve,1998-03-15,4.38,5,81.0,12,RPG
Brave Fencer Musashi,1998-07-16,4.2,5,81.0,0,"Action, RPG"
Star Ocean: The Second Story,1998-07-30,4.33,5,80.0,0,RPG
Puzzle Bobble 4,1998-08-06,0.0,4,79.0,0,"Arcade, Puzzle"
Mario Party,1998-12-18,4.1,4,79.0,0,Board Games
Bomberman Party Edition,1998-12-10,0.0,0,79.0,0,"Action, Puzzle"
Castlevania (1999),1998-12-31,3.23,4,78.0,0,"Adventure, Action"
G Darius (1998),1998-04-09,0.0,0,78.0,0,"Shooter, Action"
Soul Caliber,1998-07-30,0.0,0,76.0,0,Fighting
Battlezone 98 Redux,1998-02-28,3.0,4,75.0,3,"Strategy, Action"
Blood II: The Chosen,1998-10-31,3.16,3,72.0,0,"Shooter, Action"
F-1 World Grand Prix,1998-07-31,0.0,0,71.0,0,"Racing, Sports"
Emergency: Fighters for Life,1998-07-31,0.0,4,71.0,0,Strategy
Mystical Ninja Starring Goemon (1997),1998-04-16,4.2,5,67.0,0,"Action, RPG"
MediEvil I,1998-10-01,3.99,4,67.0,0,"Adventure, Action"
Vanguard Bandits,1998-07-30,4.29,5,62.0,0,Strategy
Of Light and Darkness: The Prophecy,1998-04-12,0.0,0,58.0,1,"Adventure, Puzzle"
The X-Files Game,1998-05-31,4.28,4,56.0,0,Adventure
Sonic Adventure,1998-12-23,4.01,4,49.0,0,"Adventure, Action, RPG, Family, Platformer"
Clock Tower: Ghost Head,1998-03-12,4.0,5,49.0,0,Adventure
Speed Power Gunbike,1998-04-23,0.0,0,,0,"Racing, Action"
