name,release_date,rating,metacritic,playtime,genres
Grand Theft Auto III,2001-10-22,4.15,93.0,1,"Shooter, Action"
Half-Life: Blue Shift,2001-06-01,3.72,71.0,2,Action
Max Payne,2001-07-25,4.46,89.0,2,"Shooter, Action"
Sid Meier's Civilization III Complete,2001-10-29,3.68,90.0,1,"Strategy, Simulation"
Deathmatch Classic,2001-06-01,2.76,,1,Action
ARMA: Cold War Assault,2001-08-29,2.86,,1,"Strategy, Action, Simulation"
Serious Sam: The First Encounter,2001-03-21,4.04,87.0,1,"Shooter, Indie, Action"
Fallout Tactics: Brotherhood of Steel,2001-03-01,3.37,82.0,1,"Strategy, RPG"
Gothic,2001-03-15,4.37,81.0,1,"Action, RPG"
Sonic Adventure 2,2001-06-18,3.97,89.0,2,"Platformer, Adventure, Action"
Uplink,2001-09-30,3.32,75.0,1,"Strategy, Indie, Simulation"
Return to Castle Wolfenstein,2001-06-11,4.21,88.0,1,Shooter
Commandos 2: Men of Courage,2001-09-20,4.22,87.0,1,Action
Red Faction,2001-05-01,3.89,78.0,1,"Shooter, Action"
Legacy of Kain: Soul Reaver 2,2001-10-29,3.91,77.0,1,"Platformer, Adventure, Action"
STAR WARS Starfighter,2001-02-18,2.93,71.0,1,"Shooter, Action, Simulation"
ICO,2001-09-24,4.35,90.0,0,"Platformer, Action"
X-COM: Enforcer,2001-04-17,2.27,65.0,1,"Arcade, Shooter, Strategy, Action"
Anachronox,2001-06-26,3.34,77.0,1,"Action, RPG"
Jak and Daxter: The Precursor Legacy,2001-12-04,4.01,90.0,1,"Platformer, Action"
Silent Hill 2,2001-09-24,4.42,89.0,0,"Adventure, Action"
Arcanum: Of Steamworks and Magick Obscura,2001-08-21,4.36,81.0,1,RPG
RuneScape,2001-03-29,3.55,,1,"Massively Multiplayer, Adventure, RPG"
Hostile Waters: Antaeus Rising,2001-06-13,2.09,80.0,4,Strategy
Louvre: The Final Curse,2001-02-15,3.02,61.0,5,"Educational, Adventure, Action"
Metal Gear Solid 2: Sons of Liberty,2001-11-12,4.36,96.0,12,"Shooter, Action"
STAR WARS Galactic Battlegrounds Saga,2001-11-08,3.73,,1,"Strategy, Action"
Oddworld: Munch's Oddysee (1997),2001-11-15,3.47,,3,"Strategy, Adventure, Action, Puzzle"
Devil May Cry,2001-08-23,4.07,84.0,0,Action
Desperados: Wanted Dead or Alive,2001-07-22,4.23,78.0,1,"Strategy, Action"
Europa Universalis II,2001-12-10,2.79,,1,Strategy
Harry Potter and the Sorcerer's Stone,2001-11-16,3.97,60.0,21,"Platformer, Arcade, Action"
THE KING OF FIGHTERS 2002,2001-12-31,2.94,,1,"Arcade, Action, Fighting"
Halo: Combat Evolved,2001-11-15,4.32,90.0,1,"Shooter, Action"
Final Fantasy X,2001-07-19,4.38,92.0,0,RPG
Startopia,2001-06-14,3.67,,1,"Strategy, Action, Simulation"
Zwei: The Arges Adventure,2001-12-30,3.0,,3,"Action, RPG"
"Runaway, A Road Adventure",2001-03-14,4.12,74.0,2,"Adventure, Action, RPG"
Etherlords,2001-07-01,3.77,77.0,1,Strategy
Phoenix Wright: Ace Attorney,2001-10-12,4.39,80.0,13,Adventure
Majesty Gold HD,2001-03-21,4.26,,1,"Strategy, Simulation"
Wizardry 8,2001-11-14,3.95,85.0,1,"Adventure, RPG"
Ikaruga,2001-12-20,4.02,84.0,1,"Shooter, Indie, Action"
AquaNox,2001-10-11,3.21,67.0,1,"Shooter, Action"
Diablo II: Lord of Destruction,2001-06-24,4.58,,0,"Action, RPG"
Super Smash Bros. Melee,2001-11-21,4.35,92.0,0,"Action, Fighting"
Oddworld: Munch's Oddysee (2001),2001-11-15,2.88,,3,"Platformer, Adventure, Action"
Max Payne (RU),2001-07-23,4.46,,3,Action
Tom Clancy's Ghost Recon,2001-01-01,3.67,80.0,1,"Shooter, Action"
Onimusha: Warlords,2001-01-25,4.14,86.0,3,Action
Capitalism 2,2001-12-16,4.09,,4,"Strategy, Indie, Simulation"
YOU DON'T KNOW JACK Vol. 1 XL,2001-07-01,3.56,,1,"Casual, Indie"
Geneforge 1,2001-12-01,2.61,,1,"Strategy, Indie, RPG"
Alone in the Dark: The New Nightmare,2001-05-18,3.57,66.0,1,"Adventure, Action"
Luigi's Mansion,2001-09-14,4.26,78.0,2,"Adventure, Action"
Cossacks: Art of War,2001-11-20,4.15,74.0,1,Strategy
Original War,2001-06-14,3.95,61.0,1,"Strategy, Indie"
Clive Barker's Undying,2001-02-18,4.27,85.0,1,"Shooter, Action"
Ragnarok Online,2001-10-31,4.18,79.0,1,"Massively Multiplayer, RPG"
Command & Conquer: Red Alert 2 - Yuri's Revenge,2001-09-28,4.34,86.0,0,Strategy
Sudden Strike Gold,2001-01-23,3.22,,1,Strategy
The Legend of Zelda: Oracle of Ages,2001-02-27,4.28,,52,"Adventure, Action"
The Legend of Zelda: Oracle of Seasons,2001-02-27,4.27,,62,"Adventure, Action"
Tony Hawk's Pro Skater 3,2001-10-28,4.3,94.0,5,"Arcade, Sports"
Echelon,2001-03-21,3.53,70.0,4,"Action, Simulation"
Myst III: Exile,2001-05-07,4.47,,4,Adventure
Tropico,2001-04-01,3.94,,1,"Strategy, Simulation"
Zoo Tycoon,2001-10-17,3.75,68.0,12,"Strategy, Simulation"
Stronghold,2001-10-01,4.34,81.0,0,Strategy
Animal Crossing,2001-04-14,4.2,87.0,0,"RPG, Simulation"
Spider-Man 2: Enter Electro,2001-10-19,4.07,74.0,12,Platformer
White Day: A Labyrinth Named School,2001-01-01,3.62,,3,"Indie, Adventure, Action"
Golden Sun,2001-11-11,4.38,91.0,90,RPG
Hard Truck 2: King of the Road,2001-06-07,4.29,,1,"Racing, Action, Simulation"
Necronomicon: The Dawning of Darkness,2001-06-08,3.57,,1,"Casual, Adventure"
Twisted Metal: Black,2001-06-18,3.79,91.0,0,Racing
Pikmin,2001-10-26,4.26,89.0,3,Strategy
Freddi Fish 5: The Case of the Creature of Coral Cove,2001-06-06,4.27,,2,"Casual, Educational, Adventure"
Fatal Frame,2001-12-13,4.13,77.0,0,"Adventure, Action"
Black & White,2001-03-24,4.13,90.0,15,"Indie, Strategy, Adventure, RPG"
Oni,2001-01-29,4.05,73.0,1,"Shooter, Arcade, Action, Fighting"
Crash Bandicoot: The Wrath of Cortex,2001-10-29,3.81,,0,"Platformer, Action"
Advance Wars,2001-09-10,4.4,,8,Strategy
Shenmue II,2001-09-06,4.32,88.0,0,"Adventure, Action, RPG"
Baldur's Gate: Dark Alliance,2001-12-02,3.92,72.0,1,"Action, RPG"
Tekken 4,2001-09-23,3.9,79.0,0,Fighting
Worms World Party,2001-04-06,4.26,75.0,0,Strategy
Conker's Bad Fur Day,2001-03-04,4.2,92.0,0,"Platformer, Action"
Aliens Versus Predator 2,2001-01-01,4.29,85.0,7,"Shooter, Action"
"Spy Fox 3 ""Operation Ozone""",2001-05-01,4.29,,1,"Casual, Educational, Adventure"
Baldur's Gate II: Throne of Bhaal,2001-06-22,4.34,,3,RPG
Comanche 4,2001-11-15,3.56,74.0,1,"Action, Simulation"
Evil Islands,2001-04-15,4.25,,1,"Strategy, RPG"
Empire Earth,2001-01-01,3.95,,15,Strategy
Wario Land 4,2001-08-21,4.22,88.0,3,"Platformer, Action"
Severance: Blade of Darkness,2001-02-22,4.36,,1,Action
Mario Kart: Super Circuit (2001),2001-07-21,3.73,93.0,1,Racing
Castlevania: Circle of the Moon,2001-06-10,3.77,91.0,0,Action
Sonic Advance,2001-12-20,4.02,85.0,0,"Platformer, Action"
The Mystery of the Druids,2001-10-29,2.83,,1,Adventure
Venom. Codename: Outbreak,2001-10-08,3.64,,1,Shooter
Syphon Filter 3,2001-11-05,4.14,73.0,20,"Shooter, Action"
SSX Tricky,2001-11-05,4.39,92.0,0,"Racing, Sports"
Resident Evil - Code: Veronica X,2001-03-22,4.02,72.0,0,"Shooter, Action, Puzzle"
Project Eden,2001-10-07,3.11,,1,Action
Diggles: The Myth of Fenris,2001-09-26,4.42,,2,"Strategy, Adventure"
Gran Turismo 3: A-Spec,2001-04-28,4.35,,0,Racing
MegaRace 3,2001-11-13,2.0,,1,"Racing, Action"
FIFA 2002,2001-01-01,4.0,,0,Sports
Half-Life: Decay,2001-11-14,3.69,,0,Shooter
Super Monkey Ball,2001-01-02,4.41,,0,
Kohan: Immortal Sovereigns,2001-03-14,0.0,87.0,1,Strategy
Sonic Adventure 2 Battle,2001-12-20,4.15,73.0,0,"Platformer, Action"
Sub Command,2001-10-01,0.0,84.0,1,"Casual, Strategy, Action"
Quake III: Gold,2001-09-25,3.68,,1,Shooter
Breath of Fire (1993),2001-12-31,3.93,79.0,0,RPG
Kohan: Ahriman's Gift,2001-11-05,0.0,79.0,1,Strategy
Zone of the Enders,2001-03-01,3.9,78.0,0,Action
Super Mario Advance,2001-06-11,3.8,84.0,2,Platformer
Looney Tunes: Sheep Raider,2001-01-01,4.31,72.0,0,"Platformer, Arcade, Puzzle"
Icewind Dale: Heart of Winter,2001-02-01,3.97,,88,RPG
Knights and Merchants: The Peasants Rebellion,2001-11-26,4.4,,1,Strategy
Петька 3: Возвращение Аляски,2001-11-22,3.8,,0,Adventure
