name,release_date,rating,rating_top,metacritic,playtime,genres
Dragon's Lair,1983-06-19,3.81,4,54.0,0,Action
MiG Alley Ace,1983-01-01,0.0,0,,0,Simulation
Quasar (1983),1983-01-01,0.0,0,,0,Strategy
Mangia,1983-01-01,0.0,0,,0,Action
Roc'n Rope,1983-01-01,0.0,0,,0,Action
Moondust,1983-01-01,0.0,0,,0,
Super Pipeline,1983-01-01,0.0,0,,0,Puzzle
Valhalla (1983),1983-01-01,0.0,0,,0,Adventure
Pharaoh's Curse,1983-01-01,0.0,0,,0,
Bear Bovver,1983-01-01,0.0,0,,0,
Alpha Beam with Ernie,1983-01-01,0.0,0,,0,
Cliff Hanger (1983),1983-01-01,0.0,0,,0,Action
Flip and Flop,1983-01-01,0.0,0,,0,
Drol,1983-01-01,0.0,0,,0,Action
Son of Blagger,1983-01-01,0.0,0,,0,
Frankenstein's Monster,1983-01-01,0.0,0,,0,
Halls of the Things,1983-01-01,0.0,0,,0,Action
Quadrun,1983-01-01,0.0,0,,0,
Bank Heist,1983-01-01,0.0,0,,0,
Alpha Blaster,1983-01-01,0.0,0,,0,
Jetpac,1983-01-01,0.0,5,,0,Shooter
In Search of the Most Amazing Thing,1983-01-01,0.0,0,,0,Adventure
GATO,1983-01-01,0.0,0,,0,Simulation
Planetfall,1983-07-08,0.0,4,,0,
Chuckie Egg,1983-01-01,0.0,0,,0,
One on One: Dr. J vs. Larry Bird,1983-01-01,0.0,0,,0,Sports
Halloween (1983),1983-01-01,0.0,0,,0,Action
Squish 'em,1983-01-01,0.0,0,,0,Action
Congo Bongo,1983-01-01,0.0,0,,0,Platformer
Crackpots,1983-05-16,0.0,0,,0,
Arabian,1983-01-01,0.0,0,,0,Platformer
Spy Hunter (1983),1983-01-01,3.7,4,,0,
Tapper,1983-01-01,3.42,4,,0,"Arcade, Action"
Jr. Pac-Man,1983-01-01,0.0,0,,0,
Lode Runner (1983),1983-01-03,3.91,4,,0,Arcade
Hover Bovver (1983),1983-01-01,0.0,0,,0,Puzzle
Granny's Garden,1983-01-01,0.0,0,,0,Adventure
Blue Max,1983-01-01,0.0,0,,0,Action
Krull,1983-09-01,0.0,0,,0,Adventure
Dino Eggs,1983-01-01,0.0,0,,0,
Defender (1983),1983-01-01,0.0,0,,0,Arcade
The Witness (1983),1983-05-24,0.0,0,,0,
