name,release_date,rating,rating_top,metacritic,playtime,genres
God of War I,2005-03-22,4.36,4,94.0,11,Action
Metal Gear Solid 3: Subsistence,2005-12-22,4.42,5,94.0,0,Shooter
Sid Meier's Civilization IV,2005-10-25,4.1,4,94.0,1,Strategy
Tom Clancy's Splinter Cell Chaos Theory,2005-03-21,4.38,5,92.0,2,"Adventure, Action"
Forza Motorsport (2005),2005-05-03,3.67,4,92.0,27,"Casual, Racing"
Shadow of the Colossus,2005-10-18,4.36,5,91.0,0,"Adventure, Action, RPG"
Battlefield 2,2005-06-21,4.19,4,91.0,2,"Shooter, Action"
Mario Kart DS,2005-11-14,4.25,4,91.0,5,Racing
Guitar Hero,2005-11-07,4.01,4,91.0,0,Simulation
Silent Hunter III,2005-03-15,4.21,5,90.0,1,"Strategy, Simulation"
Burnout Revenge,2005-09-13,4.2,4,89.0,0,"Action, Sports"
Castlevania: Dawn of Sorrow,2005-10-04,4.4,5,89.0,3,"Platformer, Action, RPG"
Ridge Racer (PSP),2005-03-22,4.12,4,88.0,0,Racing
F.E.A.R.,2005-10-18,4.27,4,88.0,2,"Shooter, Action"
Psychonauts,2005-04-01,4.03,5,87.0,4,"Platformer, Action"
Brothers in Arms: Road to Hill 30,2005-03-14,3.91,4,87.0,2,Action
Kingdom Hearts II,2005-12-22,4.37,5,87.0,0,"Action, RPG"
We Love Katamari,2005-07-06,4.16,5,86.0,0,"Action, Puzzle"
Kirby: Canvas Curse,2005-06-13,3.65,4,86.0,0,Platformer
Mario & Luigi: Partners in Time,2005-11-28,4.09,4,86.0,6,RPG
Animal Crossing: Wild World,2005-12-05,4.27,4,86.0,38,Casual
Call of Duty 2,2005-10-25,4.2,4,86.0,3,Shooter
Freedom Force vs. the Third Reich,2005-05-29,3.24,4,86.0,1,"Strategy, Action, RPG"
Soul Calibur III,2005-10-25,4.22,4,86.0,0,Fighting
Burnout Legends,2005-09-13,4.0,5,86.0,2,Racing
Prince of Persia: The Two Thrones,2005-12-01,4.13,4,85.0,1,"Adventure, Action"
Fahrenheit (Indigo Prophecy),2005-09-16,4.31,5,85.0,2,"Adventure, Action"
SWAT 4,2005-04-05,4.06,4,85.0,0,"Shooter, Action"
"Warhammer 40,000: Dawn of War – Winter Assault",2005-09-23,3.93,4,85.0,1,Strategy
Far Cry Instincts,2005-09-27,3.11,4,85.0,0,"Shooter, Action"
