name,release_date,rating,metacritic,playtime,genres
Zero-K,2017-11-17,2.85,,1,"Strategy, Indie, Simulation"
The Land of Dasthir,2017-01-09,1.62,,4,"Indie, Adventure, RPG"
Yet Another Zombie Defense HD,2017-08-25,2.59,46.0,3,"Indie, Shooter, Strategy, Action"
TimeLock VR,2017-08-09,2.4,,1,"Casual, Indie, Adventure, Action"
TumbleSeed,2017-05-02,2.79,,1,"Indie, Adventure, Action"
WWE 2K18,2017-10-17,3.21,58.0,11,"Simulation, Sports"
Behold the Kickmen,2017-07-20,0.0,,1,"Casual, Indie, Action, Sports"
Unexplored,2017-02-22,3.0,,4,"Indie, Adventure, Action, RPG"
A Raven Monologue,2017-12-22,3.75,,1,"Casual, Indie"
Madden NFL 18,2017-08-25,3.28,83.0,0,Sports
Fallen Legion: Flames of Rebellion,2017-07-18,2.45,,0,"Action, RPG"
The Painscreek Killings,2017-09-26,4.09,,5,"Indie, Adventure"
2Dark,2017-03-09,3.46,68.0,3,"Indie, Adventure"
NEKOPARA Vol. 3,2017-05-25,3.68,,4,"Casual, Indie"
Battle Islands: Commanders,2017-02-14,2.48,,1,"Strategy, Action"
Modern Combat Versus,2017-09-27,2.66,,1,"Adventure, Action"
OR,2017-02-08,1.44,,4,"Casual, Indie"
CPU Invaders,2017-02-17,2.33,,3,"Casual, Indie"
VITATIO 2,2017-04-11,1.77,,3,"Casual, Indie, Adventure"
Shardbound,2017-04-06,2.5,,1,Strategy
Aporia: Beyond The Valley,2017-07-19,3.0,71.0,5,"Indie, Adventure"
Yonder: The Cloud Catcher Chronicles,2017-07-17,3.49,70.0,4,"Adventure, Action"
Bad Dream: Coma,2017-03-08,3.65,,3,"Indie, Adventure"
Killing Floor: Incursion,2017-11-07,3.0,67.0,1,Action
Archangel: Hellfire,2017-08-02,2.62,,1,"Shooter, Action"
Tales of Escape,2017-03-15,2.35,,2,"Casual, Indie, Adventure"
Zup! 4,2017-02-20,2.46,,3,"Casual, Indie, Puzzle"
DRAGON QUEST HEROES II,2017-04-25,3.78,76.0,4,"Action, RPG"
Under Zero,2017-03-02,2.16,,4,"Indie, Adventure, Action, RPG"
PickCrafter,2017-12-14,3.06,,2,"Casual, Simulation"
Loot Rascals,2017-03-07,2.11,71.0,4,"Indie, Adventure, RPG"
Material Girl,2017-06-20,3.47,,4,"Indie, Adventure, RPG"
Vickinachi,2017-07-18,1.5,,1,"Adventure, Action, RPG"
LocoRoco Remastered,2017-05-09,3.65,,4,"Platformer, Action, Puzzle"
Haimrik,2017-05-11,2.93,,1,"Indie, Adventure, Action"
The Talos Principle VR,2017-10-17,3.86,,1,"Indie, Adventure, Action"
iREC,2017-01-16,1.67,,3,Indie
Sakura Magical Girls,2017-02-23,2.6,,4,"Casual, Adventure, Simulation"
A Mortician's Tale,2017-10-18,3.5,,2,"Indie, Adventure, RPG, Simulation"
Tokyo Dark,2017-09-07,3.69,,4,Adventure
Mega Man Legacy Collection 2 / ロックマン クラシックス コレクション 2,2017-08-08,3.62,,4,"Arcade, Action"
The Invisible Hours,2017-10-10,4.05,76.0,2,"Casual, Adventure"
Cinderella Phenomenon - Otome/Visual Novel,2017-04-05,3.32,,2,"Indie, Simulation"
UBERMOSH:WRAITH,2017-01-29,2.82,,1,"Indie, Action"
Realpolitiks,2017-02-16,2.84,55.0,3,"Strategy, Simulation"
Kingsway,2017-07-17,3.63,79.0,2,"Adventure, RPG, Simulation"
Tanki Online,2017-03-02,3.07,,1,"Massively Multiplayer, Action"
CarX Drift Racing Online,2017-07-07,4.18,,6,"Racing, Massively Multiplayer, Sports"
Super Cloudbuilt,2017-07-25,3.36,76.0,2,"Indie, Adventure, Action"
Tactical Monsters Rumble Arena,2017-11-09,2.33,,1,"Strategy, Puzzle"
Metroid: Samus Returns,2017-09-15,4.2,88.0,0,"Platformer, Action"
Patapon Remastered,2017-08-01,3.8,,0,Action
Impact Winter,2017-04-11,2.95,62.0,2,"Indie, Adventure, Simulation"
Red Comrades 3. Return of Alaska: Reloaded,2017-11-07,4.07,,4,Adventure
Medieval Kingdom Wars,2017-06-09,2.82,,3,"Strategy, Indie, Simulation"
Songbringer,2017-08-31,3.1,,4,"Indie, Adventure, Action, RPG"
