name,release_date,rating,metacritic,playtime,genres
Grand Theft Auto: Vice City,2002-10-27,4.45,94.0,2,Action
Syberia,2002-01-09,3.92,82.0,3,"Adventure, Puzzle"
Mafia: The City of Lost Heaven,2002-08-28,4.36,88.0,2,Action
The Elder Scrolls III: Morrowind,2002-05-01,4.37,89.0,2,RPG
Hitman 2: Silent Assassin,2002-10-01,3.92,87.0,1,"Shooter, Action"
Enclave,2002-07-18,3.1,71.0,3,"Adventure, Action, RPG"
Star Wars Jedi Knight II: Jedi Outcast,2002-03-01,4.19,89.0,1,"Shooter, Adventure, Action"
Serious Sam: The Second Encounter,2002-02-02,4.03,85.0,1,"Shooter, Indie, Action"
Divine Divinity,2002-09-13,3.51,81.0,1,"Action, RPG"
Warcraft 3: Reign of Chaos,2002-06-01,4.46,92.0,0,Strategy
Tom Clancy's Splinter Cell,2002-11-17,4.17,91.0,2,"Adventure, Action"
Dungeon Siege,2002-04-05,3.95,86.0,1,RPG
Stronghold Crusader HD,2002-09-26,4.24,78.0,3,"Strategy, Simulation"
Red Faction II,2002-10-14,3.47,64.0,1,"Shooter, Strategy, Action"
Arx Fatalis,2002-11-11,3.99,77.0,1,"Adventure, Action, RPG"
Worms Blast,2002-03-22,2.59,73.0,1,"Casual, Strategy, Action, Puzzle"
Resident Evil (2002),2002-03-22,4.37,88.0,1,Action
RollerCoaster Tycoon 2: Triple Thrill Pack,2002-10-14,4.09,74.0,1,"Strategy, Simulation"
Space Channel 5: Part 2,2002-02-14,3.52,78.0,1,Action
Gun Metal,2002-06-30,2.53,63.0,4,Action
The Legend of Zelda: The Wind Waker,2002-12-13,4.35,,37,Action
BloodRayne,2002-10-15,3.9,65.0,4,"Shooter, Action"
Robin Hood: The Legend of Sherwood,2002-11-13,4.08,80.0,1,Strategy
Freedom Force,2002-03-25,3.4,90.0,1,"Strategy, Action, RPG"
Duke Nukem: Manhattan Project,2002-05-21,3.62,58.0,1,"Shooter, Adventure, Action"
Harry Potter and the Chamber of Secrets,2002-11-15,4.1,74.0,23,"Arcade, Adventure, Action"
Sherlock Holmes: The Mystery of the Mummy,2002-12-01,3.12,61.0,1,Adventure
Kingdom Hearts,2002-03-28,4.4,85.0,0,"Action, RPG"
Metal Gear Solid 2: Substance,2002-11-05,4.44,82.0,1,"Shooter, Action"
Super Mario Sunshine,2002-08-25,4.29,92.0,0,"Platformer, Adventure, Action"
Zanzarah: The Hidden Portal,2002-07-01,4.19,,1,"Adventure, Action, RPG"
Gothic 2,2002-11-29,4.35,79.0,46,"Action, RPG"
Metroid Prime,2002-11-17,4.38,97.0,2,"Shooter, Adventure, Action"
Cossacks: Back to War,2002-10-18,4.29,60.0,2,Strategy
Age of Wonders II: The Wizard's Throne,2002-06-12,3.6,86.0,1,"Strategy, RPG"
Need for Speed: Hot Pursuit 2,2002-09-30,3.98,81.0,8,"Racing, Arcade"
FINAL FANTASY,2002-10-05,3.84,,5,"Casual, RPG"
Earth 2150: Lost Souls,2002-08-23,1.96,78.0,1,Strategy
Haegemonia: Legions of Iron [I],2002-11-18,3.0,,1,"Strategy, Indie, Action"
KINGDOM HEARTS FINAL MIX,2002-12-26,4.3,85.0,0,"Action, RPG"
American Conquest,2002-11-15,3.74,76.0,1,Strategy
Metroid Fusion,2002-11-17,4.38,92.0,14,"Platformer, Action"
Battle Realms + Winter of the Wolf,2002-11-10,2.7,,1,Strategy
Battlefield 1942,2002-09-10,4.15,89.0,1,"Shooter, Action"
Iron Storm,2002-10-24,2.85,69.0,1,"Indie, Shooter, Adventure, Action"
Dark Fall: The Journal,2002-06-18,2.62,68.0,1,Adventure
Medal of Honor: Frontline,2002-05-28,3.89,88.0,0,Shooter
Knight Online,2002-07-15,2.05,,1,"Massively Multiplayer, Adventure, Action, RPG"
Icewind Dale 2 Complete,2002-10-15,3.68,,1,RPG
Tom Clancy's Ghost Recon: Desert Siege,2002-03-26,3.42,82.0,1,"Shooter, Action"
Medal of Honor: Allied Assault,2002-01-22,4.16,91.0,0,Shooter
Spider-Man: The Movie,2002-05-01,3.59,77.0,0,"Arcade, Action"
Phoenix Wright: Ace Attorney − Justice for All,2002-10-22,4.43,76.0,0,Adventure
