name,release_date,rating,metacritic,playtime,genres
Left 4 Dead 2,2009-11-17,4.09,89.0,9,"Shooter, Action"
Borderlands,2009-10-20,3.82,81.0,10,"Shooter, Action, RPG"
Minecraft,2009-05-10,4.42,83.0,26,"Action, Arcade, Simulation, Indie, Massively Multiplayer"
Brutal Legend,2009-10-12,3.65,80.0,5,"Strategy, Action"
Assassin's Creed II,2009-11-17,4.42,89.0,14,Action
Resident Evil 5,2009-03-03,3.81,86.0,11,"Shooter, Action"
Call of Duty: Modern Warfare 2,2009-11-10,4.26,86.0,22,Shooter
Killing Floor,2009-05-14,3.43,72.0,5,Action
Dragon Age: Origins,2009-11-03,4.39,91.0,8,RPG
Bayonetta,2009-06-23,4.31,90.0,5,"Adventure, Action"
Batman: Arkham Asylum,2009-08-25,4.41,91.0,13,Action
Trine Enchanted Edition,2009-07-02,3.83,80.0,4,"Indie, Platformer, Arcade, Action"
Fallout 3: Game of the Year Edition,2009-10-13,4.13,91.0,4,"Action, RPG"
F.E.A.R. 2: Project Origin,2009-02-10,3.85,79.0,4,"Shooter, Action"
Burnout Paradise: The Ultimate Box,2009-02-05,3.97,87.0,2,"Racing, Arcade"
Red Faction: Guerrilla,2009-06-02,3.66,82.0,4,"Shooter, Action"
Machinarium,2009-10-16,4.17,85.0,3,"Family, Indie, Adventure, Puzzle"
The Elder Scrolls IV: Oblivion Game of the Year Edition,2009-06-16,4.31,94.0,4,RPG
S.T.A.L.K.E.R.: Call of Pripyat,2009-10-02,4.28,80.0,3,"Shooter, RPG"
Torchlight,2009-10-26,3.72,83.0,5,"Action, RPG"
Uncharted 2: Among Thieves,2009-10-13,4.39,96.0,13,"Shooter, Adventure, Action"
FINAL FANTASY XIII,2009-12-17,3.47,77.0,7,RPG
Grand Theft Auto: Episodes from Liberty City,2009-10-29,4.11,,3,"Adventure, Action"
Serious Sam HD:  The First Encounter,2009-11-24,3.93,68.0,4,"Shooter, Indie, Action"
Prototype,2009-06-09,3.79,79.0,3,"Casual, Strategy, Adventure, Action"
Overlord II,2009-06-22,3.76,79.0,2,"Action, RPG"
ArmA II,2009-06-18,3.18,77.0,1,"Strategy, Action, Simulation"
Risen,2009-10-02,3.79,77.0,4,"Action, RPG"
Tropico 3,2009-10-20,3.32,79.0,1,"Strategy, Simulation"
Company of Heroes: Tales of Valor,2009-04-07,3.37,70.0,1,Strategy
"Warhammer 40,000: Dawn of War II",2009-02-18,3.95,85.0,6,"Strategy, RPG"
STAR WARS - The Force Unleashed Ultimate Sith Edition,2009-12-15,3.85,65.0,3,Action
Command & Conquer: Red Alert 3 - Uprising,2009-03-12,3.58,64.0,1,Strategy
Two Worlds Epic Edition,2009-04-30,2.84,65.0,4,RPG
Mini Ninjas,2009-09-08,3.5,74.0,1,"Family, Adventure, Action"
Flower,2009-02-12,3.98,89.0,2,"Arcade, Family, Casual, Adventure"
Demon's Souls,2009-02-05,4.29,89.0,38,"Action, RPG"
The Secret of Monkey Island: Special Edition,2009-07-15,4.19,86.0,2,"Family, Adventure"
The Sims 3,2009-06-02,4.02,86.0,11,"Casual, Simulation"
Operation Flashpoint: Dragon Rising,2009-10-06,2.77,76.0,1,"Shooter, Action"
Plants vs. Zombies,2009-05-05,4.23,86.0,2,"Strategy, Arcade, Puzzle"
Sacred 2 Gold,2009-11-08,3.26,,1,"Action, RPG"
Empire: Total War,2009-03-03,3.77,90.0,4,Strategy
Broken Sword 1 - Shadow of the Templars (The Director's Cut),2009-03-19,4.01,,1,"Adventure, Puzzle"
Crayon Physics Deluxe,2009-01-07,3.49,79.0,1,"Casual, Indie"
Mount & Blade: With Fire & Sword,2009-12-04,3.84,68.0,4,"Action, RPG"
King's Bounty: Armored Princess,2009-04-10,4.1,82.0,1,"Strategy, RPG"
Zeno Clash,2009-04-21,3.59,77.0,3,"Indie, Shooter, Adventure, Action"
Hammerfight,2009-09-14,2.96,,1,"Indie, Action"
Osmos,2009-08-18,3.7,80.0,1,"Puzzle, Casual, Arcade, Simulation, Indie"
And Yet It Moves,2009-04-02,2.91,75.0,1,"Platformer, Indie, Action, Puzzle"
Cogs,2009-04-14,2.74,73.0,1,"Casual, Indie, Family, Puzzle"
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack",2009-08-25,2.23,84.0,1,"Indie, Adventure, Puzzle"
Bionic Commando (2009),2009-05-18,3.25,69.0,1,"Shooter, Adventure, Action"
Halo 3: ODST,2009-09-22,4.05,83.0,19,"Shooter, Action"
Need for Speed: Shift,2009-09-15,3.57,83.0,2,Racing
Ticket to Ride,2009-12-18,3.57,91.0,3,"Casual, Strategy, Simulation, Indie, Board Games"
Call of Juarez: Bound in Blood,2009-01-29,3.91,78.0,2,"Shooter, Action"
Broken Sword 2 - The Smoking Mirror (Remastered),2009-12-02,4.02,,1,"Adventure, Puzzle"
inFamous,2009-05-26,4.03,85.0,2,Action
Penumbra: Black Plague Gold Edition,2009-01-23,3.87,78.0,2,"Indie, Adventure, Action"
Trine,2009-07-03,3.9,,4,"Arcade, Adventure, Action"
Shatter,2009-07-23,3.16,84.0,2,"Adventure, Action, RPG, Casual, Arcade, Indie"
AI War: Fleet Command,2009-05-09,2.48,80.0,3,"Strategy, Indie"
MX vs. ATV Reflex,2009-12-01,3.0,,1,Racing
STEINS;GATE,2009-08-25,4.36,87.0,5,"Adventure, RPG"
Gratuitous Space Battles,2009-11-04,2.57,72.0,3,"Strategy, Indie, Simulation"
Velvet Assassin,2009-04-28,2.94,61.0,1,"Adventure, Action"
The Saboteur,2009-12-04,3.8,66.0,1,"Shooter, Adventure, Action"
Colin McRae: DiRT 2,2009-09-08,4.03,88.0,3,"Racing, Arcade"
Bad Rats: the Rats' Revenge,2009-07-20,1.65,,3,Indie
SPORE Galactic Adventures,2009-06-23,3.7,70.0,2,"Action, Simulation"
Train Simulator,2009-07-12,3.27,,5,Simulation
Caster,2009-01-07,1.76,,2,"Adventure, Action, RPG, Casual, Strategy, Indie"
Saira,2009-12-12,2.07,,1,Indie
Men of War,2009-02-20,3.74,80.0,1,Strategy
League of Legends,2009-10-27,3.64,78.0,116,"Strategy, Action, RPG"
Street Fighter IV,2009-02-12,3.78,91.0,3,"Arcade, Action, Fighting"
BIT.TRIP BEAT,2009-03-15,3.13,,2,"Casual, Indie, Arcade, Action"
PixelJunk Shooter,2009-12-10,3.39,73.0,3,"Shooter, Arcade, Action"
Hearts of Iron III,2009-08-06,3.5,77.0,3,Strategy
Battlestations Pacific,2009-05-12,2.63,74.0,1,"Strategy, Action"
Forza Motorsport 3,2009-10-22,3.81,92.0,16,Racing
Wolfenstein,2009-08-18,3.76,72.0,2,"Shooter, Action"
Still Life 2,2009-03-29,2.91,67.0,1,"Adventure, Action"
The Chronicles of Riddick: Assault on Dark Athena,2009-04-07,3.97,81.0,2,"Shooter, Action"
Painkiller: Resurrection,2009-10-27,2.82,38.0,1,Action
Battlefield 1943,2009-07-08,3.74,84.0,1,"Shooter, Action"
Eufloria,2009-10-20,3.39,,1,"Strategy, Puzzle"
FIFA 10,2009-09-30,3.48,84.0,0,Sports
Altitude,2009-05-01,2.39,79.0,1,"Indie, Action"
Men of War: Red Tide,2009-08-14,3.34,77.0,1,Strategy
Might and Magic Clash of Heroes,2009-12-01,3.92,76.0,5,"Strategy, RPG, Puzzle"
Killzone 2,2009-02-25,4.01,91.0,7,"Shooter, Action"
NecroVision,2009-02-20,3.01,63.0,1,Action
LEGO Indiana Jones 2: The Adventure Continues,2009-11-17,3.68,66.0,4,"Family, Adventure, Action"
Ghostbusters: The Video Game,2009-06-16,3.6,,2,Action
Star Wolves 3: Civil War,2009-05-15,3.06,,3,"Strategy, RPG"
Gauntlet,2009-02-28,3.25,,4,"Action, RPG"
Zombie Shooter 2,2009-07-14,3.15,,1,"Shooter, Indie, Action, RPG"
NecroVisioN: Lost Company,2009-12-04,2.8,,1,Action
Marvel: Ultimate Alliance 2,2009-09-15,3.74,81.0,2,"Arcade, Adventure, Action, RPG"
Tales of Monkey Island Complete Pack,2009-07-07,3.62,79.0,2,Adventure
Kameo,2009-08-11,3.14,,0,"Family, Action"
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,3.54,,3,Adventure
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-29,3.42,,4,Adventure
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-30,3.57,,4,Adventure
Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God,2009-12-08,3.5,,4,Adventure
Zuma's Revenge!,2009-09-15,3.82,78.0,2,"Casual, Action, Puzzle"
"Time Gentlemen, Please!",2009-06-22,2.38,,1,Adventure
America's Army 3,2009-06-17,2.03,70.0,1,Action
Death to Spies 2: Moment of Truth,2009-08-06,3.43,73.0,1,Action
FUEL,2009-06-02,3.27,67.0,1,"Racing, Arcade"
Yakuza 3,2009-02-26,4.12,79.0,12,Action
Order of War,2009-09-17,2.44,69.0,1,Strategy
Runaway 3: A Twist of Fate,2009-04-20,3.97,79.0,3,"Adventure, Action"
Sherlock Holmes versus Jack the Ripper,2009-05-26,3.76,73.0,3,"Adventure, RPG"
Nation Red,2009-08-02,2.54,,4,"Indie, Action"
Eador: Genesis,2009-08-06,3.5,,1,"Strategy, Indie"
A Boy and His Blob,2009-10-13,3.02,72.0,5,"Adventure, Action, Puzzle, Arcade, Platformer"
Space Quest Collection,2009-07-23,3.89,,1,Adventure
Disciples III - Renaissance,2009-12-11,2.97,56.0,1,"Strategy, RPG"
Drakensang,2009-02-26,3.67,75.0,1,RPG
Flora's Fruit Farm,2009-10-01,1.73,,1,Casual
The Beatles: Rock Band,2009-09-09,4.15,,4,Arcade
Shadow Complex,2009-08-19,4.11,88.0,24,"Shooter, Action"
Damnation,2009-05-22,2.65,41.0,1,"Shooter, Adventure, Action"
Greed: Black Border,2009-12-10,2.47,,1,"Action, RPG"
Pokémon Platinum,2009-03-22,4.39,83.0,114,"Adventure, RPG"
The Maw,2009-03-09,3.47,75.0,1,"Indie, Adventure, Action"
The Path,2009-03-18,3.44,79.0,2,"Indie, Adventure"
WET,2009-09-15,3.4,70.0,0,"Shooter, Action"
Demigod,2009-04-14,3.18,76.0,1,"Strategy, Action, RPG"
The Godfather II,2009-04-07,3.58,65.0,12,"Strategy, Action"
Skate 2,2009-01-21,4.19,84.0,0,"Arcade, Sports"
Windosill,2009-09-25,3.67,,1,"Adventure, Puzzle, Casual, Family, Indie"
New Super Mario Bros. Wii,2009-11-12,4.07,87.0,12,Platformer
