name,release_date,rating,rating_top,metacritic,playtime,genres
Space Duel,1982-01-01,0.0,0,,0,
Smurf: Rescue in Gargamel's Castle,1982-01-03,0.0,0,,0,"Platformer, Action"
Blue Print,1982-01-01,0.0,0,,0,
Commando Raid,1982-07-01,0.0,0,,0,"Shooter, Action"
Dragonstomper,1982-01-01,0.0,0,,0,RPG
The Pit,1982-01-01,0.0,0,,0,"Strategy, Action"
Starmaster,1982-01-01,0.0,0,,0,
Communist Mutants from Space,1982-01-01,0.0,0,,0,
Tax Avoiders,1982-01-01,0.0,0,,0,Action
Streets of London,1982-05-02,0.0,0,,0,Adventure
Aztec,1982-01-01,0.0,0,,0,
Nautilus,1982-01-01,0.0,0,,0,Action
Utopia (1981),1982-06-03,0.0,0,,0,Simulation
Evolution.,1982-01-01,0.0,0,,0,Action
Stellar 7 (1982),1982-01-01,0.0,0,,0,
Countdown to Doom,1982-01-01,0.0,0,,0,
Car Builder,1982-02-03,0.0,0,,0,Strategy
Zork III,1982-01-01,0.0,1,,0,
The Battle of the Bulge: Tigers in the Snow,1982-02-01,0.0,0,,0,Strategy
Telengard,1982-01-01,0.0,0,,0,RPG
Shamus (1982),1982-01-01,0.0,0,,0,Action
Pengo,1982-01-01,0.0,0,,0,Puzzle
Omega Race,1982-01-01,0.0,0,,0,Arcade
The Hobbit (1982),1982-01-01,0.0,0,,0,"Adventure, Action"
Miner 2049er,1982-01-01,0.0,0,,0,
Deadline (1982),1982-03-11,0.0,0,,0,
Custer's Revenge,1982-09-23,0.0,0,,0,
Frenzy,1982-01-01,0.0,0,,0,
Alien (Atari 2600),1982-11-01,0.0,0,,0,Casual
Atlantis,1982-01-01,0.0,0,,0,
Tutankham,1982-01-01,0.0,0,,0,Shooter
BurgerTime (1982),1982-01-01,3.64,4,,0,"Platformer, Action, Puzzle"
Alien (1982),1982-02-01,0.0,0,,0,Adventure
Pac-Man Plus,1982-01-01,0.0,0,,0,
Spider-Man (1982),1982-01-01,3.09,4,,0,"Arcade, Action"
Bump 'n' Jump,1982-01-01,3.86,4,,0,"Racing, Arcade"
Wizardry II: The Knight of Diamonds,1982-01-01,0.0,0,,0,RPG
Zork III: The Dungeon Master,1982-08-18,0.0,0,,0,Adventure
Call to Arms (1982),1982-03-01,0.0,0,,0,Strategy
Pole Position (1982),1982-09-01,3.0,4,,0,Racing
Lunar Leepers,1982-01-01,0.0,0,,0,
Choplifter,1982-05-01,3.14,4,,0,"Strategy, Action"
Haunted House (1982),1982-01-01,0.0,0,,0,
