name,release_date,rating,metacritic,playtime,genres
Half-Life 2: Lost Coast,2005-10-27,3.45,,1,Action
Psychonauts,2005-04-01,4.03,87.0,4,"Platformer, Action"
Resident Evil 4 (2005),2005-10-25,4.4,83.0,5,"Shooter, Action"
F.E.A.R.,2005-10-18,4.27,88.0,2,"Shooter, Action"
Star Wars: Battlefront II (2005),2005-10-30,4.22,78.0,2,"Shooter, Action"
Day of Defeat: Source,2005-09-26,3.21,80.0,3,Action
Star Wars: Republic Commando,2005-03-01,4.17,78.0,2,"Shooter, Action"
Serious Sam 2,2005-10-11,3.55,74.0,2,"Indie, Action"
Condemned: Criminal Origins,2005-11-15,3.8,80.0,1,Action
Need For Speed: Most Wanted,2005-11-15,4.45,83.0,0,"Racing, Arcade"
Fable: The Lost Chapters,2005-09-01,4.43,83.0,2,"Adventure, Action, RPG"
Sid Meier's Civilization IV,2005-10-25,4.1,94.0,1,Strategy
Call of Duty 2,2005-10-25,4.2,86.0,3,Shooter
Prince of Persia: The Two Thrones,2005-12-01,4.13,85.0,1,"Adventure, Action"
KAO the Kangaroo: Round 2,2005-04-15,2.64,,1,"Racing, Adventure, Action, Casual, Arcade, Platformer"
Tom Clancy's Splinter Cell Chaos Theory,2005-03-21,4.38,92.0,2,"Adventure, Action"
Hexic HD,2005-12-01,2.56,,1,Puzzle
Shadowgrounds,2005-11-16,2.84,74.0,2,"Shooter, Action"
"Warhammer 40,000: Dawn of War – Winter Assault",2005-09-23,3.93,85.0,1,Strategy
Darwinia,2005-03-03,2.71,84.0,1,"Strategy, Indie"
Dungeon Siege 2,2005-08-16,3.8,80.0,1,"Action, RPG"
Sniper Elite,2005-10-18,3.38,76.0,3,Action
God of War I,2005-03-22,4.36,94.0,11,Action
Oddworld: Stranger's Wrath,2005-01-25,3.64,,1,"Strategy, Shooter, Adventure, Action"
Samorost 2,2005-12-08,3.88,,1,"Casual, Family, Adventure, Indie"
Quake IV,2005-10-18,3.69,81.0,2,"Shooter, Action"
Call of Cthulhu: Dark Corners of the Earth,2005-10-24,4.12,76.0,1,Shooter
Neverwinter Nights Diamond,2005-11-02,3.6,,1,"Adventure, RPG"
Fahrenheit (Indigo Prophecy),2005-09-16,4.31,85.0,2,"Adventure, Action"
Stubbs the Zombie in Rebel Without a Pulse,2005-11-21,3.74,65.0,3,"Shooter, Action"
Shadow of the Colossus,2005-10-18,4.36,91.0,0,"Adventure, Action, RPG"
Still Life,2005-04-15,3.76,75.0,2,"Adventure, Action"
Destroy All Humans!,2005-05-26,3.76,70.0,3,"Adventure, Action"
Devil May Cry 3: Dante's Awakening,2005-02-17,4.41,78.0,1,Action
X3: Reunion,2005-10-28,3.39,71.0,1,"Strategy, Action, Simulation"
Project: Snowblind,2005-03-29,2.7,76.0,1,Action
