name,release_date,rating,rating_top,metacritic,playtime,genres
DRAGON QUEST V,1992-09-27,4.33,5,90.0,0,RPG
Pinball Fantasies (1992),1992-01-01,0.0,0,81.0,0,"Casual, Arcade, Action, Simulation"
Thunder Force IV,1992-07-24,0.0,0,80.0,0,"Shooter, Action"
Sonic the Hedgehog 2,1992-11-21,4.28,4,78.0,5,"Platformer, Arcade, Action"
Shin Megami Tensei,1992-10-30,3.89,4,72.0,0,RPG
Contra III: The Alien Wars,1992-02-28,4.11,4,70.0,4,"Shooter, Action"
X-Men Arcade,1992-03-19,3.71,4,67.0,0,"Arcade, Action"
Nippon Safes Inc.,1992-01-01,0.0,0,,0,Adventure
Escape from Cyber City,1992-06-01,0.0,0,,0,Sports
Predator 2 (1992),1992-07-10,0.0,0,,0,"Shooter, Action, Fighting"
Wolfchild,1992-01-01,0.0,0,,0,"Platformer, Action"
Linus Spacehead's Cosmic Crusade,1992-11-28,0.0,0,,0,Adventure
Tougiou King Colossus,1992-06-26,0.0,0,,0,"Action, RPG"
Aerobiz,1992-04-05,0.0,0,,0,
David Crane's Amazing Tennis,1992-01-01,0.0,0,,0,"Simulation, Sports"
Muhammad Ali Heavyweight Boxing,1992-01-01,0.0,0,,0,Sports
Traysia,1992-02-14,0.0,0,,0,RPG
Make My Video,1992-01-01,0.0,0,,0,
Ninja Gaiden (Master System),1992-01-01,0.0,0,,0,"Platformer, Action"
Genghis Khan II: Clan of the Gray Wolf (1992),1992-07-30,0.0,0,,0,Strategy
Sega Classics Arcade Collection,1992-10-15,0.0,0,,0,Puzzle
Black Hole Assault,1992-10-15,0.0,0,,0,Fighting
Wonder Dog,1992-09-25,0.0,0,,0,Action
Super SWIV,1992-11-01,0.0,0,,0,
Chelnov,1992-10-16,0.0,0,,0,
Arnie,1992-01-01,0.0,0,,0,
Air Bucks,1992-01-01,0.0,0,,0,Strategy
Air Support,1992-01-01,0.0,0,,0,Strategy
Pacific Islands,1992-01-01,0.0,0,,0,"Strategy, Simulation"
Discovery: In the Steps of Columbus,1992-01-01,0.0,0,,0,
Creatures II: Torture Trouble,1992-01-01,0.0,0,,0,Puzzle
Amberstar,1992-01-01,0.0,0,,0,RPG
Bill's Tomato Game,1992-01-01,0.0,0,,0,Puzzle
Spindizzy Worlds,1992-08-07,0.0,0,,0,Puzzle
R-Type II (1992),1992-12-11,0.0,0,,0,
The Adventures of Maddog Williams in the Dungeons of Duridian,1992-01-01,0.0,0,,0,Adventure
Aussie Rules Footy,1992-01-01,0.0,0,,0,Sports
Legends of the Diamond,1992-01-01,0.0,0,,0,Sports
Ghoul School,1992-03-01,0.0,0,,0,Action
Godzilla 2: War of the Monsters,1992-02-01,0.0,0,,0,
Golgo 13: Secret Ties (prototype),1992-01-01,0.0,0,,0,"Platformer, Action"
Sunman,1992-01-01,0.0,0,,0,Action
Crash 'n' the Boys: Street Challenge (1992),1992-06-26,0.0,0,,0,Sports
Baseball Stars 2 (1992),1992-04-28,0.0,0,,0,Sports
G.I. Joe: The Atlantis Factor,1992-03-01,0.0,0,,0,"Platformer, Action"
Championship Rally,1992-04-24,0.0,0,,0,Racing
Power Punch II,1992-06-11,0.0,0,,0,Sports
Ultimate Air Combat,1992-08-07,0.0,0,,0,
F-117A Stealth Fighter,1992-12-01,0.0,0,,0,
J-League Fighting Soccer,1992-12-27,0.0,0,,0,"Simulation, Sports"
Rival Turf! (1992),1992-03-27,0.0,0,,0,Fighting
Super Batter Up,1992-03-27,0.0,0,,0,Sports
Magical * Taruruuto-kun: Magic Adventure,1992-03-28,0.0,0,,0,"Platformer, Adventure"
Legend of the Armored Dragon Villgust: The Vanished Girl,1992-05-23,0.0,0,,0,RPG
NCAA Basketball,1992-06-19,0.0,0,,0,"Simulation, Sports"
TKO Super Championship Boxing,1992-04-28,0.0,0,,0,"Fighting, Sports"
River City Ransom 2,1992-08-07,0.0,0,,0,"Arcade, Action, Fighting"
The Glory of Heracles III: Silence of the Gods,1992-04-24,0.0,0,,0,RPG
Phalanx,1992-08-07,0.0,0,,0,
Sonic Blast Man,1992-09-25,0.0,0,,0,
E.V.O.: Search for Eden,1992-12-21,3.7,4,,0,Action
Pocky & Rocky,1992-12-22,0.0,4,,0,"Shooter, Adventure, Action"
Space Football: One on One,1992-11-06,0.0,0,,0,Sports
Dig & Spike Volleyball,1992-11-27,0.0,0,,0,"Simulation, Sports"
Space Adventure,1992-01-01,0.0,0,,0,"Educational, Adventure, Action, Casual, Strategy, Simulation, Indie"
Chinese Checkers,1992-11-01,0.0,0,,0,"Strategy, Board Games"
Trolls,1992-01-01,0.0,0,,0,Arcade
Trip World,1992-11-27,0.0,0,,0,
Knight Quest (gameboy),1992-07-12,0.0,0,,0,RPG
Bridge,1992-01-01,0.0,0,,0,Card
Wave Race,1992-06-24,0.0,0,,0,Racing
Sylvan Idyll,1992-01-01,0.0,0,,0,"Arcade, Action"
Knightmare,1992-01-01,0.0,0,,0,"Arcade, Indie, Strategy, Adventure"
DragonLance Vol. 3: The Dark Queen of Krynn,1992-01-01,0.0,0,,0,RPG
Simusex,1992-01-01,0.0,0,,0,Arcade
Bunny Bricks,1992-01-01,0.0,0,,0,Arcade
Bargon Attack,1992-01-01,0.0,0,,0,Adventure
Cybercon 3,1992-01-01,0.0,0,,0,"Shooter, Action"
Drop-Drop,1992-01-01,0.0,0,,0,
Color Buster,1992-01-01,0.0,0,,0,Arcade
Die Hard 2,1992-01-01,0.0,0,,0,Arcade
Sexy Droids,1992-01-01,0.0,0,,0,
Bolo Ball (1996),1992-01-01,0.0,0,,0,Strategy
Crazy Nick's Software Picks: King Graham's Board Game Challenge,1992-01-01,0.0,0,,0,Board Games
Tennis Cup 2,1992-01-01,0.0,0,,0,Sports
Gnome Alone,1992-01-01,0.0,0,,0,Arcade
GeoMetrix 2,1992-01-01,0.0,0,,0,Arcade
Kid Works 2,1992-01-01,0.0,0,,0,Educational
ATAC,1992-01-01,0.0,0,,0,Simulation
Indiana Jones and the Fate of Atlantis: The Action Game,1992-01-01,0.0,0,,0,Arcade
Frederick Pohl's Gateway,1992-01-01,0.0,0,,0,Adventure
Dylan Dog,1992-01-01,0.0,0,,0,Arcade
Conquered Kingdoms,1992-01-01,0.0,0,,0,Strategy
Nickyboom,1992-01-01,0.0,0,,0,Arcade
Save Princeton,1992-01-01,0.0,0,,0,Adventure
The Magic Candle 3,1992-01-01,0.0,0,,0,RPG
Legends of Future Past,1992-04-01,0.0,0,,0,"Massively Multiplayer, RPG"
Night Raid,1992-01-01,0.0,0,,0,"Shooter, Arcade, Action"
Sea Rogue,1992-01-01,0.0,0,,0,"Strategy, Adventure, RPG, Simulation"
Heroes of the 357th,1992-01-01,0.0,0,,0,Simulation
OverKill (1992),1992-01-01,0.0,0,,0,Arcade
Valhalla,1992-01-01,0.0,0,,0,RPG
Vegas Games Entertainment Pack for Windows,1992-07-01,0.0,0,,0,Card
