name,release_date,rating,rating_top,metacritic,playtime,genres
Final Fight,1989-12-20,4.0,4,82.0,0,Fighting
The Final Fantasy Legend,1989-12-15,0.0,0,71.0,0,RPG
SimCity,1989-01-01,3.62,4,64.0,64,Simulation
Blockout,1989-01-01,3.86,3,,0,Arcade
Spellcasting 1+2+3,1989-12-31,0.0,0,,1,
Journey: The Quest Begins,1989-03-01,0.0,0,,0,"Adventure, Puzzle"
Splatterhouse: Wanpaku Graffiti,1989-07-31,0.0,0,,0,"Platformer, Action"
Warlords (1989),1989-12-01,0.0,0,,0,Strategy
Ankoku Shinwa: The Dark Myth,1989-01-01,0.0,0,,0,RPG
WWF WrestleMania,1989-01-01,2.25,3,,0,"Fighting, Sports"
Angband,1989-01-01,0.0,0,,0,"Action, RPG"
F-15 Strike Eagle 2,1989-01-01,0.0,0,,0,Simulation
Eye of Horus,1989-01-01,0.0,0,,0,Arcade
Targhan,1989-01-01,0.0,0,,0,Arcade
Bloodwych (1989),1989-01-01,0.0,0,,0,RPG
It Came from the Desert,1989-01-01,0.0,0,,0,"Arcade, Racing, Adventure"
Dogs of War (1989),1989-01-01,0.0,0,,0,
Manhunter 2: San Francisco,1989-01-01,0.0,0,,0,Adventure
Mines of Titan,1989-01-01,0.0,0,,0,RPG
Stunt Car Racer,1989-01-01,0.0,0,,0,Racing
Butcher Hill,1989-01-01,0.0,0,,0,Action
Fighter Bomber (1989),1989-01-01,0.0,0,,0,
Hostage,1989-01-01,0.0,0,,0,Arcade
Future Wars: Adventures in Time,1989-01-01,0.0,0,,0,Adventure
Hillsfar,1989-01-01,0.0,0,,0,RPG
Chicago 90,1989-01-01,0.0,0,,0,"Racing, Arcade, Action"
Caves of Thor (The Thor Trilogy),1989-01-01,0.0,0,,0,Action
TaskMaker,1989-01-01,0.0,0,,0,RPG
SkyChase,1989-01-01,0.0,0,,0,Simulation
Snarf,1989-01-01,0.0,0,,0,Arcade
Miami Vice (1989),1989-01-01,0.0,0,,0,"Racing, Arcade"
World Cup Soccer '90,1989-01-01,0.0,0,,0,Sports
Keef the Thief,1989-01-01,0.0,0,,0,"Adventure, RPG"
Journey (1989),1989-01-01,0.0,0,,0,
DJ Boy,1989-01-01,0.0,0,,0,
Valkyrie no Densetsu,1989-03-01,0.0,0,,0,"Adventure, Action"
Tomcat,1989-01-01,0.0,0,,0,
Tet!4!2!,1989-01-01,0.0,0,,0,Arcade
Wilderness: A Survival Adventure,1989-04-01,0.0,0,,0,Simulation
The Bugs Bunny Crazy Castle(GB),1989-05-01,3.43,3,,0,"Action, Puzzle"
Where in Time Is Carmen Sandiego?,1989-08-01,0.0,0,,0,"Strategy, Educational"
Space Rogue (1990),1989-09-01,0.0,0,,0,"Shooter, Action, Simulation"
Air Fortress,1989-09-01,0.0,0,,0,
Back to the Future,1989-09-01,0.0,1,,0,
World Champion Soccer (1989),1989-09-01,0.0,0,,0,Sports
Bonk's Adventure (1989),1989-12-15,3.12,3,,0,Action
Bad News Baseball,1989-12-15,0.0,0,,0,"Simulation, Sports"
Warlords I + II,1989-12-31,0.0,0,,0,
Curse (1989),1989-12-23,0.0,0,,0,
Boxxle,1989-09-01,0.0,0,,0,Puzzle
All-Pro Basketball,1989-07-21,0.0,0,,0,Sports
Operation Wolf,1989-03-31,3.27,3,,0,Arcade
Stealth ATF,1989-10-01,0.0,0,,0,
Wrath of the Black Manta,1989-11-17,0.0,0,,0,
Breach 2,1989-12-31,0.0,0,,0,Strategy
Battle Master,1989-12-31,0.0,0,,0,"Action, Fighting"
Shadow of the Beast (1989),1989-01-01,0.0,0,,0,
Rock 'n' Roll,1989-01-01,0.0,0,,0,"Arcade, Action, Puzzle"
Dungeons & Dragons: Krynn Series,1989-12-31,0.0,0,,1,RPG
Personal Nightmare,1989-01-01,0.0,0,,1,Adventure
The Bugs Bunny Crazy Castle,1989-03-05,3.83,3,,0,Platformer
Demon's World,1989-07-01,0.0,0,,0,"Shooter, Platformer, Action"
Star Soldier (1989),1989-01-01,0.0,0,,0,"Shooter, Action"
Sands of Fire,1989-12-31,0.0,0,,0,"Strategy, Action, Simulation"
World Championship Boxing Manager,1989-12-31,0.0,0,,1,"Strategy, Simulation, Sports"
007: Licence to Kill,1989-04-20,0.0,0,,0,
River City Ransom,1989-04-25,3.84,5,,0,"Action, RPG, Fighting"
Perestroyka,1989-01-01,0.0,0,,0,Arcade
RoboCop,1989-12-19,3.39,3,,0,"Arcade, Adventure, Action"
The Zork Anthology,1989-07-13,0.0,4,,2,"Adventure, Action"
Fiendish Freddy's Big Top o' Fun,1989-08-31,0.0,0,,0,Action
Links: The Challenge of Golf,1989-12-31,0.0,0,,1,Sports
Pang,1989-12-31,0.0,0,,7,Arcade
James Clavell's Shogun,1989-03-01,0.0,0,,0,Adventure
Stormlord (1989),1989-01-01,0.0,0,,0,Platformer
Fester's Quest,1989-12-31,0.0,4,,0,Adventure
Rock 'n Ball,1989-03-24,0.0,0,,0,
Pinball Quest,1989-12-15,0.0,0,,0,RPG
Shingen the Ruler,1989-08-21,0.0,0,,0,Strategy
Taboo: The Sixth Sense,1989-04-01,0.0,0,,0,
Tecmo Baseball,1989-01-01,0.0,0,,0,Sports
Top Players' Tennis,1989-10-13,0.0,0,,0,Sports
Track & Field II,1989-06-30,0.0,0,,0,Sports
Ghouls 'n Ghosts,1989-10-29,3.67,4,,0,
Project Firestart,1989-01-01,0.0,0,,0,
