name,release_date,rating,metacritic,playtime,genres
Half-Life 2,2004-11-16,4.49,96.0,7,"Shooter, Action"
Grand Theft Auto: San Andreas,2004-10-26,4.51,93.0,2,"Racing, Action"
Half-Life 2: Deathmatch,2004-11-01,3.29,,1,Action
Garry's Mod,2004-12-24,3.79,,14,"Adventure, Action, Casual, Simulation, Indie"
Counter-Strike: Source,2004-11-01,3.75,88.0,7,Shooter
Counter-Strike: Condition Zero,2004-03-01,3.14,65.0,1,Action
Syberia 2,2004-03-28,3.88,80.0,5,"Adventure, Puzzle"
Half-Life: Source,2004-06-01,3.74,,1,Action
Star Wars: Knights of the Old Republic II – The Sith Lords,2004-12-06,4.37,85.0,4,"Adventure, RPG"
Counter-Strike: Condition Zero Deleted Scenes,2004-03-23,2.93,,1,Shooter
DOOM 3,2004-08-03,3.91,87.0,1,"Shooter, Action"
Vampire: The Masquerade - Bloodlines,2004-11-15,4.38,80.0,2,"Action, RPG"
Far Cry,2004-03-22,3.9,89.0,1,"Shooter, Action"
Hitman: Contracts,2004-04-20,3.93,77.0,1,"Shooter, Adventure, Action"
Prince of Persia: Warrior Within,2004-11-30,4.39,83.0,2,"Adventure, Action"
Thief 3: Deadly Shadows,2004-05-24,3.73,85.0,1,"Action, Simulation"
Beyond Divinity,2004-04-26,3.2,73.0,1,"Action, RPG"
Sid Meier's Pirates!,2004-11-22,3.96,88.0,1,"Educational, Adventure, Action, RPG, Fighting, Strategy, Arcade, Simulation"
Need for Speed: Underground 2,2004-11-09,4.41,82.0,46,"Racing, Arcade"
FlatOut,2004-11-05,4.04,72.0,1,"Racing, Arcade"
Space Hack,2004-10-15,1.72,63.0,1,"Indie, Action"
Evil Genius,2004-09-27,3.77,75.0,2,Strategy
The Bard's Tale,2004-10-26,3.52,70.0,3,"Adventure, Action, RPG"
Street Racing Syndicate,2004-08-31,3.1,62.0,4,"Racing, Arcade"
Metal Gear Solid 3: Snake Eater,2004-11-17,4.38,84.0,0,Action
Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,4.29,93.0,3,Action
Gish,2004-05-10,3.4,80.0,1,"Indie, Adventure"
Sacred Gold,2004-10-21,4.18,,1,"Action, RPG"
Neighbours from Hell Compilation,2004-02-19,3.95,69.0,1,"Casual, Adventure, Puzzle"
World of Warcraft,2004-11-23,4.31,93.0,129,"Massively Multiplayer, RPG"
Yume Nikki,2004-06-26,3.89,,1,"Adventure, RPG, Casual, Simulation, Indie"
"Pokémon FireRed, LeafGreen",2004-01-29,4.4,81.0,0,"Strategy, RPG"
"Pokémon Ruby, Sapphire, Emerald",2004-09-16,4.37,76.0,0,"Adventure, RPG"
The Sims 2,2004-09-14,4.26,82.0,4,Simulation
Star Wars: Battlefront (2004),2004-09-20,4.14,76.0,1,"Shooter, Action"
World War II: Panzer Claws,2004-01-14,1.86,61.0,3,Strategy
CS2D,2004-03-21,3.23,,1,"Casual, Indie, Action"
ROME: Total War,2004-09-22,4.4,88.0,2,"Strategy, Simulation"
The Legend of Zelda: The Minish Cap,2004-11-04,4.41,,24,"Adventure, Action, RPG"
Call of Duty: United Offensive,2004-09-14,4.06,87.0,4,Shooter
BloodRayne 2,2004-10-12,3.73,67.0,4,"Shooter, Adventure, Action"
Silent Storm Gold Edition,2004-09-09,4.29,83.0,2,"Strategy, Action, RPG"
Halo 2,2004-11-09,4.38,84.0,8,"Shooter, Action"
Marine Sharpshooter II: Jungle Warfare,2004-06-22,1.96,52.0,1,Action
Jak 3,2004-11-09,4.18,84.0,0,Action
Guilty Gear X2 #Reload,2004-09-01,4.1,,4,"Action, Fighting"
The I of the Dragon,2004-03-09,2.39,,3,RPG
OpenTTD,2004-03-13,3.62,,1,"Casual, Strategy, Indie, Simulation"
Obscure,2004-10-01,3.8,63.0,2,"Adventure, Action"
Silent Hill 4: The Room,2004-06-17,4.04,72.0,1,Action
Spider-Man 2: The Game,2004-06-28,3.87,42.0,0,"Adventure, Action"
Sherlock Holmes: The Silver Earring,2004-08-06,3.17,68.0,2,Adventure
Harry Potter and the Prisoner of Azkaban,2004-06-01,4.05,68.0,18,"Platformer, Arcade, Action"
Crusader Kings Complete,2004-04-22,2.87,73.0,1,Strategy
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,4.08,90.0,10,"Adventure, Action"
Uncharted Waters Online,2004-10-30,1.75,,1,"Adventure, RPG, Strategy, Simulation, Massively Multiplayer"
Unreal Tournament 2004,2004-03-16,4.32,93.0,3,"Shooter, Action"
Perimeter,2004-06-29,3.72,77.0,3,Strategy
Feeding Frenzy,2004-02-11,3.03,,0,"Arcade, Action"
Heroes of Might and Magic 4: Complete,2004-09-08,3.99,,1,Strategy
Medal of Honor: Pacific Assault,2004-11-03,3.77,80.0,1,Shooter
Metroid: Zero Mission,2004-02-09,4.38,89.0,4,"Platformer, Action"
Return to Mysterious Island,2004-11-03,3.81,,1,"Casual, Adventure, Puzzle"
Zuma Deluxe,2004-04-15,3.89,78.0,1,"Casual, Puzzle"
Konung 2,2004-11-30,3.65,35.0,1,"Strategy, Adventure, RPG"
Full Spectrum Warrior,2004-05-31,3.0,80.0,1,"Strategy, Action, Simulation"
Soldiers: Heroes of World War II,2004-06-29,4.29,77.0,1,Strategy
Bejeweled 2,2004-11-05,3.39,74.0,2,Puzzle
Aura: Fate of the Ages,2004-06-24,2.68,63.0,1,Adventure
Paper Mario: The Thousand-Year Door,2004-07-22,4.34,87.0,0,RPG
Knights of Honor,2004-09-29,3.85,77.0,1,Strategy
Space Rangers,2004-06-11,4.35,,1,"Arcade, Strategy, Adventure, RPG"
Worms Forts: Under Siege,2004-11-18,3.09,65.0,1,"Strategy, Fighting"
Killzone,2004-11-02,3.61,70.0,32,"Shooter, Action"
Dark Fall 2: Lights Out,2004-08-23,2.92,66.0,1,Adventure
The Chronicles of Riddick: Escape from Butcher Bay,2004-06-01,4.33,90.0,24,"Shooter, Action"
Phoenix Wright: Ace Attorney − Trials and Tribulations,2004-01-23,4.37,81.0,17,Adventure
URU: Complete Chronicles,2004-06-03,2.46,,1,"Casual, Adventure, Puzzle"
The Lord of the Rings: The Battle for Middle-earth,2004-12-06,4.4,,1,Strategy
Shrek 2: The Game,2004-04-28,3.98,63.0,0,Arcade
Metin2,2004-03-08,2.81,,1,"Massively Multiplayer, Adventure, Action, RPG"
Painkiller,2004-04-12,4.29,,1,"Shooter, Action"
Nexus - The Jupiter Incident,2004-11-05,3.32,77.0,2,"Strategy, Indie, Simulation"
Space Rangers 2: Rise of the Dominators,2004-11-26,4.33,,0,"Arcade, Strategy, Adventure, RPG"
"Warhammer 40,000: Dawn of War",2004-09-20,4.37,,2,Strategy
Super Mario 64 DS,2004-11-21,4.24,85.0,0,"Platformer, Action"
Tony Hawk's Underground 2,2004-10-04,4.35,84.0,0,"Arcade, Sports"
Platypus,2004-06-02,2.93,,3,Action
Burnout 3: Takedown,2004-09-07,4.41,94.0,23,"Racing, Arcade"
Port Royale 2,2004-09-12,3.91,75.0,1,Strategy
Fable (2004),2004-09-14,4.26,,0,"Adventure, Action, RPG"
Metroid Prime 2: Echoes,2004-11-15,4.4,92.0,0,"Adventure, Action"
Forgotten Realms: Demon Stone,2004-12-07,3.15,70.0,1,"Action, RPG"
Mashed: Drive to Survive,2004-06-24,3.71,,1,"Racing, Simulation"
Ratchet & Clank: Up Your Arsenal,2004-11-03,4.38,91.0,0,"Platformer, Action"
Tekken 5,2004-12-09,4.29,88.0,0,Fighting
Bad Mojo Redux,2004-12-08,3.5,74.0,1,"Adventure, Simulation, Puzzle"
SIREN,2004-03-12,4.26,72.0,0,Adventure
Myst IV: Revelation,2004-09-09,4.2,,1,"Adventure, Puzzle"
Neighbours from Hell 2: On Vacation,2004-02-20,4.04,,0,"Arcade, Adventure, Puzzle"
SuperPower 2,2004-10-10,3.5,,2,"Strategy, Simulation"
Red Dead Revolver,2004-05-04,3.62,73.0,0,Action
Stalingrad,2004-12-03,3.23,,1,Strategy
Kult: Heretic Kingdoms,2004-11-11,3.39,,1,"Indie, Adventure, Action, RPG"
Dragon Quest VIII: Journey of the Cursed King,2004-11-27,4.38,84.0,0,RPG
Second Sight,2004-09-21,4.07,75.0,1,Action
Fire Emblem: The Sacred Stones,2004-10-07,4.23,85.0,11,Strategy
Kingdom Hearts: Chain of Memories,2004-11-11,3.63,76.0,0,RPG
Sly 2: Band of Thieves,2004-09-14,4.4,88.0,0,"Adventure, Action"
Metal Gear Solid: The Twin Snakes,2004-03-09,4.35,85.0,0,"Adventure, Action"
Onimusha 3: Demon Siege,2004-02-26,4.11,85.0,2,Action
Delta Force — Black Hawk Down: Team Sabre,2004-01-21,3.65,70.0,1,"Shooter, Action"
Pokémon Colosseum,2004-02-10,3.82,73.0,0,RPG
Gran Turismo 4,2004-12-28,4.43,89.0,0,Racing
Sacred,2004-03-23,4.1,74.0,2,"Action, RPG"
Katamari Damacy,2004-03-18,4.37,86.0,0,"Arcade, Action"
Medal of Honor: Allied Assault War Chest,2004-03-02,4.03,,1,Shooter
Pikmin 2,2004-04-29,4.39,,6,"Strategy, Puzzle"
Shadow Ops: Red Mercury,2004-09-16,3.08,61.0,1,Action
Battlefield Vietnam,2004-03-14,3.95,84.0,1,"Shooter, Action"
Driv3r,2004-06-21,3.16,51.0,0,"Racing, Action"
Tom Clancy's Rainbow Six 3: Athena Sword,2004-03-09,3.21,,1,"Shooter, Action"
Chris Sawyer's Locomotion,2004-09-10,4.0,,1,"Strategy, Simulation"
Ground Control II: Operation Exodus,2004-06-18,3.75,80.0,1,Strategy
Postal 2: Apocalypse Weekend,2004-08-11,3.68,45.0,8,"Shooter, Action"
The Political Machine,2004-08-10,2.44,,1,Strategy
The Legend of Zelda: Four Swords Adventures,2004-03-18,4.03,,0,"Adventure, Action"
Psi-Ops: The Mindgate Conspiracy,2004-06-14,4.08,84.0,0,"Shooter, Action"
Catwoman,2004-07-20,2.04,46.0,2,"Indie, Adventure, Action"
The Incredibles,2004-09-28,3.57,,0,Arcade
Mortal Kombat: Deception,2004-10-04,3.94,81.0,0,Fighting
Act of War: Direct Action,2004-01-01,3.87,82.0,1,Action
Lineage 2: The Chaotic Chronicle,2004-04-28,4.34,62.0,0,"Massively Multiplayer, RPG"
SAMURAI SHODOWN V SPECIAL,2004-03-31,3.67,,1,"Casual, Arcade, Action, Fighting"
Def Jam: Fight for NY,2004-09-20,4.37,,0,Fighting
WarioWare: Touched!,2004-12-02,4.34,81.0,2,"Family, Action, Puzzle"
The Moment of Silence,2004-09-30,3.2,70.0,2,"Indie, Adventure"
Call of Duty: Finest Hour,2004-11-16,3.88,76.0,0,Shooter
