name,release_date,rating,metacritic,playtime,genres
Half-Life 2: Episode One,2006-06-01,4.37,87.0,4,"Shooter, Action"
Half-Life Deathmatch: Source,2006-05-01,3.22,,1,Action
Company of Heroes,2006-09-11,3.67,93.0,7,Strategy
Hitman: Blood Money,2006-05-29,4.3,82.0,2,"Shooter, Action"
Tomb Raider: Legend,2006-04-06,3.9,82.0,2,"Adventure, Action"
Just Cause,2006-09-22,3.32,75.0,1,"Shooter, Action"
Titan Quest,2006-06-26,3.9,69.0,1,"Action, RPG"
Dark Messiah of Might and Magic,2006-10-24,4.3,72.0,2,"Action, RPG"
Gothic 3,2006-10-12,3.7,63.0,1,"Adventure, Action, RPG"
Gears of War,2006-11-08,4.11,90.0,7,"Shooter, Action"
The Elder Scrolls IV: Oblivion,2006-03-20,4.34,94.0,4,RPG
FlatOut 2,2006-06-29,4.3,76.0,2,"Racing, Arcade"
The Ship: Murder Party,2006-07-11,2.96,76.0,3,"Indie, Action, RPG"
The Ship: Single Player,2006-11-20,2.66,,1,"Indie, Action, RPG"
DEFCON,2006-09-28,3.05,84.0,1,"Strategy, Indie"
Dead Rising,2006-08-08,3.68,82.0,5,Action
Civilization IV: Warlords,2006-07-26,3.7,84.0,1,Strategy
"Warhammer 40,000: Dawn of War - Dark Crusade",2006-10-09,4.17,87.0,3,Strategy
Tom Clancy's Splinter Cell Double Agent,2006-10-17,3.77,80.0,2,"Adventure, Action"
Tom Clancy's Rainbow Six Vegas,2006-11-22,3.66,85.0,1,"Shooter, Action"
Need For Speed Carbon,2006-10-30,3.92,77.0,20,"Racing, Arcade"
Call of Juarez,2006-09-06,3.82,72.0,3,"Shooter, Action"
Heroes of Might and Magic V,2006-05-16,4.2,77.0,2,Strategy
Lost Planet: Extreme Condition,2006-12-21,3.67,66.0,1,"Shooter, Adventure, Action"
Devil May Cry 3: Dante's Awakening Special Edition,2006-01-24,4.4,76.0,1,"Adventure, Action"
Alien Shooter 2: Reloaded,2006-09-06,3.68,,3,"Indie, Action, RPG"
Sid Meier's Railroads!,2006-10-17,3.18,77.0,1,"Strategy, Simulation"
Rome: Total War - Alexander,2006-06-26,3.39,79.0,1,"Strategy, Simulation"
The Legend of Heroes: Trails in the Sky,2006-10-28,4.25,85.0,5,RPG
Red Orchestra: Ostfront 41-45,2006-03-14,3.02,81.0,1,Action
The Legend of Zelda: Twilight Princess,2006-11-19,4.4,,60,"Action, RPG"
Call of Duty 3,2006-11-07,3.77,81.0,3,Shooter
Marvel Ultimate Alliance,2006-10-24,3.92,81.0,2,"Adventure, Action, RPG, Fighting, Arcade"
ROBLOX,2006-08-27,3.25,,173,"Racing, Shooter, Adventure, Action, RPG, Fighting, Puzzle, Strategy, Arcade, Simulation, Sports, Card, Family, Board Games, Educational, Casual, Indie, Massively Multiplayer, Platformer"
Dreamfall: The Longest Journey,2006-04-16,4.24,75.0,4,"Adventure, Action, RPG"
Sam & Max: 101 - Culture Shock,2006-11-01,3.31,,2,"Adventure, Action"
Ys Origin,2006-12-21,3.84,76.0,5,"Adventure, Action, RPG"
Saints Row,2006-08-29,3.55,81.0,2,"Shooter, Adventure, Action"
FINAL FANTASY III,2006-11-14,3.77,68.0,5,RPG
Alpha Prime,2006-12-22,2.49,59.0,1,Action
The Blackwell Legacy,2006-12-29,3.77,80.0,3,"Indie, Adventure"
Heroes of Might & Magic V: Hammers of Fate,2006-10-10,4.07,66.0,1,Strategy
Bully,2006-10-17,4.36,87.0,0,"Adventure, Action, Simulation"
Marc Ecko's Getting Up: Contents Under Pressure,2006-02-14,4.11,69.0,1,"Adventure, Action"
Disciples II: Gallean's Return,2006-07-06,4.48,84.0,1,Strategy
IL-2 Sturmovik: 1946,2006-12-14,3.34,86.0,1,Simulation
flOw,2006-04-14,3.59,71.0,0,"Adventure, Puzzle, Arcade, Simulation, Indie"
Disciples II: Rise of the Elves,2006-07-06,4.48,80.0,1,Strategy
Stronghold Legends,2006-10-13,3.07,,3,"Strategy, Simulation"
Tom Clancy's Ghost Recon: Advanced Warfighter,2006-03-09,3.48,85.0,1,"Shooter, Action"
Dwarf Fortress,2006-08-08,4.29,93.0,3,"Strategy, Indie, RPG, Simulation"
Rayman Raving Rabbids,2006-11-14,3.65,58.0,1,"Family, Adventure, Action"
Runaway 2: The Dream of the Turtle,2006-11-16,3.93,,3,"Adventure, Action, RPG"
Hard Truck: Apocalypse,2006-06-19,3.94,45.0,4,"Racing, Simulation"
SiN Episodes: Emergence,2006-05-10,3.53,75.0,1,"Shooter, Action"
Jagged Alliance 2 Gold,2006-07-06,4.38,,1,Strategy
Planet Alcatraz,2006-11-03,3.85,,4,RPG
The Godfather: The Game,2006-03-21,3.84,74.0,0,"Shooter, Adventure, Action"
Desperados 2: Cooper's Revenge,2006-04-27,3.28,66.0,1,"Strategy, Action"
The Ship,2006-07-11,3.36,,3,"Shooter, Action"
New Super Mario Bros.,2006-05-15,4.16,89.0,25,"Platformer, Arcade, Action"
Test Drive Unlimited,2006-09-05,3.99,79.0,3,"Racing, Arcade"
Jets'n'Guns Gold,2006-12-01,3.95,,3,"Indie, Shooter, Arcade, Action"
Prey (2006),2006-07-11,4.11,83.0,0,"Shooter, Adventure, Action"
Secret Files: Tunguska,2006-10-30,3.56,68.0,4,"Family, Adventure"
Dream Pinball 3D,2006-08-30,1.5,61.0,3,"Casual, Arcade, Action, Simulation"
Grand Theft Auto: Vice City Stories,2006-10-31,4.01,80.0,42,"Racing, Shooter, Action"
Neverwinter Nights 2 Complete,2006-10-30,4.07,,1,"Adventure, RPG"
Sonic The Hedgehog (2006),2006-11-14,2.41,44.0,0,Platformer
Heroes of Annihilated Empires,2006-10-04,3.77,65.0,1,"Strategy, RPG"
Faces of War,2006-09-07,4.17,67.0,1,"Strategy, Action, Simulation"
Star Wolves 2,2006-04-27,3.92,,1,"Strategy, RPG"
Golden Axe,2006-11-30,3.86,,6,"Arcade, Action"
Geneforge 4: Rebellion,2006-11-20,2.55,,1,"Strategy, Indie, RPG"
Wii Sports,2006-11-19,4.2,76.0,55,Sports
Broken Sword 4 - The Angel of Death,2006-09-15,3.3,,3,Adventure
Cossacks 2: Battle for Europe,2006-06-19,3.62,69.0,1,Strategy
Feeding Frenzy 2 Deluxe,2006-08-30,3.05,,1,Casual
El Matador,2006-09-15,2.71,54.0,1,Action
Gurumin: A Monstrous Adventure,2006-06-29,3.3,75.0,6,"Adventure, Action, RPG"
Guitar Hero II,2006-11-07,4.2,,10,"Arcade, Simulation"
Darkstar One,2006-08-10,3.0,71.0,1,"Action, Simulation"
Eets,2006-03-27,1.61,,1,"Arcade, Puzzle"
Full Spectrum Warrior: Ten Hammers,2006-03-27,2.76,70.0,1,"Strategy, Action, Simulation"
Driver: Parallel Lines,2006-06-26,3.59,61.0,1,"Shooter, Action"
Caesar 4,2006-09-08,3.48,74.0,1,"Strategy, Simulation"
A.I.M.2 Clan Wars,2006-02-16,3.44,,1,"Action, RPG, Simulation"
Okami,2006-04-20,4.4,93.0,1,"Adventure, Action"
The Lord of the Rings: The Battle for Middle-earth 2,2006-02-28,4.41,,0,Strategy
RoboBlitz,2006-11-06,2.78,80.0,1,"Indie, Adventure, Action"
Gumboy - Crazy Adventures,2006-07-26,2.33,69.0,1,"Casual, Indie"
Lego Star Wars II: The Original Trilogy,2006-09-11,4.13,,0,Arcade
Rogue Trooper,2006-04-20,3.66,69.0,1,"Shooter, Action"
RACE - The WTCC Game,2006-11-24,3.33,,1,Racing
Perimeter: Emperor's Testament,2006-08-28,3.3,72.0,1,Strategy
