name,release_date,rating,rating_top,metacritic,playtime,genres
Maniac Mansion: Day of the Tentacle,1993-06-25,4.34,5,93.0,6,"Adventure, Puzzle"
DOOM,1993-12-10,4.39,5,83.0,0,"Shooter, Action"
Lunar: The Silver Star,1993-12-15,0.0,0,80.0,0,RPG
Cotton: Fantastic Night Dreams,1993-02-12,0.0,0,76.0,0,"Shooter, Action"
Gunstar Heroes,1993-09-09,4.24,5,75.0,0,Action
The Lost Vikings,1993-04-23,4.33,5,75.0,0,"Platformer, Action, Puzzle"
Castlevania Chronicles,1993-10-08,3.76,4,69.0,0,"Platformer, Adventure, Action"
Snow Bros. Nick & Tom,1993-05-28,0.0,5,60.0,0,Platformer
Disney’s Aladdin (1993),1993-11-21,3.75,4,59.0,0,"Platformer, Action"
Disney's Aladdin,1993-11-11,4.22,4,59.0,1,"Arcade, Platformer, Adventure, Action"
Mega Man X (1993),1993-12-17,4.31,5,55.0,0,"Arcade, Platformer, Adventure, Action"
The Chaos Engine,1993-03-01,3.67,5,40.0,2,"Shooter, Action"
Myst,1993-09-24,3.88,4,23.0,1,"Indie, Adventure, Puzzle"
Spinmaster,1993-12-16,0.0,0,,0,"Platformer, Action"
True Golf Classics: Wicked 18,1993-03-05,0.0,0,,0,Sports
Chuck Rock II: Son of Chuck,1993-01-01,0.0,0,,0,"Platformer, Action"
Star Trek: The Next Generation,1993-09-01,0.0,0,,0,Simulation
Surgical Strike,1993-11-16,0.0,0,,0,Action
Dungeon Master II: The Legend of Skullkeep,1993-01-01,0.0,0,,0,RPG
Dracula Unleashed,1993-01-01,0.0,0,,0,Adventure
WWF Rage in the Cage,1993-12-21,0.0,0,,0,"Fighting, Sports"
Dark Wizard,1993-11-12,0.0,0,,0,
Ren & Stimpy: Stimpy's Invention,1993-01-01,3.25,4,,0,"Platformer, Action"
Technoclash,1993-01-01,0.0,0,,0,"Action, RPG"
Wayne's World,1993-01-01,0.0,0,,0,"Platformer, Adventure"
European Club Soccer,1993-02-26,0.0,0,,0,Sports
Barney's Hide & Seek Game,1993-01-01,0.0,0,,0,Platformer
Sub-Terrania,1993-01-01,0.0,0,,0,"Shooter, Action"
Party Quiz Mega Q,1993-01-01,0.0,0,,0,Puzzle
Rolo to the Rescue,1993-04-29,0.0,0,,0,Action
Eternal Champions (1993),1993-08-14,3.8,4,,0,"Action, Fighting"
Dashin' Desperadoes,1993-07-01,0.0,0,,0,Platformer
The Berenstain Bears' Camping Adventure,1993-06-28,0.0,0,,0,"Platformer, Family"
Socket,1993-08-17,0.0,0,,0,Platformer
Columns III (1993),1993-10-15,4.17,4,,0,Puzzle
Championship Pool,1993-10-01,0.0,0,,0,"Simulation, Sports"
Dragon's Revenge,1993-12-10,0.0,0,,0,
Maten no Soumetsu,1993-12-29,0.0,0,,0,RPG
