name,release_date,rating,rating_top,metacritic,playtime,genres
Mega Man Battle Network 3,2002-12-06,4.44,4,77.0,0,"Action, RPG"
MoonBase Commander,2002-08-12,0.0,4,77.0,3,Strategy
Arx Fatalis,2002-11-11,3.99,5,77.0,1,"Adventure, Action, RPG"
Ultimate Muscle: Legends vs. New Generation,2002-11-22,0.0,0,77.0,0,Fighting
Beach Spikers,2002-07-19,0.0,0,76.0,0,Sports
Phoenix Wright: Ace Attorney − Justice for All,2002-10-22,4.43,5,76.0,0,Adventure
.hack//Mutation Part 2,2002-09-19,0.0,0,76.0,0,"Action, RPG"
American Conquest,2002-11-15,3.74,4,76.0,1,Strategy
.hack//Infection Part 1,2002-06-20,3.77,4,75.0,0,RPG
Command & Conquer: Renegade,2002-02-25,3.78,4,75.0,18,"Shooter, Action"
Frogger's Adventures 2: The Lost Wand,2002-11-05,0.0,0,75.0,0,"Platformer, Action"
Sonic Mega Collection,2002-11-10,4.44,4,75.0,0,"Platformer, Action, Fighting, Puzzle"
Harry Potter and the Chamber of Secrets,2002-11-15,4.1,4,74.0,23,"Arcade, Adventure, Action"
Medal of Honor Allied Assault: Spearhead,2002-11-12,3.97,4,74.0,0,Shooter
RollerCoaster Tycoon 2: Triple Thrill Pack,2002-10-14,4.09,5,74.0,1,"Strategy, Simulation"
Way of the Samurai,2002-02-07,4.0,4,74.0,0,"Action, RPG"
Armored Core 3,2002-09-10,3.67,4,74.0,0,"Shooter, Action, Simulation"
Shadow of Destiny,2002-11-21,4.06,4,74.0,0,Adventure
Tribes Aerial Assault,2002-09-23,0.0,0,73.0,0,"Shooter, Action, Simulation"
Worms Blast,2002-03-22,2.59,1,73.0,1,"Casual, Strategy, Action, Puzzle"
Robotech: Battlecry,2002-09-25,0.0,0,73.0,0,"Shooter, Action"
Warrior Kings,2002-04-12,0.0,0,73.0,1,Strategy
The Scorpion King: Sword of Osiris,2002-04-02,0.0,0,72.0,0,"Platformer, Adventure, Action"
The Getaway,2002-12-11,3.71,4,72.0,0,"Adventure, Action"
The Sum of All Fears,2002-05-28,0.0,0,72.0,1,"Shooter, Action"
Enclave,2002-07-18,3.1,4,71.0,3,"Adventure, Action, RPG"
Shinobi (2002),2002-11-10,0.0,3,71.0,0,Action
Blinx: The Time Sweeper,2002-10-07,3.6,3,71.0,0,"Platformer, Action"
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002-09-10,3.43,4,71.0,0,Platformer
Delta Force: Urban Warfare,2002-07-02,0.0,0,70.0,0,"Shooter, Action"
Dual Hearts,2002-09-23,0.0,0,70.0,0,"Action, RPG"
Mario Party 4,2002-10-21,3.96,4,70.0,0,Board Games
Inuyasha: A Feudal Fairy Tale,2002-12-05,0.0,0,69.0,0,Fighting
Iron Storm,2002-10-24,2.85,4,69.0,1,"Indie, Shooter, Adventure, Action"
Clock Tower 3,2002-12-12,3.78,4,69.0,0,Adventure
Scooby-Doo! Night of 100 Frights,2002-05-20,0.0,0,69.0,0,"Platformer, Adventure, Action"
Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan!,2002-02-07,0.0,0,69.0,0,RPG
