name,release_date,rating,metacritic,playtime,genres
Half-Life: Opposing Force,1999-11-01,3.85,,3,Action
Team Fortress Classic,1999-04-01,2.93,,1,Action
System Shock 2,1999-08-11,4.14,92.0,2,"Shooter, Action, RPG"
Thief Gold,1999-10-29,4.0,92.0,1,"Action, Simulation"
Worms Armageddon,1999-01-29,4.31,,2,Strategy
Crazy Taxi (1999),1999-01-01,3.83,82.0,1,"Racing, Arcade, Action"
Quake III Arena,1999-12-02,4.32,69.0,1,"Shooter, Action"
Tomb Raider IV: The Last Revelation,1999-10-31,3.71,,1,"Shooter, Adventure, Action, Puzzle"
Legacy of Kain: Soul Reaver,1999-08-16,4.11,91.0,1,"Platformer, Adventure, Action"
Gorky 17,1999-09-28,3.4,,4,"Strategy, RPG"
Tyrian 2000,1999-11-29,2.37,,1,"Shooter, Action"
Grand Theft Auto 2,1999-10-22,4.03,70.0,1,"Racing, Action"
Commandos: Beyond the Call of Duty,1999-04-07,4.04,,1,Action
FINAL FANTASY VIII,1999-01-11,4.27,90.0,3,RPG
The Longest Journey,1999-11-18,4.37,91.0,1,"Adventure, Puzzle"
Septerra Core: Legacy of the Creator,1999-10-31,2.88,70.0,4,"Adventure, RPG"
Spyro 2: Ripto's Rage!,1999-10-31,4.14,,0,"Arcade, Platformer, Adventure, Action"
Metal Slug X,1999-02-28,4.13,,3,"Casual, Arcade, Action, Fighting"
Silent Hill,1999-01-31,4.37,86.0,23,Action
Aliens Versus Predator,1999-04-30,3.72,,1,"Shooter, Action"
Freespace 2,1999-09-30,3.14,91.0,1,"Action, Simulation"
Outcast 1.1,1999-07-31,2.82,,5,"Adventure, Action, RPG"
"Warhammer 40,000: Rites of War",1999-07-22,2.68,,1,Strategy
Age of Wonders,1999-11-11,3.24,,1,"Strategy, RPG"
STAR WARS - X-Wing Alliance,1999-02-28,2.87,,1,"Shooter, Action, Simulation"
"Pokémon Gold, Silver",1999-11-21,4.38,,900,RPG
Age of Empires II: Age of Kings,1999-09-30,4.41,92.0,0,Strategy
Heroes of Might and Magic 3: The Restoration of Erathia,1999-03-03,4.36,,0,Strategy
X: Beyond the Frontier,1999-07-01,3.35,67.0,1,"Strategy, Simulation"
Resident Evil 3: Nemesis,1999-09-22,4.32,75.0,18,Action
Mob Rule Classic,1999-08-27,2.57,,1,Simulation
Planescape: Torment,1999-12-12,4.36,91.0,2,"Strategy, RPG"
Shadow Man,1999-08-31,3.24,,1,"Adventure, Action"
Crash Team Racing,1999-09-30,4.35,88.0,0,"Racing, Action"
Rayman 2: The Great Escape,1999-10-29,4.12,68.0,1,"Platformer, Adventure, Action"
Dungeon Keeper 2,1999-06-30,4.42,,1,"Strategy, Action"
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999-11-19,3.14,80.0,1,Adventure
King of Dragon Pass,1999-10-31,3.69,,6,"Strategy, RPG"
EverQuest (1999),1999-03-16,2.65,85.0,0,"Massively Multiplayer, RPG"
Unreal Tournament,1999-11-22,4.37,92.0,2,"Shooter, Action"
Super Smash Bros. (1999),1999-01-21,4.22,79.0,0,"Action, Fighting"
Disciples Sacred Lands Gold,1999-10-04,3.9,,1,Strategy
DARKSTONE,1999-07-30,3.52,,1,"Action, RPG"
Pharaoh + Cleopatra,1999-10-31,4.31,,1,"Strategy, Simulation"
Urban Chaos,1999-11-29,3.81,52.0,1,"Shooter, Adventure, Action, Puzzle"
Dino Crisis,1999-07-01,4.07,59.0,7,"Adventure, Action"
Pokémon Snap,1999-03-21,3.94,77.0,2,Simulation
Disney's Tarzan,1999-06-29,3.82,,0,"Platformer, Action"
Chrono Cross,1999-11-18,4.39,94.0,42,RPG
Command & Conquer: Tiberian Sun,1999-08-27,4.37,,1,Strategy
Delta Force 2,1999-11-03,3.77,,1,Action
Shenmue,1999-12-29,4.29,,0,"Adventure, RPG, Simulation"
Kingpin — Life of Crime,1999-06-30,3.75,,1,"Shooter, Action"
Pokémon Stadium,1999-04-30,3.98,,24,Strategy
Sid Meier's Alpha Centauri Planetary Pack,1999-02-12,3.41,,1,Strategy
Donkey Kong 64,1999-11-22,3.98,90.0,0,"Platformer, Adventure, Action"
Need for Speed: High Stakes,1999-03-01,4.06,86.0,30,"Racing, Arcade"
Medal of Honor (1999),1999-10-31,4.21,92.0,0,"Shooter, Action"
STAR WARS: Episode I Racer,1999-05-16,4.08,66.0,0,"Racing, Arcade, Action"
Tony Hawk's Pro Skater,1999-08-31,4.41,92.0,0,Sports
Heroes of Might and Magic 3: Armageddon's Blade,1999-09-30,4.53,,0,Strategy
Syphon Filter,1999-01-31,4.05,90.0,2,"Shooter, Action"
Earthworm Jim 3D,1999-08-31,2.97,,1,"Platformer, Adventure, Action"
Silver,1999-08-31,3.97,,1,"Card, Adventure, Action, RPG"
Requiem: Avenging Angel,1999-03-31,3.18,,1,"Shooter, Action"
Might and Magic 7: For Blood and Honor,1999-06-09,4.17,,1,RPG
Seven Kingdoms 2 HD,1999-07-31,3.11,,1,"Strategy, Indie, Simulation"
Shin Megami Tensei Persona 2: Innocent Sin,1999-06-24,4.31,75.0,0,RPG
Gran Turismo 2,1999-12-11,4.41,93.0,0,Racing
Slave Zero,1999-10-31,3.09,,1,"Shooter, Action"
RollerCoaster Tycoon,1999-03-31,4.34,,1,Strategy
Redline,1999-03-31,2.73,,1,"Racing, Shooter, Action"
Re-Volt,1999-07-30,4.18,,1,"Racing, Arcade"
Omikron: The Nomad Soul,1999-10-31,3.97,,1,"Adventure, Action, RPG"
Grand Theft Auto: London 1961,1999-06-01,3.6,,0,Action
Toy Story 2: Buzz Lightyear to the Rescue,1999-11-30,3.94,57.0,0,"Platformer, Adventure, Action"
Parasite Eve II,1999-12-16,4.36,79.0,0,RPG
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,1999-01-01,4.43,,1,"Casual, Educational, Adventure"
Ultima IX: Ascension,1999-11-29,3.0,,1,"Action, RPG"
"Spy Fox 2 ""Some Assembly Required""",1999-01-01,4.0,,3,"Casual, Educational, Adventure"
The Legend of Dragoon,1999-12-02,4.43,74.0,1,RPG
Rayman Forever,1999-05-30,3.64,,1,"Platformer, Adventure, Action"
Mario Party 2,1999-12-17,4.15,,5,Board Games
