name,release_date,rating,rating_top,metacritic,playtime,genres
Strategy X,1981-01-01,0.0,0,,0,Shooter
Stargate,1981-11-01,3.62,4,,0,"Platformer, Action"
Turbo,1981-01-01,0.0,0,,0,Racing
Zork II: The Wizard of Frobozz,1981-01-01,0.0,0,,0,Adventure
Jawbreaker,1981-01-01,0.0,0,,0,
Ice Hockey (1981),1981-01-01,3.78,3,,0,Sports
The Count,1981-01-01,0.0,0,,0,Adventure
3D Monster Maze,1981-01-01,0.0,0,,0,Puzzle
Computer Baseball,1981-01-01,0.0,0,,0,Sports
Galaga (1981),1981-01-01,3.97,4,,0,"Shooter, Arcade, Action"
Frogger (1981),1981-01-01,3.61,4,,0,"Arcade, Action"
Ultima (Old),1981-06-02,0.0,4,,0,RPG
Wizardry: Proving Grounds of the Mad Overlord,1981-09-01,0.0,3,,0,RPG
Solar Fox,1981-01-01,0.0,0,,0,"Action, Puzzle"
Mole Attack,1981-01-01,0.0,0,,0,
Apple Panic,1981-01-01,0.0,0,,0,Puzzle
Mystery Fun House,1981-01-01,0.0,0,,0,Adventure
Vanguard (1981),1981-01-01,0.0,0,,0,
Tennis (1981),1981-01-01,2.67,4,,0,Sports
Sky Skipper,1981-01-01,0.0,0,,0,Action
Zork II,1981-01-01,0.0,3,,0,
Wizard of Wor,1981-01-01,3.33,4,,0,Action
Video Life,1981-01-01,0.0,0,,0,
Lady Bug,1981-01-01,0.0,0,,0,
President Elect,1981-01-01,0.0,0,,0,
Tempest (1981),1981-01-01,4.29,5,,0,
The Demon's Forge,1981-01-01,0.0,0,,0,Adventure
Ulysses and the Golden Fleece,1981-01-01,0.0,0,,0,Adventure
Mouse Trap,1981-01-01,0.0,0,,0,
Super Cobra,1981-01-01,0.0,0,,0,
Amidar,1981-01-01,0.0,0,,0,
Venture,1981-01-01,0.0,0,,0,Action
Freeway,1981-01-01,0.0,0,,0,Action
Munchkin,1981-01-01,0.0,0,,0,
River Patrol,1981-01-01,0.0,0,,0,Action
Lock 'n' Chase,1981-06-19,0.0,0,,0,"Arcade, Action"
Qix (1981),1981-10-01,0.0,4,,0,Arcade
Crazy Kong,1981-01-01,0.0,0,,0,
Crossfire,1981-01-01,0.0,0,,0,
Gorf,1981-01-01,0.0,4,,0,
Stampede,1981-01-01,0.0,3,,0,"Arcade, Action"
Kaboom!,1981-01-01,0.0,0,,0,Action
Skeet Shoot,1981-01-01,0.0,0,,0,
Strange Odyssey,1981-01-01,0.0,0,,0,Adventure
"Crush, Crumble and Chomp!",1981-01-01,0.0,0,,0,Strategy
Eastern Front,1981-01-01,0.0,0,,0,Strategy
Asylum (1981),1981-02-01,0.0,0,,2,Adventure
Ultima I: The First Age of Darkness,1981-06-01,2.78,1,,0,RPG
Ms. Pac-Man,1981-01-12,4.0,4,,0,Arcade
Castle Wolfenstein,1981-01-01,3.35,4,,0,Adventure
Astrosmash,1981-01-01,0.0,0,,0,Action
Scramble (1981),1981-03-16,0.0,4,,0,
AMOK (1981),1981-12-31,0.0,0,,0,Action
Tooth Invaders,1981-01-01,0.0,0,,0,Action
Radar Rat Race,1981-01-01,0.0,0,,0,
Astro Blaster (1981),1981-01-01,0.0,0,,0,Shooter
Avenger,1981-01-01,0.0,0,,0,
Space Dungeon,1981-01-01,0.0,0,,0,
Asteroids Deluxe,1981-05-01,0.0,4,,0,
Laser Blast,1981-01-01,0.0,0,,0,
Pyramid of Doom,1981-01-01,0.0,0,,0,Adventure
Ghost Town,1981-01-01,0.0,0,,0,
Caverns of Mars,1981-01-01,0.0,0,,0,
Defender,1981-02-01,3.43,4,,0,
Centipede (1981),1981-01-01,3.93,4,,0,
Donkey Kong,1981-07-09,3.73,4,,10,"Platformer, Puzzle"
