name,release_date,rating,rating_top,metacritic,playtime,genres
The Last Of Us Remastered,2014-07-29,4.69,5,95.0,16,"Adventure, Action"
Threes!,2014-02-05,4.31,4,92.0,0,"Educational, Puzzle, Casual, Card, Indie"
Bayonetta 2,2014-09-20,4.38,5,92.0,0,Action
Dark Souls II,2014-03-11,4.04,4,91.0,43,"Action, RPG"
Shovel Knight: Treasure Trove,2014-06-25,4.32,5,91.0,4,"Platformer, Adventure, Action"
Hearthstone,2014-03-11,3.9,4,90.0,9,"Card, Strategy"
Monument Valley,2014-04-03,4.39,5,89.0,1,"Casual, Adventure, Puzzle"
Rise of Nations: Extended Edition,2014-06-12,4.12,4,89.0,5,"Strategy, Simulation"
Diablo III: Ultimate Evil Edition,2014-08-19,4.05,4,88.0,8,"Action, RPG"
Mario Kart 8,2014-05-29,4.37,5,88.0,13,Racing
Super Smash Bros. Wii U,2014-09-13,4.13,4,88.0,22,"Arcade, Action, Fighting"
Metro 2033 Redux,2014-08-25,4.1,4,88.0,6,"Shooter, Action"
The Last of Us: Left Behind,2014-02-14,4.46,5,88.0,0,"Shooter, Adventure, Action"
Super Smash Bros. for Nintendo 3DS,2014-09-13,3.85,4,88.0,0,"Arcade, Fighting"
Divinity: Original Sin,2014-06-30,4.18,4,87.0,6,"Strategy, Indie, RPG"
Diablo III: Reaper of Souls,2014-03-25,4.17,4,87.0,20,"Action, RPG"
Shadowrun: Dragonfall - Director's Cut,2014-09-17,3.82,4,87.0,4,"Indie, Strategy, Adventure, RPG"
World of Warcraft: Warlords of Draenor,2014-11-13,3.54,4,87.0,0,"Massively Multiplayer, RPG"
Oddworld: New 'n' Tasty,2014-07-22,3.52,4,87.0,4,"Indie, Platformer, Adventure, Action"
Dragon Age: Inquisition,2014-11-18,3.8,4,86.0,4,"Strategy, Action, RPG"
Guacamelee! Super Turbo Championship Edition,2014-07-01,3.55,4,86.0,3,"Platformer, Indie, Action"
Astebreed,2014-05-29,3.48,4,86.0,2,"Indie, Shooter, Arcade, Action"
