name,release_date,rating,metacritic,playtime,genres
DOOM II,1994-09-30,4.38,83.0,1,"Shooter, Action"
The Elder Scrolls: Arena,1994-02-28,2.91,,1,"Action, RPG"
Jagged Alliance 1: Gold Edition,1994-04-02,2.49,,1,"Strategy, Action, RPG"
Beneath a Steel Sky,1994-04-10,2.74,,1,"Indie, Adventure"
System Shock (1994),1994-09-23,4.0,85.0,3,"Shooter, Action, RPG"
Teenagent,1994-02-25,1.99,,1,Adventure
Dragonsphere,1994-01-01,1.95,,1,Adventure
FINAL FANTASY VI,1994-04-02,4.38,92.0,4,RPG
Heretic: Shadow of the Serpent Riders,1994-12-23,3.86,,1,"Shooter, Action"
ADOM (Ancient Domains Of Mystery),1994-01-01,3.94,,3,"Indie, Strategy, Adventure, RPG"
Super Metroid,1994-03-19,4.37,,6,"Platformer, Shooter, Adventure, Action"
Earthworm Jim,1994-08-02,4.28,72.0,1,"Platformer, Arcade, Action"
Donkey Kong Country,1994-11-21,4.4,,6,Platformer
Sonic the Hedgehog 3 (1994),1994-02-02,4.4,,3,Arcade
Sonic & Knuckles,1994-10-18,4.31,,3,Platformer
EarthBound,1994-08-27,4.35,,33,RPG
Disney's The Lion King,1994-01-01,3.97,,1,"Arcade, Platformer, Adventure, Action"
Wacky Wheels,1994-10-16,3.21,,1,"Racing, Arcade, Action"
Rise of the Triad: Dark War,1994-12-21,3.33,,1,"Shooter, Action"
Warcraft: Orcs & Humans,1994-11-23,3.86,,1,Strategy
Super 3-D Noah's Ark,1994-12-31,2.64,,6,"Shooter, Action, Educational"
Hocus Pocus,1994-05-31,3.37,,1,"Platformer, Arcade, Action"
Tex Murphy: Under a Killing Moon,1994-10-30,3.68,,1,Adventure
Little Big Adventure,1994-01-01,3.79,,1,"Arcade, Adventure, Action, Puzzle"
Blake Stone: Planet Strike,1994-10-27,2.43,,1,"Shooter, Action"
Raptor: Call of the Shadows (1994 Classic Edition),1994-04-01,3.28,,1,"Shooter, Arcade, Action"
Theme Park,1994-01-01,4.2,,1,Simulation
SAMURAI SHODOWN II,1994-10-27,3.39,,1,"Casual, Arcade, Action, Fighting"
Freddi Fish 1: The Case of the Missing Kelp Seeds,1994-01-01,4.14,,2,"Casual, Adventure"
Contra: Hard Corps,1994-08-08,4.35,,0,"Shooter, Action"
Alone in the Dark 3,1994-01-01,3.17,,11,"Adventure, Action"
Wing Commander 3 Heart of the Tiger,1994-12-29,4.05,,1,"Shooter, Action, Simulation"
"Biing!: Sex, Intrigue and Scalpels",1994-12-31,0.0,,1,Strategy
Streets of Rage 3,1994-03-17,4.3,,3,"Arcade, Action"
The Need for Speed,1994-08-31,3.79,,0,"Racing, Arcade"
Wario Land: Super Mario Land 3,1994-01-21,4.13,,1,
Sonic 3 and Knuckles,1994-10-17,4.41,,0,Platformer
Tekken (1994),1994-12-09,3.71,,0,Fighting
Call of Cthulhu: Prisoner of Ice,1994-12-31,3.54,,1,Adventure
Master of Magic,1994-09-01,4.12,,1,"Strategy, Indie, RPG"
Castlevania: Bloodlines,1994-03-17,4.11,,0,Action
Малыш 3,1994-01-01,4.29,,0,Educational
Jagged Alliance,1994-06-02,4.05,,2,Strategy
Windjammers,1994-08-29,4.18,,0,"Arcade, Fighting, Sports"
Mega Man X2,1994-12-16,3.87,,6,"Adventure, Action"
Mickey's Wild Adventure,1994-10-01,3.96,,0,"Platformer, Adventure"
Jazz Jackrabbit Collection,1994-07-31,4.2,,1,
Magic Carpet Plus,1994-05-05,3.33,,1,"Shooter, Action"
Umihara Kawase,1994-11-02,0.0,,2,"Adventure, Action, Puzzle, Family, Indie, Platformer"
Inherit the Earth: Quest for the Orb,1994-01-01,0.0,,1,"Casual, Adventure"
Spider-Man and Venom: Maximum Carnage,1994-11-24,3.94,,0,
Albion,1994-12-31,4.0,,1,RPG
Legend (1994),1994-03-31,0.0,,7,Action
Killer Instinct (1994),1994-06-28,3.94,,0,Fighting
Urban Strike,1994-01-01,4.11,,0,Action
Beyond Oasis,1994-12-09,4.41,,0,"Action, RPG"
Super Punch-Out!!,1994-09-14,4.26,,1,"Arcade, Fighting, Sports"
Menzoberranzan,1994-01-01,2.88,,1,RPG
Blackthorne,1994-01-01,4.03,67.0,0,"Arcade, Action"
Ultima VIII: Pagan,1994-03-15,3.17,,0,RPG
Micro Machines 2: Turbo Tournament,1994-11-01,4.18,,0,"Racing, Arcade"
Zero Tolerance,1994-01-01,4.27,,0,
Kirby's Dream Course (1994),1994-09-21,3.78,,0,Sports
Policenauts,1994-07-29,4.38,,0,Adventure
Demon's Crest (1994),1994-10-21,4.08,,0,"Platformer, Action"
"Colonization, Sid Meier's",1994-05-13,4.35,,1,Strategy
Breath of Fire II (1994),1994-12-02,3.93,81.0,0,RPG
Jazz Jackrabbit,1994-01-01,4.21,,0,Arcade
The Settlers,1994-01-01,3.85,,0,Strategy
Animaniacs,1994-05-14,3.85,,0,Platformer
Ecco: The Tides of Time (1994),1994-08-25,3.92,,0,Adventure
"Legend of Kyrandia: Malcolm's Revenge, The (Book Three)",1994-01-01,3.77,,0,Adventure
Cannon Fodder 2,1994-10-31,3.46,,1,"Arcade, Action"
Mighty Morphin Power Rangers,1994-01-01,3.77,,0,"Platformer, Adventure, Action, Fighting"
Battletoads in Battlemaniacs,1994-01-07,3.83,,0,"Platformer, Action"
Paddle Battle,1994-01-01,0.0,,1,"Indie, Arcade, Action, Sports"
Demolition Man,1994-12-09,3.94,,0,Action
Dragon Lore: The Legend Begins,1994-12-30,0.0,,1,Adventure
BattleTech: A Game of Armored Combat,1994-01-01,3.92,,0,Action
Transport Tycoon,1994-01-01,4.23,81.0,38,"Strategy, Simulation"
Fleet Defender: The F-14 Tomcat Simulation,1994-04-17,0.0,,1,Simulation
Shin Megami Tensei II,1994-03-18,4.33,,0,RPG
