name,release_date,rating,metacritic,playtime,genres
Portal,2007-10-09,4.51,90.0,4,"Adventure, Puzzle"
BioShock,2007-08-21,4.36,96.0,3,"Shooter, Action"
Team Fortress 2,2007-10-10,3.68,92.0,9,"Shooter, Action"
Half-Life 2: Episode Two,2007-10-10,4.45,90.0,5,"Shooter, Action, Puzzle"
Mass Effect,2007-11-16,4.39,89.0,9,"Action, RPG"
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-19,4.3,82.0,3,"Shooter, Adventure, Action, RPG"
Assassin's Creed,2007-11-13,3.9,80.0,5,"Adventure, Action"
Overlord,2007-06-26,3.81,81.0,1,"Action, RPG"
Crysis,2007-11-12,4.01,91.0,3,"Shooter, Action"
Call of Duty 4: Modern Warfare,2007-11-05,4.39,92.0,6,"Shooter, Action"
Tomb Raider: Anniversary,2007-06-01,3.95,83.0,2,"Adventure, Action"
Uncharted: Drake's Fortune,2007-11-19,4.03,88.0,12,"Adventure, Action"
"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007-08-07,3.96,86.0,3,Strategy
Company of Heroes: Opposing Fronts,2007-09-24,3.42,87.0,1,"Strategy, Action"
LEGO Star Wars - The Complete Saga,2007-11-06,4.11,77.0,3,"Family, Adventure, Action"
Halo 3,2007-09-25,4.35,91.0,2,Shooter
Kane and Lynch: Dead Men,2007-11-13,3.6,67.0,1,"Shooter, Action"
God of War II,2007-03-13,4.42,93.0,17,Action
Medieval II: Total War,2007-11-27,4.08,88.0,4,"Strategy, Simulation"
Unreal Tournament 3 Black,2007-12-11,3.79,83.0,2,"Shooter, Action"
Penumbra Overture,2007-03-30,3.71,73.0,1,"Indie, Adventure, Action"
Rome: Total War - Collection,2007-08-28,3.98,92.0,3,Strategy
RACE 07,2007-10-15,2.14,83.0,1,Racing
Civilization IV: Beyond the Sword,2007-06-24,3.73,86.0,3,Strategy
Supreme Commander,2007-02-17,3.78,86.0,1,Strategy
Supreme Commander: Forged Alliance,2007-11-06,3.82,81.0,2,Strategy
X-Blades,2007-11-23,2.64,54.0,4,"Adventure, Action"
Shadowgrounds Survivor,2007-11-13,2.68,79.0,3,"Shooter, Action"
Painkiller: Black Edition,2007-01-24,3.9,,2,
Eschalon: Book I,2007-11-19,2.44,75.0,1,"Indie, RPG"
FlatOut: Ultimate Carnage,2007-06-22,3.99,79.0,2,"Racing, Arcade"
Crackdown,2007-02-20,3.55,,0,"Shooter, Action"
LEGO Indiana Jones: The Original Adventures,2007-01-01,3.89,78.0,3,"Family, Platformer, Adventure, Action"
Super Mario Galaxy,2007-11-01,4.38,97.0,28,Platformer
Aquaria,2007-12-06,3.46,82.0,1,"Indie, Adventure, Action"
Painkiller Overdose,2007-10-23,3.28,65.0,1,"Shooter, Action"
Europa Universalis III Complete,2007-01-22,3.34,83.0,2,Strategy
TimeShift,2007-10-29,3.75,71.0,1,"Shooter, Action"
Command & Conquer 3: Tiberium Wars,2007-11-13,4.04,85.0,3,"Strategy, Simulation"
Battlestations: Midway,2007-01-30,2.68,76.0,1,"Strategy, Action"
Viva Piñata,2007-10-30,3.57,81.0,34,"Strategy, Family, Simulation"
Medal of Honor: Airborne,2007-10-06,3.71,78.0,2,"Shooter, Action"
Jade Empire: Special Edition,2007-02-26,4.11,81.0,1,"Action, RPG"
Heroes of Might & Magic V: Tribes of the East,2007-10-16,4.2,70.0,2,Strategy
UFO: Afterlight,2007-03-15,2.38,71.0,1,"Strategy, Indie"
Clive Barker's Jericho,2007-10-23,3.68,62.0,1,"Shooter, Action"
"Sam & Max: 103 - The Mole, the Mob and the Meatball",2007-02-07,3.16,,2,"Adventure, Action"
Sam & Max: 102 - Situation: Comedy,2007-01-05,3.19,,2,"Adventure, Action"
Sam & Max: 105 - Reality 2.0,2007-04-12,3.22,,3,"Adventure, Action"
Sam & Max: Episode 201 - Ice Station Santa,2007-11-09,3.04,82.0,3,Adventure
Peggle Deluxe,2007-03-06,3.94,,3,"Casual, Puzzle"
Need for Speed: ProStreet,2007-11-13,3.51,72.0,1,"Racing, Arcade"
Zombie Shooter,2007-12-28,3.55,,1,"Shooter, Indie, Action, RPG"
Titan Quest: Immortal Throne,2007-03-05,4.13,80.0,4,"Action, RPG"
Peggle,2007-02-27,3.91,88.0,2,"Arcade, Puzzle"
The Darkness,2007-06-25,4.04,81.0,3,"Shooter, Action"
Lost Odyssey,2007-12-06,4.08,78.0,11,RPG
TEKKEN 6,2007-10-27,3.81,80.0,5,"Arcade, Fighting"
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-03-06,3.42,82.0,1,"Shooter, Strategy, Action"
Platypus 2,2007-02-01,1.92,,4,"Arcade, Action"
The Witcher,2007-10-24,4.16,81.0,15,RPG
Forza Motorsport 2,2007-05-29,3.67,,40,Racing
Death to Spies,2007-10-15,3.49,69.0,1,"Adventure, Action"
"Pokémon Diamond, Pearl",2007-04-22,4.2,85.0,2,"Adventure, RPG"
Rock Band,2007-11-20,4.13,,33,Arcade
Stranglehold,2007-09-07,3.76,77.0,1,"Shooter, Action"
Sam & Max: 106 - Bright Side of the Moon,2007-05-10,3.38,,3,
Spider-Man 3,2007-05-02,3.22,62.0,3,"Adventure, Action"
Hospital Tycoon,2007-06-07,3.0,51.0,1,Simulation
Super Stardust HD,2007-06-28,3.6,,2,"Shooter, Action"
Puzzle Quest: Challenge of the Warlords,2007-03-16,4.0,84.0,3,"Casual, Puzzle"
Fantasy Wars,2007-08-29,3.28,67.0,1,Strategy
Sherlock Holmes - Nemesis,2007-11-12,3.42,71.0,3,"Adventure, RPG"
Peggle Extreme,2007-09-11,3.25,,1,Casual
Crazy Machines 2,2007-10-15,3.27,72.0,4,"Casual, Strategy"
RIP - Trilogy,2007-06-01,2.92,,1,"Casual, Indie"
Parkan 2,2007-05-10,3.29,,3,"Adventure, Action, Simulation"
Colin McRae: DiRT,2007-06-12,3.97,83.0,2,"Racing, Arcade, Action, Sports"
Harry Potter and the Order of the Phoenix,2007-06-15,3.52,65.0,18,"Arcade, Adventure, Action"
The Simpsons Game,2007-10-30,3.76,70.0,4,"Platformer, Arcade"
Scratches: Director's Cut,2007-05-23,3.94,,1,Adventure
Aegis Wing,2007-05-16,2.29,,2,"Adventure, Action"
