name,release_date,rating,rating_top,metacritic,playtime,genres
Super Mario World,1990-11-21,4.37,5,92.0,6,"Platformer, Arcade"
Speedball 2: Brutal Deluxe,1990-01-01,0.0,5,64.0,0,"Arcade, Action, Sports"
Mission: Impossible (1990),1990-09-28,3.85,4,61.0,0,"Adventure, Action"
Gaiares,1990-12-26,0.0,0,,0,
G-LOC: Air Battle,1990-12-15,0.0,0,,0,Arcade
Planet's Edge: The Point of no Return,1990-12-31,0.0,0,,0,
Elvira II: The Jaws of Cerberus (1990),1990-12-31,0.0,0,,0,
Race Drivin',1990-08-10,0.0,0,,0,
Galaxian 3,1990-04-01,0.0,0,,0,
Sol-Feace,1990-11-22,0.0,0,,0,
Totally Rad,1990-09-28,0.0,0,,0,"Platformer, Action"
RollerGames,1990-01-01,0.0,0,,0,Sports
Flight of the Intruder,1990-01-01,0.0,0,,0,Simulation
BLADES OF STEEL,1990-01-01,0.0,0,,0,Sports
Death Race,1990-01-01,0.0,0,,0,Action
DuckTales: The Quest for Gold,1990-01-01,3.75,4,,0,"Arcade, Action"
Shockwave,1990-01-01,0.0,0,,0,Puzzle
Chip 'n' Dale Rescue Rangers: The Adventure in Nimnul's Castle,1990-01-01,0.0,0,,0,Arcade
King Neptune's Adventure,1990-01-01,0.0,0,,0,Adventure
Infestation (1990),1990-01-01,0.0,0,,0,
Rastan,1990-01-01,0.0,0,,0,Arcade
DarkSpyre,1990-01-01,0.0,0,,0,RPG
Cisco Heat,1990-01-01,0.0,0,,0,"Racing, Arcade"
Super Deluxe Scrabble,1990-01-01,0.0,0,,0,Board Games
Spaceward Ho! (1990),1990-01-01,0.0,0,,0,
Bill & Ted's Excellent Adventure,1990-01-01,0.0,0,,0,"Adventure, Action"
Hugo's House of Horrors,1990-01-01,0.0,3,,0,Adventure
The Lord of the Rings Volume One,1990-01-01,0.0,1,,0,RPG
Wild Wheels,1990-01-01,0.0,0,,0,Arcade
Geisha,1990-01-01,0.0,0,,0,Adventure
Moonbase,1990-01-01,0.0,0,,0,
Adidas Championship Football,1990-01-01,0.0,0,,0,Sports
Street Rod 2,1990-01-01,0.0,0,,0,"Racing, Arcade"
Outnumbered! A Super Solvers Math Adventure,1990-01-01,0.0,0,,0,"Educational, Arcade"
Wild Streets,1990-01-01,0.0,0,,0,Arcade
DragonLance Vol. 1: Champions of Krynn,1990-01-01,0.0,0,,0,RPG
Nitro,1990-01-01,0.0,0,,0,Racing
Hammerfist,1990-01-01,0.0,0,,0,
MiG-29 Fulcrum (1990),1990-01-01,0.0,0,,0,
Mad Professor Mariarti,1990-01-01,0.0,0,,0,Puzzle
Midnight Mutants,1990-01-01,0.0,0,,0,
Toyota Celica GT,1990-01-01,0.0,0,,0,Racing
Moonshine Racers,1990-01-01,0.0,0,,0,"Racing, Arcade"
Kenny Dalglish Soccer Match,1990-01-01,0.0,0,,0,Sports
Trampoline Terror!,1990-01-01,0.0,0,,0,Action
Slap Shot,1990-01-01,0.0,0,,0,Action
Final Zone,1990-01-01,0.0,0,,0,
USAAF Mustang,1990-01-01,0.0,0,,0,
Les Tuniques Bleues : Nord & Sud,1990-01-01,0.0,0,,0,Strategy
Arkista's Ring,1990-06-01,0.0,0,,0,
SITris,1990-05-01,0.0,0,,0,Arcade
Lords of Chaos,1990-04-01,0.0,0,,0,
Galleons of Glory: The Secret Voyage of Magellan,1990-04-08,0.0,0,,0,Strategy
Dead Heat Scramble,1990-04-20,0.0,0,,0,Racing
SD Snatcher,1990-04-27,0.0,0,,0,"Adventure, RPG"
Blue Blink,1990-04-27,0.0,0,,0,"Platformer, Action"
Zoom!,1990-01-13,0.0,0,,0,Puzzle
The Cyber Shinobi,1990-01-10,0.0,0,,0,Action
Pat Riley Basketball,1990-03-02,0.0,0,,0,"Simulation, Sports"
Dynowarz: Destruction of Spondylus,1990-04-01,0.0,0,,0,Platformer
Magician,1990-03-01,0.0,0,,0,
Wings of Death,1990-01-01,0.0,0,,0,
Batman: The Movie,1990-01-01,0.0,3,,0,Arcade
Hard Drivin' (1990),1990-12-21,0.0,0,,0,
The Killing Cloud,1990-12-31,0.0,0,,0,"Action, Simulation"
Darius II,1990-12-20,0.0,0,,0,
Arrow Flash,1990-12-20,0.0,0,,0,
Adventures of Lolo 3,1990-12-26,0.0,0,,0,Puzzle
Horse Racing Simulator,1990-11-14,0.0,0,,0,"Simulation, Sports"
Golgo 13: The Mafat Conspiracy,1990-07-27,0.0,0,,0,Action
Tasmania Story,1990-07-27,0.0,0,,0,Action
Shadow Blasters,1990-08-09,0.0,0,,0,Platformer
Time Lord,1990-09-01,0.0,0,,0,Action
Astro Rabby,1990-10-12,0.0,0,,0,Action
Bimini Run,1990-10-10,0.0,0,,0,Action
Commander Keen (1990),1990-12-17,0.0,0,,0,Platformer
Cutie Suzuki no Ringside Angel,1990-12-12,0.0,0,,0,"Fighting, Sports"
New Ghostbusters II,1990-12-26,4.38,4,,0,Action
Unreal (1990),1990-01-01,0.0,0,,0,Action
Valis III,1990-09-07,0.0,0,,0,"Adventure, Action"
Final Countdown,1990-01-01,0.0,0,,0,Action
A Nightmare on Elm Street,1990-10-01,0.0,0,,0,"Platformer, Adventure"
Stormovik: The SU-25 Soviet Attack Fighter,1990-01-01,0.0,0,,0,Simulation
SimEarth,1990-01-01,0.0,0,,0,Simulation
Horror of Cridewell,1990-01-01,0.0,0,,0,Adventure
Super Buster Bros,1990-11-03,0.0,0,,0,"Shooter, Platformer"
Mega Twins,1990-06-01,0.0,0,,0,
ActRaiser (1990),1990-12-16,3.72,3,,0,"Action, Simulation"
Commander Keen 2: The Earth Explodes,1990-12-14,3.25,3,,0,"Platformer, Arcade, Action"
Domino,1990-01-01,0.0,0,,0,"Action, Casual, Strategy, Arcade, Simulation, Indie, Board Games"
Crossed Swords,1990-07-01,0.0,0,,0,Fighting
Little Nemo: The Dream Master,1990-12-07,3.9,4,,0,Platformer
The Addams Family,1990-09-14,3.45,4,,0,Adventure
Digital Devil Story: Megami Tensei II,1990-04-06,0.0,0,,0,RPG
Ghostbusters II,1990-04-01,2.81,4,,0,"Platformer, Action"
F-Zero,1990-11-21,4.04,4,,15,"Racing, Arcade"
Wing Commander,1990-09-26,4.22,4,,1,Simulation
Sid Meier's Covert Action,1990-01-01,0.0,0,,2,"Strategy, Action, Simulation"
Hyperspeed,1990-12-31,0.0,0,,1,"Strategy, Adventure, RPG, Simulation"
King's Bounty,1990-01-01,3.82,4,,0,"Strategy, RPG"
Square Deal: The Game of Two Dimensional Poker,1990-11-30,0.0,0,,0,Strategy
Nail 'n' Scale,1990-12-13,0.0,0,,0,Puzzle
Megafortress Collection,1990-12-31,0.0,0,,0,"Action, Simulation"
Maru's Mission (1990),1990-09-28,0.0,0,,0,Action
Decap Attack,1990-12-15,0.0,5,,0,"Platformer, Action"
Super Monaco GP,1990-08-09,4.5,5,,0,Racing
Dragon Fighter,1990-08-10,0.0,0,,0,Action
Snoopy's Magic Show,1990-04-28,0.0,0,,0,"Strategy, Action, Puzzle"
Over The Net,1990-05-05,0.0,0,,0,Sports
Ninja Boy,1990-04-20,0.0,0,,0,Action
Dizzy Panic!,1990-05-01,0.0,0,,0,Puzzle
Wizards & Warriors X: The Fortress of Fear,1990-01-01,0.0,0,,0,Platformer
Super Cars,1990-01-01,0.0,0,,0,"Racing, Sports"
Kurtan,1990-01-01,0.0,0,,0,
Castle of Deceit,1990-01-01,0.0,0,,0,Platformer
Snow Bros. Jr,1990-01-01,4.2,4,,0,"Platformer, Arcade"
Challenge of the Dragon,1990-01-01,0.0,0,,0,
Football Champ,1990-01-01,0.0,0,,0,Sports
Antago,1990-01-01,0.0,0,,0,Puzzle
TV Sports: Basketball,1990-01-01,0.0,0,,0,Sports
Beetlejuice: Skeletons in the Closet,1990-01-01,0.0,0,,0,Action
Bad Blood,1990-01-01,0.0,0,,0,RPG
Trans World,1990-01-01,0.0,0,,0,Strategy
Red Baron,1990-01-01,0.0,0,,0,
ThunderStrike,1990-01-01,0.0,0,,0,Arcade
Firehawk,1990-01-01,0.0,0,,0,Arcade
PrefAce,1990-01-01,0.0,0,,0,Card
Gexis,1990-01-01,0.0,0,,0,Arcade
Lost Patrol (1990),1990-01-01,0.0,0,,0,
LHX: Attack Chopper,1990-01-01,0.0,0,,0,Simulation
Zarlor Mercenary,1990-01-01,0.0,0,,0,Action
CarVup,1990-01-01,0.0,0,,0,Puzzle
Impossamole,1990-01-01,0.0,0,,0,
Back to the Future 2,1990-01-01,0.0,0,,0,Arcade
Captain Comic 2: Fractured Reality,1990-01-01,0.0,0,,0,Arcade
Перестройка,1990-01-01,0.0,0,,0,Arcade
Total Recall (1990),1990-01-01,0.0,0,,0,"Platformer, Arcade"
Fountain of Dreams,1990-01-01,0.0,0,,0,"Adventure, RPG"
Tom and the Ghost,1990-01-01,0.0,0,,0,Arcade
Rad Racer II,1990-01-01,0.0,0,,0,Racing
Tom Clancy's The Cardinal of the Kremlin,1990-01-01,0.0,0,,0,Strategy
Filler,1990-01-01,0.0,0,,0,
Pigskin 621 A.D.,1990-01-01,0.0,0,,0,Sports
The Hugo Trilogy,1990-01-01,0.0,0,,2,Adventure
Stunts,1990-01-01,4.09,4,,0,Racing
Mixed-Up Fairy Tales,1990-01-01,0.0,0,,0,Adventure
EarthRise: A Guild Investigation,1990-01-01,0.0,0,,0,Adventure
Lucas' Problem,1990-01-01,0.0,0,,0,Puzzle
Pit-Fighter,1990-01-01,0.0,3,,0,Fighting
Lightspeed (1990),1990-01-01,0.0,0,,0,Simulation
Fire & Forget 2: The Death Convoy,1990-01-01,0.0,0,,0,"Racing, Action"
Jack Nicklaus Unlimited Golf,1990-01-01,0.0,0,,0,Sports
California Games 2,1990-01-01,0.0,0,,0,"Arcade, Sports"
Cloud Kingdoms,1990-01-01,0.0,0,,0,
Alien Force,1990-01-01,0.0,0,,0,Arcade
Airstrike USA,1990-01-01,0.0,0,,0,Arcade
Rolan's Curse,1990-01-26,0.0,0,,0,
1941: Counter Attack,1990-02-01,0.0,0,,0,"Casual, Shooter"
Quarth (1990),1990-03-16,0.0,0,,0,Puzzle
Solar Striker,1990-01-26,0.0,0,,0,Shooter
Target Earth,1990-03-16,0.0,0,,0,Action
Electro Man,1990-02-21,0.0,0,,0,"Platformer, Action"
Railroad Tycoon,1990-01-05,0.0,4,,0,"Strategy, Simulation"
S.C.A.T.: Special Cybernetic Attack Team,1990-06-22,3.5,4,,0,"Shooter, Action"
Whip Rush,1990-05-26,0.0,0,,0,Shooter
Cosmo Tank,1990-06-08,0.0,0,,0,
Dexterity,1990-06-15,0.0,0,,0,Puzzle
Jajamaru Gekimaden: Maboroshi no Kinmajou,1990-05-29,0.0,0,,0,"Adventure, RPG"
Ayakashi no Shiro,1990-05-25,0.0,0,,0,RPG
Pictionary (1990),1990-07-01,0.0,0,,0,"Board Games, Puzzle"
Solstice (1990),1990-07-20,0.0,0,,0,Puzzle
Devil's Crush (1990),1990-07-20,0.0,0,,0,"Action, Simulation"
Amazing Penguin,1990-08-08,0.0,0,,0,Action
Atomic Punk,1990-08-31,0.0,0,,0,"Action, Puzzle"
World League Soccer,1990-09-19,0.0,0,,0,Sports
XDR,1990-08-26,0.0,0,,0,
The Rescue of Princess Blobette,1990-11-09,0.0,0,,0,Puzzle
Wing Commander: The Secret Missions,1990-11-01,0.0,0,,0,Simulation
Radar Mission (1990),1990-10-23,0.0,0,,0,Action
Tecmo Bowl (1990),1990-11-13,3.5,3,,0,
The Krion Conquest,1990-12-14,0.0,0,,0,"Platformer, Action"
Fatal Labyrinth (1990),1990-11-19,2.83,4,,0,RPG
Jackie Chan's Action Kung Fu,1990-12-14,3.83,4,,0,Platformer
Battle Unit Zeoth,1990-12-21,0.0,0,,0,
Aero Blasters,1990-12-31,0.0,0,,0,Shooter
Blade Warrior (1990),1990-12-31,0.0,0,,0,
Journey to Silius,1990-08-10,3.44,3,,0,"Platformer, Action"
Powermonger (1990),1990-01-01,0.0,0,,0,
Phelios,1990-07-20,0.0,0,,0,"Shooter, Action"
Lagoon,1990-09-12,0.0,0,,0,"Action, RPG"
Ski or Die,1990-01-01,3.89,3,,0,"Arcade, Sports"
The Amazing Spider-Man (1990),1990-01-01,2.22,1,,0,"Action, Puzzle"
Silver Surfer,1990-11-01,0.0,0,,0,"Shooter, Arcade, Action"
Commander Keen Complete Pack,1990-12-13,0.0,0,,2,
The Amazing Spider-Man vs. The Kingpin,1990-01-01,3.77,4,,0,Action
