name,release_date,rating,metacritic,playtime,genres
Half-Life,1998-11-08,4.38,96.0,3,"Shooter, Action"
Resident Evil 2 (1998),1998-01-21,4.33,90.0,13,Action
Fallout 2,1998-09-30,4.35,86.0,2,RPG
Crash Bandicoot 3: Warped,1998-10-31,4.33,91.0,5,"Platformer, Action"
Metal Gear Solid,1998-09-03,4.42,94.0,1,Action
STAR WARS Jedi Knight - Mysteries of the Sith,1998-02-17,3.33,,1,"Shooter, Action"
Commandos: Behind Enemy Lines,1998-07-31,4.2,,1,Action
The Legend of Zelda: Ocarina of Time,1998-11-21,4.39,99.0,7,"Adventure, Action, RPG"
X-COM: Interceptor,1998-06-14,2.19,,1,"Strategy, Action"
Banjo-Kazooie,1998-05-31,4.23,92.0,2,"Platformer, Adventure, Action, Puzzle"
Spyro the Dragon,1998-09-09,4.2,,12,"Platformer, Adventure, Action"
Oddworld: Abe's Exoddus,1998-11-17,4.09,,1,"Platformer, Adventure, Action"
StarCraft,1998-03-31,4.38,88.0,1,Action
QUAKE II Mission Pack: The Reckoning,1998-05-27,3.34,,1,"Shooter, Action"
Sanitarium,1998-04-30,3.88,,3,"Adventure, Action, Puzzle"
MediEvil I,1998-10-01,3.99,67.0,0,"Adventure, Action"
Turok 2: Seeds of Evil,1998-10-21,4.07,,1,"Shooter, Adventure, Action"
Sonic Adventure,1998-12-23,4.01,49.0,0,"Adventure, Action, RPG, Family, Platformer"
METAL SLUG 2,1998-02-23,4.06,,1,"Shooter, Action, Fighting, Casual, Arcade"
Tomb Raider 3: Adventures of Lara Croft,1998-11-21,3.83,,1,"Shooter, Adventure, Action"
Deathtrap Dungeon,1998-03-18,2.64,,1,"Adventure, Action"
Vangers,1998-06-18,4.09,,1,"Racing, Adventure, Action, Arcade, Indie"
Caesar 3,1998-09-30,4.32,,1,"Strategy, Simulation"
Star Wars: Rebellion,1998-02-27,2.61,,1,Strategy
Carmageddon 2: Carpocalypse Now,1998-10-12,4.29,,3,"Racing, Indie, Action"
STAR WARS: Rogue Squadron 3D,1998-12-01,3.74,,1,"Action, Simulation"
Motocross Madness,1998-08-14,2.79,,25,"Racing, Sports"
Robo Rumble,1998-02-23,1.73,,5,"Strategy, Indie"
"Warhammer 40,000: Chaos Gate",1998-10-30,3.44,,1,Strategy
Clash,1998-06-29,1.46,,3,"Strategy, Indie, Action"
SiN Gold,1998-10-30,3.79,,1,Shooter
Need for Speed 3: Hot Pursuit,1998-03-25,4.08,88.0,2,"Racing, Arcade"
StarCraft: Brood War,1998-11-30,4.56,,0,
Baldur's Gate,1998-12-21,4.36,91.0,76,"Strategy, RPG"
Delta Force,1998-09-30,3.93,,1,Action
Tex Murphy: Overseer,1998-03-12,3.45,,1,Adventure
Parasite Eve,1998-03-15,4.38,81.0,12,RPG
Quake 2 Mission Pack 2: Ground Zero,1998-09-11,2.89,,1,"Shooter, Action"
Garou: Mark of the Wolves,1998-12-31,3.92,,1,"Arcade, Action, Fighting"
Soulcalibur,1998-07-30,4.39,98.0,6,"Action, Fighting"
Grim Fandango,1998-10-14,4.39,94.0,1,Adventure
Xenogears (1998),1998-02-11,4.37,84.0,0,RPG
NAM,1998-07-30,3.2,,1,Action
SiN,1998-11-04,3.87,,1,"Shooter, Action"
Tom Clancy's Rainbow Six,1998-08-21,3.84,85.0,1,"Strategy, Shooter, Adventure, Action"
Populous: The Beginning,1998-11-30,4.04,,1,"Strategy, RPG"
Freddi Fish 3: The Case of the Stolen Conch Shell,1998-03-30,4.11,,1,"Casual, Educational, Adventure"
Shogo: Mobile Armor Division,1998-09-30,4.0,88.0,1,"Strategy, Shooter, Adventure, Action"
Anno 1602 A.D.,1998-09-24,4.19,,1,Simulation
The Last Blade 2,1998-11-25,4.29,,2,"Action, Fighting"
The Elder Scrolls Adventures: Redguard,1998-10-31,3.21,,1,"Adventure, Action, RPG"
Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1998-05-01,4.11,,3,"Casual, Educational, Adventure"
Black Moon Chronicles,1998-12-31,0.0,,1,Strategy
Suikoden II,1998-12-17,4.34,82.0,12,RPG
Airline Tycoon Deluxe,1998-07-31,3.12,,1,"Strategy, Simulation"
Mario Party,1998-12-18,4.1,79.0,0,Board Games
Unreal,1998-05-22,4.13,,1,"Shooter, Action"
Battlezone 98 Redux,1998-02-28,3.0,75.0,3,"Strategy, Action"
Radiant Silvergun,1998-07-23,3.82,,1,"Shooter, Action"
Putt-Putt Enters the Race,1998-05-29,3.92,,2,"Casual, Educational, Adventure"
Blood 2: The Blood Group,1998-10-30,2.57,,1,Shooter
Rage of Mages,1998-04-09,4.28,,1,"Strategy, RPG"
Thief: The Dark Project,1998-12-02,4.35,92.0,0,Action
Pokémon Trading Card Game,1998-12-18,4.21,,2,"Card, Board Games"
Return to Krondor,1998-11-29,2.17,,1,"Adventure, RPG"
Colin McRae Rally (1998),1998-07-30,4.05,,0,Racing
Heart of Darkness,1998-01-01,4.22,,6,Arcade
MiG-29 Fulcrum,1998-09-07,0.0,,1,Simulation
F-16 Multirole Fighter,1998-10-06,0.0,,1,Simulation
Dune 2000,1998-08-31,4.02,,0,Strategy
Age of Empires: The Rise of Rome,1998-10-31,4.42,,5,Strategy
Street Fighter Alpha 3 (1998),1998-06-29,4.31,,0,Fighting
Disney•Pixar A Bug's Life,1998-11-06,3.53,,0,"Strategy, Arcade, Action"
Петька и Василий Иванович спасают Галактику,1998-01-01,4.0,,0,Adventure
Gex: Enter the Gecko (1998),1998-01-31,3.94,,0,"Arcade, Platformer, Adventure, Action"
Vigilante 8,1998-05-31,4.26,,0,Action
Starship Titanic,1998-04-01,0.0,,2,"Casual, Adventure"
FIFA '99,1998-11-01,4.19,,0,Sports
Quake: The Offering,1998-10-04,4.0,,1,"Shooter, Action"
Descent: Freespace Battle Pack,1998-03-11,3.29,,1,Simulation
Tenchu: Stealth Assassins,1998-02-26,4.37,87.0,0,"Adventure, Action"
Marvel vs. Capcom: Clash of Super Heroes,1998-01-23,4.25,,0,Fighting
The Adventures of Alundra,1998-01-01,4.12,86.0,1,"Action, RPG, Puzzle"
