name,release_date,rating,rating_top,metacritic,playtime,genres
Half-Life 2,2004-11-16,4.49,5,96.0,7,"Shooter, Action"
Burnout 3: Takedown,2004-09-07,4.41,5,94.0,23,"Racing, Arcade"
World of Warcraft,2004-11-23,4.31,5,93.0,129,"Massively Multiplayer, RPG"
Unreal Tournament 2004,2004-03-16,4.32,4,93.0,3,"Shooter, Action"
Grand Theft Auto: San Andreas,2004-10-26,4.51,5,93.0,2,"Racing, Action"
Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,4.29,4,93.0,3,Action
Metroid Prime 2: Echoes,2004-11-15,4.4,5,92.0,0,"Adventure, Action"
Ninja Gaiden (2004),2004-03-02,4.36,5,91.0,0,Action
Ratchet & Clank: Up Your Arsenal,2004-11-03,4.38,4,91.0,0,"Platformer, Action"
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,4.08,4,90.0,10,"Adventure, Action"
The Chronicles of Riddick: Escape from Butcher Bay,2004-06-01,4.33,4,90.0,24,"Shooter, Action"
Gran Turismo 4,2004-12-28,4.43,5,89.0,0,Racing
Metroid: Zero Mission,2004-02-09,4.38,5,89.0,4,"Platformer, Action"
Far Cry,2004-03-22,3.9,4,89.0,1,"Shooter, Action"
WarioWare: Twisted!,2004-10-14,4.24,4,88.0,0,"Action, Puzzle"
Tekken 5,2004-12-09,4.29,4,88.0,0,Fighting
ROME: Total War,2004-09-22,4.4,5,88.0,2,"Strategy, Simulation"
Counter-Strike: Source,2004-11-01,3.75,4,88.0,7,Shooter
Sly 2: Band of Thieves,2004-09-14,4.4,5,88.0,0,"Adventure, Action"
Sid Meier's Pirates!,2004-11-22,3.96,4,88.0,1,"Educational, Adventure, Action, RPG, Fighting, Strategy, Arcade, Simulation"
DOOM 3,2004-08-03,3.91,4,87.0,1,"Shooter, Action"
Call of Duty: United Offensive,2004-09-14,4.06,4,87.0,4,Shooter
Paper Mario: The Thousand-Year Door,2004-07-22,4.34,5,87.0,0,RPG
Katamari Damacy,2004-03-18,4.37,5,86.0,0,"Arcade, Action"
Fight Night 2004,2004-04-05,0.0,0,85.0,0,"Fighting, Sports"
Super Mario 64 DS,2004-11-21,4.24,5,85.0,0,"Platformer, Action"
City of Heroes,2004-04-28,4.0,5,85.0,38,"Massively Multiplayer, RPG"
Star Wars: Knights of the Old Republic II – The Sith Lords,2004-12-06,4.37,5,85.0,4,"Adventure, RPG"
Shadow Hearts: Covenant,2004-02-19,4.4,4,85.0,0,"Adventure, RPG"
Fire Emblem: The Sacred Stones,2004-10-07,4.23,4,85.0,11,Strategy
Onimusha 3: Demon Siege,2004-02-26,4.11,4,85.0,2,Action
Thief 3: Deadly Shadows,2004-05-24,3.73,4,85.0,1,"Action, Simulation"
Metal Gear Solid: The Twin Snakes,2004-03-09,4.35,5,85.0,0,"Adventure, Action"
Battlefield Vietnam,2004-03-14,3.95,4,84.0,1,"Shooter, Action"
Psi-Ops: The Mindgate Conspiracy,2004-06-14,4.08,4,84.0,0,"Shooter, Action"
Ace Combat 5: The Unsung War,2004-10-21,4.53,5,84.0,0,Simulation
Mario Golf: Advance Tour,2004-04-22,3.33,4,84.0,0,Sports
James Bond 007: Everything or Nothing,2004-11-17,3.88,4,84.0,0,"Shooter, Action"
Metal Gear Solid 3: Snake Eater,2004-11-17,4.38,5,84.0,0,Action
Tony Hawk's Underground 2,2004-10-04,4.35,4,84.0,0,"Arcade, Sports"
Halo 2,2004-11-09,4.38,5,84.0,8,"Shooter, Action"
Jak 3,2004-11-09,4.18,5,84.0,0,Action
