name,release_date,rating,rating_top,metacritic,playtime,genres
The Legend of Zelda: Collector's Edition,2003-11-07,4.27,4,95.0,0,"Adventure, Action, RPG"
Super Mario Advance 4: Super Mario Bros. 3,2003-07-11,3.8,4,94.0,0,Platformer
SSX 3,2003-10-21,4.41,4,93.0,0,"Racing, Sports"
Call of Duty,2003-10-29,4.17,4,91.0,5,Shooter
Castlevania: Aria of Sorrow,2003-05-06,4.39,5,91.0,0,"Platformer, Action"
Tony Hawk's Underground,2003-10-27,4.2,4,90.0,0,Sports
Viewtiful Joe (2003),2003-06-26,4.18,5,90.0,0,"Platformer, Action"
Panzer Dragoon Orta,2003-01-12,4.14,4,90.0,0,"Shooter, Action"
Mario & Luigi: Superstar Saga,2003-11-17,4.41,5,90.0,18,RPG
Ratchet & Clank: Going Commando,2003-11-11,4.32,4,90.0,0,"Shooter, Platformer, Action, RPG"
F-Zero GX,2003-07-25,4.4,5,89.0,0,Racing
Prince of Persia: The Sands of Time,2003-10-28,4.23,4,89.0,2,"Adventure, Action"
"WarioWare, Inc.: Mega Microgame$!",2003-03-21,4.34,5,89.0,0,"Casual, Action"
ESPN NBA Basketball,2003-10-22,0.0,0,89.0,0,Sports
EVE Online,2003-05-06,3.38,4,88.0,3,"Strategy, Massively Multiplayer, Action, RPG"
Warcraft 3: The Frozen Throne,2003-06-30,4.55,5,88.0,0,Strategy
Fire Emblem: The Blazing Blade,2003-04-25,4.37,5,88.0,36,"Strategy, RPG"
Star Wars: Knights of the Old Republic,2003-07-15,4.37,5,88.0,2,"Action, RPG"
Mario Kart: Double Dash,2003-11-07,4.36,5,87.0,0,Racing
Final Fantasy Tactics Advance,2003-02-14,4.33,4,87.0,0,"Strategy, RPG"
Jak II,2003-10-14,4.07,4,87.0,0,Action
SOCOM II US Navy Seals,2003-11-04,0.0,0,87.0,0,"Shooter, Action"
Golden Sun: The Lost Age,2003-04-14,4.4,5,86.0,68,RPG
WWE SmackDown! Here Comes the Pain,2003-10-27,4.43,5,85.0,0,"Arcade, Fighting"
Final Fantasy X-2,2003-03-13,3.54,4,85.0,0,RPG
Nancy Drew: The Haunted Carousel,2003-08-22,3.96,4,85.0,5,Adventure
WWE SmackDown! Here Come the Pain,2003-11-07,0.0,0,85.0,0,"Fighting, Sports"
The Elder Scrolls 3: Bloodmoon,2003-06-03,4.25,4,85.0,0,RPG
Fatal Frame II: Crimson Butterfly,2003-11-27,4.18,5,84.0,0,"Adventure, Action"
Beyond Good & Evil,2003-11-11,4.38,5,84.0,2,"Adventure, Action"
