name,release_date,rating,metacritic,playtime,genres
Counter-Strike,2000-11-01,4.04,88.0,3,"Shooter, Action"
Deus Ex: Game of the Year Edition,2000-06-22,4.14,90.0,1,"Shooter, Action, RPG"
Jet Set Radio,2000-06-29,3.42,94.0,1,"Platformer, Action, Sports"
Ricochet,2000-11-01,2.4,,1,"Indie, Action"
Hitman: Codename 47,2000-11-19,3.83,73.0,1,"Shooter, Action"
Unreal Gold,2000-01-20,3.42,,1,"Shooter, Action"
METAL SLUG 3,2000-03-23,3.97,,2,"Casual, Arcade, Action, Fighting"
Thief II: The Metal Age,2000-02-29,4.09,87.0,1,"Action, Simulation"
Tomb Raider V: Chronicles,2000-11-17,3.35,,1,"Shooter, Adventure, Action"
Final Fantasy IX,2000-07-07,4.36,84.0,6,"Adventure, RPG"
Diablo II,2000-06-29,4.42,88.0,0,"Action, RPG"
Unreal Tournament: Game of the Year Edition,2000-10-25,4.31,92.0,1,"Shooter, Massively Multiplayer, Action"
John Romero's Daikatana,2000-05-23,2.39,,1,"Shooter, Action"
Heroes of Might and Magic 3: Complete,2000-03-31,4.51,,1,Strategy
Carmageddon TDR 2000,2000-12-13,3.27,48.0,1,"Racing, Indie, Action"
Soulbringer,2000-06-29,2.61,70.0,1,"Action, RPG"
Perfect Dark,2000-05-22,3.97,97.0,10,"Shooter, Action"
The Legend of Zelda: Majora's Mask,2000-04-27,4.35,95.0,23,"Adventure, Action"
Deus Ex,2000-06-26,4.37,90.0,2,"Shooter, Action, RPG"
Earth 2150 Trilogy,2000-05-20,2.7,78.0,4,Strategy
Rune,2000-11-18,3.96,76.0,1,"Adventure, Action, RPG"
Crime Cities,2000-01-15,2.53,71.0,1,"Racing, Arcade, Action, Simulation"
The Sims,2000-02-01,4.21,88.0,12,Simulation
Spider-Man (2000),2000-09-15,4.3,87.0,0,"Adventure, Action"
Command & Conquer: Red Alert 2,2000-10-26,4.37,84.0,1,Strategy
Banjo-Tooie,2000-11-20,4.01,90.0,2,"Platformer, Adventure, Action"
Escape from Monkey Island,2000-11-08,3.93,,1,Adventure
Tony Hawk's Pro Skater 2,2000-09-19,4.35,91.0,0,"Arcade, Sports"
Summoner,2000-10-25,3.2,78.0,1,"Action, RPG"
