name,release_date,rating,rating_top,metacritic,playtime,genres
Perfect Dark,2000-05-22,3.97,5,97.0,10,"Shooter, Action"
The Legend of Zelda: Majora's Mask,2000-04-27,4.35,5,95.0,23,"Adventure, Action"
Baldur's Gate II: Shadows of Amn,2000-09-21,4.34,5,95.0,1,"Strategy, RPG"
Resident Evil Code: Veronica,2000-02-03,4.32,5,94.0,0,"Adventure, Action"
Jet Set Radio,2000-06-29,3.42,4,94.0,1,"Platformer, Action, Sports"
SSX (2000),2000-10-26,0.0,0,93.0,0,Action
Paper Mario (2000),2000-08-11,4.4,5,93.0,5,RPG
Skies of Arcadia,2000-10-05,4.39,5,93.0,0,RPG
Vagrant Story (2000),2000-02-10,4.24,5,92.0,0,"Adventure, Action, RPG"
Unreal Tournament: Game of the Year Edition,2000-10-25,4.31,5,92.0,1,"Shooter, Massively Multiplayer, Action"
Spyro: Year of the Dragon,2000-10-24,4.39,5,91.0,0,"Platformer, Adventure, Action"
Tony Hawk's Pro Skater 2,2000-09-19,4.35,5,91.0,0,"Arcade, Sports"
Mario Tennis (2000),2000-07-21,4.01,4,91.0,0,Sports
Deus Ex,2000-06-26,4.37,5,90.0,2,"Shooter, Action, RPG"
Banjo-Tooie,2000-11-20,4.01,4,90.0,2,"Platformer, Adventure, Action"
Rayman: Revolution,2000-12-22,3.93,5,90.0,0,Platformer
Deus Ex: Game of the Year Edition,2000-06-22,4.14,5,90.0,1,"Shooter, Action, RPG"
Homeworld: Cataclysm,2000-09-02,4.19,5,89.0,0,Strategy
WWF No Mercy,2000-11-17,4.29,5,89.0,0,"Fighting, Sports"
Sacrifice,2000-11-15,4.02,4,89.0,1,Strategy
Counter-Strike,2000-11-01,4.04,4,88.0,3,"Shooter, Action"
Diablo II,2000-06-29,4.42,5,88.0,0,"Action, RPG"
The Sims,2000-02-01,4.21,4,88.0,12,Simulation
Thief II: The Metal Age,2000-02-29,4.09,5,87.0,1,"Action, Simulation"
Metropolis Street Racer,2000-11-03,4.18,4,87.0,0,Racing
Grand Prix 3,2000-08-24,4.14,5,87.0,0,"Racing, Simulation, Sports"
Icewind Dale,2000-06-01,4.16,4,87.0,0,"Strategy, RPG"
Power Stone 2,2000-08-23,4.38,5,87.0,0,Fighting
Spider-Man (2000),2000-09-15,4.3,4,87.0,0,"Adventure, Action"
EverQuest: The Ruins of Kunark,2000-01-26,0.0,0,86.0,0,Massively Multiplayer
Enemy Engaged: RAH-66 Comanche vs. KA-52 Hokum,2000-03-01,0.0,0,86.0,0,Simulation
Ground Control Anthology,2000-05-30,3.68,4,86.0,1,Strategy
Ground Control,2000-06-01,4.0,4,86.0,0,Strategy
Dino Crisis 2,2000-09-13,4.23,4,86.0,5,"Shooter, Adventure, Action"
Medal of Honor: Underground,2000-10-23,4.17,4,86.0,0,Shooter
Allegiance,2000-03-31,0.0,0,86.0,0,Simulation
American McGee's Alice,2000-11-01,4.38,5,85.0,9,"Shooter, Platformer, Action, Puzzle"
Giants: Citizen Kabuto,2000-12-06,3.36,4,85.0,1,"Adventure, Action, RPG"
Command & Conquer: Red Alert 2,2000-10-26,4.37,5,84.0,1,Strategy
Shogun: Total War,2000-06-13,3.97,4,84.0,0,Strategy
Madden NFL 2001,2000-08-22,0.0,0,84.0,0,Sports
Final Fantasy IX,2000-07-07,4.36,5,84.0,6,"Adventure, RPG"
Crimson Skies,2000-09-17,4.2,4,83.0,4,"Action, Simulation"
Persona 2: Eternal Punishment,2000-06-29,4.3,5,83.0,0,RPG
Breath of Fire IV (2000),2000-04-27,4.38,5,83.0,0,RPG
MDK 2,2000-05-29,3.98,4,83.0,1,Action
The Sims: Livin' Large,2000-08-31,3.94,4,82.0,0,Strategy
B-17 Flying Fortress: The Mighty 8th,2000-01-01,3.17,5,82.0,1,Simulation
Warlords Battlecry,2000-07-08,3.67,4,82.0,10,"Strategy, RPG"
TimeSplitters,2000-10-26,3.91,4,81.0,0,Shooter
007: The World is not Enough,2000-11-01,3.69,4,81.0,0,"Shooter, Arcade, Action"
Dark Cloud,2000-12-14,3.87,4,80.0,91,"Action, RPG"
The Operative: No One Lives Forever,2000-11-09,4.21,4,79.0,0,"Shooter, Action"
Smuggler's Run,2000-10-26,0.0,0,79.0,0,Racing
Starlancer,2000-03-31,4.71,5,78.0,0,Simulation
Armored Core 2,2000-10-26,0.0,0,78.0,0,"Shooter, Action, Simulation"
Road Rash: Jailbreak,2000-02-01,4.0,4,78.0,0,Racing
Summoner,2000-10-25,3.2,4,78.0,1,"Action, RPG"
Earth 2150 Trilogy,2000-05-20,2.7,1,78.0,4,Strategy
Heavy Metal: F.A.K.K.2,2000-08-04,3.78,4,78.0,0,"Shooter, Action"
Ridge Racer V,2000-03-04,0.0,0,78.0,0,Racing
Midnight Club: Street Racing,2000-10-25,3.0,3,78.0,0,"Racing, Arcade"
