name,release_date,rating,rating_top,metacritic,playtime,genres
Chrono Cross,1999-11-18,4.39,5,94.0,42,RPG
Gran Turismo 2,1999-12-11,4.41,5,93.0,0,Racing
Homeworld,1999-09-01,4.38,5,93.0,0,Strategy
Unreal Tournament,1999-11-22,4.37,5,92.0,2,"Shooter, Action"
Tony Hawk's Pro Skater,1999-08-31,4.41,5,92.0,0,Sports
Sid Meier's Alpha Centauri,1999-02-12,4.16,5,92.0,1,Strategy
Thief Gold,1999-10-29,4.0,5,92.0,1,"Action, Simulation"
Medal of Honor (1999),1999-10-31,4.21,4,92.0,0,"Shooter, Action"
Age of Empires II: Age of Kings,1999-09-30,4.41,5,92.0,0,Strategy
System Shock 2,1999-08-11,4.14,5,92.0,2,"Shooter, Action, RPG"
Freespace 2,1999-09-30,3.14,4,91.0,1,"Action, Simulation"
Planescape: Torment,1999-12-12,4.36,5,91.0,2,"Strategy, RPG"
The Longest Journey,1999-11-18,4.37,5,91.0,1,"Adventure, Puzzle"
Legacy of Kain: Soul Reaver,1999-08-16,4.11,4,91.0,1,"Platformer, Adventure, Action"
Beetle Adventure Racing,1999-02-28,4.29,4,90.0,0,Racing
Syphon Filter,1999-01-31,4.05,4,90.0,2,"Shooter, Action"
Donkey Kong 64,1999-11-22,3.98,4,90.0,0,"Platformer, Adventure, Action"
Ape Escape,1999-05-31,4.0,4,90.0,0,Platformer
FINAL FANTASY VIII,1999-01-11,4.27,5,90.0,3,RPG
Descent 3,1999-06-17,3.56,4,89.0,1,Action
Crash Team Racing,1999-09-30,4.35,5,88.0,0,"Racing, Action"
Need for Speed: High Stakes,1999-03-01,4.06,4,86.0,30,"Racing, Arcade"
Silent Hill,1999-01-31,4.37,5,86.0,23,Action
EverQuest (1999),1999-03-16,2.65,1,85.0,0,"Massively Multiplayer, RPG"
Monster Rancher 2,1999-02-25,3.86,5,83.0,46,RPG
Ogre Battle 64: Person of Lordly Caliber,1999-07-14,4.0,4,82.0,0,Strategy
Harvest Moon: Back To Nature,1999-12-16,4.15,4,82.0,0,RPG
Crazy Taxi (1999),1999-01-01,3.83,4,82.0,1,"Racing, Arcade, Action"
Asheron's Call,1999-10-31,0.0,0,81.0,1,"Massively Multiplayer, RPG"
Flanker 2.0: Combat Flight Simulator,1999-09-30,0.0,0,81.0,0,Simulation
Valkyrie Profile,1999-12-22,4.35,5,81.0,0,RPG
Incredible Crisis,1999-06-24,4.36,5,80.0,0,Action
Jet Force Gemini,1999-10-11,3.95,4,80.0,0,"Shooter, Action"
Virtua Tennis (1999),1999-11-15,4.28,4,80.0,0,Sports
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999-11-19,3.14,1,80.0,1,Adventure
Parasite Eve II,1999-12-16,4.36,5,79.0,0,RPG
Super Smash Bros. (1999),1999-01-21,4.22,4,79.0,0,"Action, Fighting"
Harvest Moon 64 (1999),1999-11-30,4.33,4,78.0,0,"Adventure, Simulation"
Pokémon Snap,1999-03-21,3.94,4,77.0,2,Simulation
Prince of Persia 3D,1999-08-31,2.74,3,76.0,0,"Adventure, Action, Puzzle"
Tom Clancy's Rainbow Six: Rogue Spear,1999-08-31,3.77,4,75.0,60,"Shooter, Strategy, Action"
Resident Evil 3: Nemesis,1999-09-22,4.32,4,75.0,18,Action
Shin Megami Tensei Persona 2: Innocent Sin,1999-06-24,4.31,5,75.0,0,RPG
The Legend of Dragoon,1999-12-02,4.43,5,74.0,1,RPG
Total Annihilation: Kingdoms,1999-06-25,0.0,0,74.0,0,Strategy
Championship Motocross Featuring Ricky Carmichael,1999-09-13,0.0,0,70.0,0,Action
Grand Theft Auto 2,1999-10-22,4.03,4,70.0,1,"Racing, Action"
Septerra Core: Legacy of the Creator,1999-10-31,2.88,3,70.0,4,"Adventure, RPG"
X-Plane,1999-05-01,0.0,0,69.0,0,Simulation
Quake III Arena,1999-12-02,4.32,5,69.0,1,"Shooter, Action"
Strider 2 (1999),1999-12-13,0.0,0,69.0,0,"Platformer, Arcade"
Rayman 2: The Great Escape,1999-10-29,4.12,4,68.0,1,"Platformer, Adventure, Action"
Army Men II,1999-02-28,2.86,4,67.0,2,"Strategy, Action"
The King of Fighters '99,1999-06-24,4.07,4,67.0,0,"Arcade, Fighting"
