name,release_date,rating,metacritic,playtime,genres
Heckabomb,2015-02-27,1.5,,4,"Indie, Action"
Kung Fu Panda: Showdown of Legendary Legends,2015-12-15,2.23,66.0,0,Fighting
Incitement 3,2015-08-19,2.06,,5,"Indie, Adventure, RPG"
Five Nights at Freddy's 3,2015-03-02,3.24,68.0,2,"Indie, Action, Simulation"
The Tower Of Elements,2015-08-05,1.44,,4,"Indie, Action"
Tap Heroes,2015-06-05,2.37,,4,"Adventure, Action, RPG, Casual, Indie"
Project Druid - 2D Labyrinth Explorer,2015-07-30,1.67,,1,"Casual, Indie"
Survivor Squad,2015-01-21,2.85,,3,"Strategy, Indie, Action"
Top Trumps Turbo,2015-03-20,1.4,,1,Casual
Monstrum,2015-05-19,3.0,,3,Indie
The Four Kings Casino and Slots,2015-06-01,2.64,,1,"Casual, Massively Multiplayer, Simulation"
Teddy Floppy Ear - The Race,2015-05-22,2.37,,6,"Racing, Indie, Sports"
Planet of the Eyes,2015-08-24,2.81,66.0,3,"Indie, Adventure, Action"
Overlord: Fellowship of Evil,2015-10-19,2.65,31.0,4,"Adventure, Action, RPG"
Lost Moon,2015-09-28,1.79,,5,Indie
Super Exploding Zoo!,2015-06-02,2.16,,0,Action
The Dark Stone from Mebara,2015-02-27,2.21,,3,"Indie, Adventure, RPG"
fault - milestone two side:above,2015-09-07,2.92,,5,Indie
Boring Man - Online Tactical Stickman Combat,2015-02-20,2.0,,1,Action
Destination Sol,2015-02-05,2.55,,1,"Indie, Action, RPG"
Chaos Reborn,2015-10-25,2.71,85.0,5,"Strategy, Indie, RPG"
The Legend of Zelda: Majora's Mask 3D,2015-02-13,4.42,89.0,29,Adventure
Empyrion - Galactic Survival,2015-08-05,3.31,,5,"Indie, Strategy, Adventure, Simulation"
Wickland,2015-02-06,2.2,,3,"Indie, Action"
Survivalist,2015-01-30,2.53,,4,"Adventure, Action, RPG, Strategy, Simulation, Indie"
Eastside Hockey Manager,2015-12-01,1.52,,1,"Simulation, Sports"
Shiftlings,2015-03-03,2.0,70.0,4,"Adventure, Action"
Pool Nation FX Lite,2015-12-07,2.67,,1,"Casual, Strategy, Simulation, Sports, Indie"
Ace Of Words,2015-12-26,1.9,,6,"Casual, Indie"
Bloodbath Kavkaz,2015-04-20,2.67,,5,"Indie, Adventure, Action"
Kung Fury: Street Rage,2015-05-28,3.51,,2,"Arcade, Action"
404Sight,2015-04-16,2.28,,1,"Indie, Action"
TEMBO THE BADASS ELEPHANT,2015-07-21,3.3,,1,"Indie, Adventure, Action"
Hot Tin Roof: The Cat That Wore A Fedora,2015-02-19,2.0,66.0,3,"Indie, Adventure, Action, RPG"
Life is Feudal: Your Own,2015-11-17,2.63,63.0,7,"Indie, Action, RPG, Simulation"
Total War Battles: KINGDOM,2015-04-09,1.65,67.0,1,"Strategy, Action"
Concrete Jungle,2015-09-23,3.39,76.0,3,"Strategy, Indie, Puzzle"
Curses 'N Chaos,2015-08-18,2.35,,3,"Indie, Action"
Energy Balance,2015-07-02,1.65,,5,"Casual, Indie, Puzzle"
Rebuild 3: Gangs of Deadsville,2015-05-28,3.08,75.0,3,"Strategy, Indie, Simulation"
Convoy,2015-04-20,3.21,72.0,3,"Adventure, Action, RPG, Strategy, Indie"
DRAGON: A Game About a Dragon,2015-04-24,2.18,,3,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie"
Sunrider Academy,2015-04-15,3.56,,5,"Casual, Indie, Simulation"
Big Pharma,2015-08-26,3.44,72.0,5,"Strategy, Indie, Simulation"
Knight Squad,2015-11-16,3.27,,4,"Indie, Action"
Burgers,2015-09-03,1.96,,5,"Indie, Adventure, Action, RPG"
Games of Glory,2015-05-26,2.12,,1,"Strategy, Action"
Penarium,2015-09-22,2.82,80.0,3,"Casual, Indie, Arcade, Action"
Cibele,2015-11-02,2.46,71.0,1,Indie
BLACKHOLE,2015-02-27,2.3,82.0,4,"Adventure, Action, Puzzle, Indie, Platformer"
Guardians of Orion,2015-12-01,2.27,,3,"Indie, Action, RPG"
Cultures - 8th Wonder of the World,2015-03-26,3.0,,1,Strategy
Ruzh Delta Z,2015-05-11,1.82,,1,"Casual, Indie, Action"
Order of Battle: World War II,2015-04-29,2.74,81.0,2,"Strategy, Simulation"
Red Lake,2015-03-25,1.86,,4,"Indie, Adventure, Action"
Dracula's Legacy,2015-10-22,2.63,,4,"Casual, Indie"
Jones On Fire,2015-03-27,2.0,,3,"Casual, Racing, Indie, Action"
WRC 5 FIA World Rally Championship,2015-10-08,2.94,65.0,4,"Racing, Sports"
The Book of Unwritten Tales 2,2015-02-20,3.16,80.0,5,"Adventure, Action"
Flame Over,2015-03-10,2.21,,4,"Indie, Action"
