name,release_date,rating,rating_top,metacritic,playtime,genres
The Elder Scrolls IV: Oblivion,2006-03-20,4.34,5,94.0,4,RPG
Company of Heroes,2006-09-11,3.67,4,93.0,7,Strategy
Dwarf Fortress,2006-08-08,4.29,5,93.0,3,"Strategy, Indie, RPG, Simulation"
Okami,2006-04-20,4.4,5,93.0,1,"Adventure, Action"
Age of Empires: The Age of Kings,2006-02-14,3.43,4,92.0,0,Strategy
Final Fantasy XII,2006-03-16,4.19,4,92.0,0,RPG
Gears of War,2006-11-08,4.11,4,90.0,7,"Shooter, Action"
New Super Mario Bros.,2006-05-15,4.16,4,89.0,25,"Platformer, Arcade, Action"
Bully,2006-10-17,4.36,4,87.0,0,"Adventure, Action, Simulation"
Metal Gear Solid: Portable Ops,2006-12-05,3.52,4,87.0,1,"Shooter, Action"
Elite Beat Agents,2006-11-06,4.36,5,87.0,37,Action
"Warhammer 40,000: Dawn of War - Dark Crusade",2006-10-09,4.17,4,87.0,3,Strategy
Jeanne d'Arc,2006-11-22,4.09,4,87.0,0,"Strategy, RPG"
Half-Life 2: Episode One,2006-06-01,4.37,5,87.0,4,"Shooter, Action"
IL-2 Sturmovik: 1946,2006-12-14,3.34,4,86.0,1,Simulation
Resistance: Fall of Man,2006-11-17,3.66,4,86.0,0,"Shooter, Action"
Shin Megami Tensei: Persona 3,2006-07-13,4.37,5,86.0,0,RPG
Midnight Club 3: DUB Edition Remix,2006-03-13,4.56,5,86.0,0,"Racing, Arcade"
Metroid Prime Hunters,2006-03-20,3.64,4,85.0,0,"Adventure, Action"
Tom Clancy's Ghost Recon: Advanced Warfighter,2006-03-09,3.48,4,85.0,1,"Shooter, Action"
Castlevania: Portrait of Ruin,2006-12-05,4.39,5,85.0,5,"Platformer, Adventure, Action"
The Legend of Heroes: Trails in the Sky,2006-10-28,4.25,5,85.0,5,RPG
Tom Clancy's Rainbow Six Vegas,2006-11-22,3.66,4,85.0,1,"Shooter, Action"
DEFCON,2006-09-28,3.05,4,84.0,1,"Strategy, Indie"
Fight Night Round 3,2006-02-20,4.0,4,84.0,0,"Action, Fighting, Simulation, Sports"
MotorStorm,2006-12-14,3.97,4,84.0,0,"Racing, Arcade"
Disciples II: Gallean's Return,2006-07-06,4.48,5,84.0,1,Strategy
Civilization IV: Warlords,2006-07-26,3.7,4,84.0,1,Strategy
Bleach: The Blade of Fate,2006-01-26,0.0,0,83.0,0,"Action, Fighting"
ToCA Race Driver 3,2006-02-24,4.19,4,83.0,6,"Racing, Arcade, Simulation, Sports"
Prey (2006),2006-07-11,4.11,4,83.0,0,"Shooter, Adventure, Action"
LocoRoco,2006-06-23,4.2,4,83.0,0,"Platformer, Action"
MegaMan Powered Up,2006-03-14,0.0,0,82.0,0,"Platformer, Action"
Mega Man Powered Up,2006-03-02,3.71,4,82.0,0,"Platformer, Action"
Dangerous Waters,2006-02-06,2.33,3,82.0,1,Strategy
Tekken 5: Dark Resurrection,2006-07-06,4.17,4,82.0,0,"Arcade, Fighting"
Hitman: Blood Money,2006-05-29,4.3,5,82.0,2,"Shooter, Action"
Tomb Raider: Legend,2006-04-06,3.9,4,82.0,2,"Adventure, Action"
Xpand Rally,2006-08-24,3.1,3,82.0,1,Racing
Dead Rising,2006-08-08,3.68,4,82.0,5,Action
Saints Row,2006-08-29,3.55,4,81.0,2,"Shooter, Adventure, Action"
Call of Duty 3,2006-11-07,3.77,4,81.0,3,Shooter
Xenosaga Episode III: Also sprach Zarathustra,2006-08-29,4.0,4,81.0,0,RPG
Red Orchestra: Ostfront 41-45,2006-03-14,3.02,4,81.0,1,Action
Marvel Ultimate Alliance,2006-10-24,3.92,4,81.0,2,"Adventure, Action, RPG, Fighting, Arcade"
Lara Croft Tomb Raider: Legend,2006-04-06,0.0,0,81.0,0,"Adventure, Action"
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,2006-11-07,0.0,0,81.0,0,"Shooter, Action"
Onimusha: Dawn of Dreams,2006-01-26,3.92,4,81.0,0,Action
OutRun 2006: Coast 2 Coast,2006-06-28,4.39,4,81.0,2,"Racing, Arcade"
The Blackwell Legacy,2006-12-29,3.77,4,80.0,3,"Indie, Adventure"
Tom Clancy's Splinter Cell Double Agent,2006-10-17,3.77,4,80.0,2,"Adventure, Action"
Disciples II: Rise of the Elves,2006-07-06,4.48,5,80.0,1,Strategy
Grand Theft Auto: Vice City Stories,2006-10-31,4.01,4,80.0,42,"Racing, Shooter, Action"
Battlefield 2142,2006-10-17,3.8,4,80.0,1,"Shooter, Action"
SWAT 4: The Stetchkov Syndicate,2006-02-28,4.09,4,80.0,0,"Shooter, Action"
RoboBlitz,2006-11-06,2.78,3,80.0,1,"Indie, Adventure, Action"
Trauma Center: Second Opinion,2006-11-14,3.89,4,80.0,1,Simulation
WWE SmackDown! vs. Raw 2007,2006-11-10,3.73,4,80.0,0,"Arcade, Action, Fighting, Sports"
Star Wars: Empire at War,2006-02-16,4.02,4,79.0,2,Strategy
Test Drive Unlimited,2006-09-05,3.99,4,79.0,3,"Racing, Arcade"
BLACK,2006-02-24,4.04,4,79.0,3,Shooter
Mega Man Maverick Hunter X,2006-02-02,4.6,5,79.0,1,"Platformer, Action"
Rome: Total War - Alexander,2006-06-26,3.39,4,79.0,1,"Strategy, Simulation"
Crimson Sea,2006-02-01,0.0,0,78.0,0,Action
Ridge Racer 7,2006-11-11,0.0,0,78.0,0,"Racing, Arcade"
Tiger Woods PGA Tour 07,2006-10-10,1.88,1,78.0,0,Sports
Far Cry Instincts: Evolution,2006-03-28,3.0,3,78.0,0,"Shooter, Adventure"
Anno 1701 A.D.,2006-10-25,4.12,4,78.0,1,"Strategy, Simulation"
Field Commander,2006-05-23,0.0,0,77.0,0,"Strategy, Action"
Need For Speed Carbon,2006-10-30,3.92,4,77.0,20,"Racing, Arcade"
Sid Meier's Railroads!,2006-10-17,3.18,4,77.0,1,"Strategy, Simulation"
