name,release_date,rating,rating_top,metacritic,playtime,genres
Command & Conquer,1995-08-31,4.31,5,94.0,0,Strategy
Super Mario World 2: Yoshi's Island,1995-08-05,4.34,5,91.0,0,Platformer
Tekken 2 (1995),1995-09-29,4.0,4,89.0,0,Fighting
Tactics Ogre: Let Us Cling Together,1995-10-06,4.38,5,87.0,42,Strategy
Full Throttle,1995-04-30,4.38,5,86.0,0,Adventure
Rayman,1995-09-01,3.84,4,84.0,3,"Arcade, Adventure, Action"
Chrono Trigger,1995-03-11,4.34,5,82.0,6,RPG
Battle Arena Toshinden,1995-01-01,3.17,4,69.0,0,"Arcade, Fighting"
Ultimate Mortal Kombat 3,1995-11-06,4.43,5,62.0,0,Fighting
Tales of Phantasia,1995-12-15,4.0,4,56.0,0,RPG
Earthworm Jim 2,1995-09-18,4.3,4,45.0,1,"Adventure, Action"
Dragon Ball Z: Ultimate Battle 22,1995-07-28,2.78,3,25.0,0,"Action, Fighting"
Metamoqester,1995-11-01,0.0,0,,0,Arcade
The Outfoxies,1995-03-01,0.0,0,,0,"Arcade, Fighting"
Magical Drop,1995-10-20,0.0,0,,0,Puzzle
Beyond the Beyond,1995-11-03,0.0,0,,0,RPG
Bases Loaded '96: Double Header,1995-11-22,0.0,0,,0,"Simulation, Sports"
Carnage Heart,1995-12-08,0.0,0,,0,Strategy
Jumping Flash! (1995),1995-04-28,3.71,4,,0,"Platformer, Action"
Defcon 5,1995-01-01,0.0,0,,0,"Shooter, Adventure, Action"
Hermie Hopperhead: Scrap Panic,1995-09-29,0.0,0,,0,"Platformer, Action"
Silverload,1995-01-01,0.0,0,,0,Adventure
CyberSpeed,1995-09-15,0.0,0,,0,Racing
The Hive (1995),1995-01-01,0.0,0,,0,
Sterling Sharpe: End 2 End,1995-03-01,0.0,0,,0,"Simulation, Sports"
Dirt Trax FX,1995-06-01,0.0,0,,0,Racing
Last Bible III,1995-03-04,0.0,0,,0,RPG
Rap Jam: Volume One,1995-01-01,0.0,0,,0,Sports
Pray for Death,1995-12-31,0.0,0,,0,"Action, Fighting"
Game & Watch,1995-01-01,0.0,0,,0,
Mahou Kishi Rayearth (GB),1995-06-02,0.0,0,,0,RPG
Dark Seed,1995-07-07,3.83,4,,0,
3D Lemmings,1995-01-01,0.0,4,,0,Puzzle
Front Lines,1995-01-01,0.0,0,,0,"Adventure, Action, Casual, Strategy, Simulation, Indie"
Oregon Trail II,1995-02-13,0.0,0,,0,"Educational, Adventure"
Connections,1995-01-01,0.0,0,,0,Adventure
In the 1st Degree,1995-08-31,0.0,0,,0,Adventure
Donald in Maui Mallard,1995-12-08,3.9,4,,0,Platformer
MLBPA Baseball,1995-08-11,0.0,0,,0,Sports
Super Adventure Island II (1995),1995-01-03,0.0,0,,0,"Platformer, Adventure"
Xtreme Racing,1995-01-01,0.0,0,,0,Racing
Coala,1995-01-01,0.0,0,,0,Action
Mystery Dungeon: Shiren the Wanderer (1995),1995-12-01,0.0,0,,0,RPG
Emmitt Smith Football,1995-11-01,0.0,0,,0,Sports
Doraemon 4: Nobita in the Moon Kingdom,1995-12-14,0.0,0,,0,Platformer
The Mask,1995-10-26,3.5,4,,0,"Platformer, Action"
X-Men: Children of the Atom (1995),1995-11-22,3.71,4,,0,"Arcade, Fighting"
Australian Rugby League,1995-01-01,0.0,0,,0,Sports
Asterix and the Power of the Gods,1995-01-01,4.14,5,,0,Platformer
Super Skidmarks,1995-01-01,0.0,0,,0,Racing
Mark Davis' The Fishing Master,1995-06-30,0.0,0,,0,Sports
Bronkie the Bronchiasaurus,1995-09-01,0.0,0,,0,"Educational, Platformer"
Space Waste,1995-01-01,0.0,0,,0,"Casual, Shooter, Arcade, Action"
Extreme Pinball,1995-01-01,0.0,0,,0,Arcade
Battle Arena Toshinden 2,1995-01-01,3.43,4,,0,"Arcade, Fighting"
Disney's Animated Storybook: Pocahontas,1995-12-01,0.0,0,,0,"Educational, Family"
Chronicles of the Sword,1995-01-01,0.0,0,,0,Adventure
NBA Jam Tournament Edition,1995-01-01,3.43,5,,0,Sports
Tyrian,1995-01-01,4.0,4,,0,Arcade
Igor: Objective Uikokahonia,1995-01-01,0.0,0,,0,Adventure
Casino Tournament of Champions,1995-01-01,0.0,0,,0,Card
Tank Commander,1995-01-01,0.0,0,,0,"Indie, Action, Simulation"
Space Quest 6: Roger Wilco in the Spinal Frontier,1995-01-01,0.0,0,,0,Adventure
Manic Karts,1995-01-01,0.0,0,,0,"Racing, Arcade"
Skunny,1995-01-01,0.0,0,,0,Arcade
Fatal Racing,1995-01-01,0.0,5,,0,Arcade
Star Quest 1: In the 27th Century,1995-01-01,0.0,0,,0,"Arcade, Simulation"
Clash of Steel 2: The Future Edition or What Is After World War III?,1995-01-01,0.0,0,,0,Strategy
Dagger's Rage,1995-01-01,0.0,0,,0,Arcade
Striker '95,1995-01-01,0.0,0,,0,Sports
Capitalism,1995-01-01,0.0,0,,0,Strategy
Ocean Trader,1995-01-01,0.0,0,,0,Strategy
Speed Haste,1995-01-01,0.0,0,,0,"Racing, Simulation"
SuperSpeed Deluxe Edition,1995-01-01,0.0,0,,0,"Racing, Arcade"
Card Player's Paradise,1995-01-01,0.0,0,,0,Card
Cargo Bay,1995-01-01,0.0,0,,0,Puzzle
Jixxa,1995-01-01,0.0,0,,0,Puzzle
Grandmaster Championship Chess,1995-01-01,0.0,0,,0,
Ungaria,1995-01-01,0.0,0,,0,Puzzle
Micro! Deluxe,1995-01-01,0.0,0,,0,
MVP Bridge for Windows,1995-01-01,0.0,0,,0,Card
Dime City,1995-01-01,0.0,0,,0,Adventure
Pinball Mania,1995-02-01,0.0,0,,0,Arcade
Pacific Theater of Operations 2,1995-01-01,0.0,0,,0,Strategy
Mortal Coil: Adrenalin Intelligence,1995-10-01,0.0,0,,0,"Shooter, Action"
Navy Strike: Task Force Command,1995-10-01,0.0,0,,0,Simulation
The Journeyman Project 2: Buried in Time,1995-01-01,0.0,0,,9,"Adventure, Puzzle"
Monopoly CD-ROM,1995-01-01,0.0,0,,0,Board Games
Virtual Pool,1995-01-01,0.0,0,,0,"Casual, Sports"
Grand Prix 2,1995-01-01,2.5,1,,0,"Racing, Simulation, Sports"
RISS Solitaire Card Games,1995-01-01,0.0,0,,0,Card
Thunderscape: World of Aden,1995-01-01,0.0,0,,0,RPG
Crusade,1995-01-01,0.0,0,,0,Strategy
Home Run Derby,1995-01-01,0.0,0,,0,Sports
Motor City,1995-01-01,0.0,0,,0,Strategy
Sammy's Science House,1995-01-01,0.0,0,,0,Educational
Muppet Brighter Child,1995-01-01,0.0,0,,0,Educational
Absolute Zero,1995-01-01,0.0,0,,0,Simulation
Lion,1995-01-01,0.0,0,,0,"Strategy, Adventure, Educational"
Maximum Roadkill,1995-01-01,0.0,0,,0,"Racing, Arcade"
Stars!,1995-01-01,0.0,0,,0,Strategy
Outer Ridge,1995-01-01,0.0,0,,0,Arcade
The Daedalus Encounter,1995-01-01,0.0,0,,0,Adventure
Space Empires 2,1995-01-01,0.0,0,,0,Strategy
Saturday Night Live Goes Political,1995-01-01,0.0,0,,0,"Arcade, Puzzle"
Pinball 2000,1995-01-01,0.0,0,,0,Arcade
Flight Light Plus,1995-01-01,0.0,0,,0,Simulation
Цирк,1995-01-01,0.0,0,,0,
Retrospectro,1995-01-01,0.0,0,,0,
Frankenstein: Through the Eyes of the Monster,1995-01-01,0.0,0,,0,Adventure
"Bicycle Casino: Blackjack, Poker, Baccarat, Roulette",1995-01-01,0.0,0,,0,Card
Slicks 'n' Slide,1995-01-01,0.0,0,,0,"Racing, Arcade"
APBA Football,1995-01-01,0.0,0,,0,"Simulation, Sports"
L'Affaire Morlov,1995-01-01,0.0,0,,0,Adventure
Future Dimension,1995-01-01,0.0,0,,0,Arcade
XenoBall,1995-01-01,0.0,0,,0,Arcade
Terror T.R.A.X.: Track of the Vampire,1995-01-01,0.0,0,,0,Adventure
May Club,1995-08-25,0.0,0,,0,Casual
Fury3,1995-08-01,0.0,0,,0,"Shooter, Action"
Space Quest 4+5+6,1995-11-26,0.0,0,,0,Adventure
SimIsle: Missions in the Rainforest,1995-11-01,0.0,0,,0,"Strategy, Educational"
Royal Stone: Hirakareshi Toki no Tobira,1995-02-24,0.0,0,,0,"Strategy, Adventure, Action, RPG"
Tintin in Tibet,1995-01-01,0.0,0,,0,"Platformer, Adventure, Action"
Kolibri,1995-11-30,0.0,0,,0,
FIFA Soccer 96,1995-01-01,3.93,5,,0,Sports
Phantom 2040,1995-05-04,0.0,0,,0,Adventure
Foreman For Real,1995-09-28,0.0,0,,0,Sports
Don Quixote: A Dream in Seven Crystals,1995-01-01,0.0,0,,0,Adventure
Nocturnal Illusion,1995-04-22,0.0,0,,0,Adventure
Triad Campain/Wargame System,1995-01-01,0.0,0,,0,Strategy
Gargoyles,1995-05-15,4.11,4,,0,Platformer
Mimi & the Mites,1995-01-01,0.0,0,,0,Arcade
Widget Workshop,1995-01-01,0.0,0,,0,Puzzle
Dice a Woman 2,1995-01-01,0.0,0,,0,
Girlfriend,1995-01-01,0.0,0,,0,Adventure
Вира!!!,1995-01-01,0.0,0,,0,Puzzle
Multimedia IQ Test,1995-01-01,0.0,0,,0,Educational
One-on-One with the SAT,1995-01-01,0.0,0,,0,Educational
The Atlas,1995-01-01,0.0,0,,0,Strategy
Treasure of the Rudras,1995-04-05,0.0,0,,0,RPG
Emerald Dragon,1995-07-28,0.0,0,,0,RPG
Virocop,1995-01-01,0.0,0,,0,
Izzy's Quest for the Olympic Rings,1995-04-01,0.0,0,,0,Platformer
Arc the Lad,1995-06-30,3.33,4,,0,"Strategy, RPG"
Lufia II: Rise of the Sinistrals,1995-02-24,4.0,4,,0,RPG
Su-27 Flanker,1995-01-01,3.5,3,,0,Simulation
Waterworld (1995),1995-11-21,0.0,0,,0,"Platformer, Action"
X-Men 2: Clone Wars,1995-01-01,4.18,4,,0,Action
Sea Legends,1995-01-01,0.0,0,,0,"Strategy, Adventure, Action, RPG"
Chess Kids,1995-01-01,0.0,0,,0,
Off-World Interceptor,1995-11-22,0.0,0,,0,"Racing, Action"
Panel de Pon,1995-10-27,4.33,4,,0,Puzzle
The Ultimate Doom: Thy Flesh Consumed,1995-01-01,4.1,4,,0,"Shooter, Action"
Cho Aniki: Kyuukyoku Muteki Ginga Saikyou Otoko,1995-09-08,0.0,0,,0,"Shooter, Action"
Looney Tunes B-Ball,1995-02-01,0.0,0,,0,Sports
Slipstream 5000,1995-12-30,2.0,1,,4,"Racing, Arcade, Action, Sports"
Mortal Kombat 3,1995-01-01,4.25,4,,0,"Arcade, Fighting"
DeathKeep,1995-01-01,0.0,0,,0,"Adventure, Action, RPG"
