name,release_date,rating,metacritic,playtime,genres
Wolfenstein 3D,1992-05-05,4.09,,1,"Shooter, Action"
Mortal Kombat,1992-08-09,3.95,,24,Fighting
Lure of the Temptress,1992-04-11,2.05,,1,Adventure
Sonic the Hedgehog 2,1992-11-21,4.28,78.0,5,"Platformer, Arcade, Action"
Indiana Jones and the Fate of Atlantis: The Graphic Adventure,1992-06-01,4.28,,1,Adventure
Streets of Rage 2,1992-12-20,4.11,,6,"Arcade, Action"
FINAL FANTASY V,1992-12-06,4.08,,4,RPG
Wizardry 7: Crusaders of the Dark Savant,1992-10-15,2.73,,1,"Adventure, RPG"
Dune II: Battle For Arrakis,1992-12-01,4.37,,0,Strategy
Secret Agent,1992-02-01,2.18,,1,"Adventure, Action, Casual, Arcade, Platformer"
Cosmo's Cosmic Adventure,1992-02-29,2.42,,1,"Arcade, Platformer, Adventure, Action"
MineSweeper (Microsoft),1992-04-06,3.95,,1,"Strategy, Puzzle"
Alone in the Dark 1,1992-01-01,3.96,,1,"Adventure, Action"
Super Star Wars,1992-06-01,3.51,,0,"Platformer, Arcade, Action"
BASEBALL STARS 2,1992-04-14,3.0,,1,"Arcade, Sports"
Disney's Darkwing Duck,1992-06-01,4.26,,0,Action
Flashback: The Quest for Identity,1992-01-01,4.32,,0,"Arcade, Adventure, Action, Puzzle"
Super Mario Land 2: 6 Golden Coins,1992-10-21,4.23,,2,
Darklands,1992-01-01,3.57,,1,"Adventure, RPG"
Call of Cthulhu: Shadow of the Comet,1992-12-31,3.58,,1,Adventure
Rex Nebular and the Cosmic Gender Bender,1992-10-31,0.0,,1,Adventure
Teenage Mutant Ninja Turtles: The Hyperstone Heist,1992-08-11,4.25,,0,"Arcade, Action"
Desert Strike,1992-02-01,4.16,,0,
Ecco the Dolphin (1992),1992-07-31,3.8,,0,
Kirby's Dream Land (1992),1992-04-27,3.79,,0,"Platformer, Action"
Putt-Putt Joins the Parade,1992-04-17,4.0,,1,"Casual, Educational, Adventure"
Mega Man 5 (1992),1992-12-04,4.02,,0,Action
Felix the Cat,1992-10-01,4.32,,0,
Street Fighter II: Champion Edition,1992-03-01,4.31,,0,Fighting
Contra Force,1992-09-30,4.42,,0,"Shooter, Platformer, Action"
Contra III: The Alien Wars,1992-02-28,4.11,70.0,4,"Shooter, Action"
"Legend of Kyrandia, The (Book One)",1992-05-31,4.19,,0,Adventure
Wolfenstein 3D + Spear of Destiny,1992-05-04,4.11,,0,Shooter
"Batman Returns (Amiga, Atari)",1992-01-01,3.76,,0,"Adventure, Action"
ToeJam & Earl,1992-03-13,4.15,,1,"Adventure, Action"
Shin Megami Tensei,1992-10-30,3.89,72.0,0,RPG
DRAGON QUEST V,1992-09-27,4.33,90.0,0,RPG
Robocop 3,1992-08-01,3.92,,0,"Shooter, Platformer, Action"
Treasures of the Savage Frontier,1992-01-01,0.0,,1,RPG
The Flintstones: The Rescue of Dino & Hoppy,1992-04-30,4.03,,0,"Platformer, Action"
Ultima Underworld: The Stygian Abyss,1992-01-02,3.65,,1,"Action, RPG"
Shining Force: The Legacy of Great Intention,1992-03-20,4.15,,8,RPG
Starlord,1992-12-31,0.0,,1,"Action, Simulation"
Spider-Man: Return of the Sinister Six,1992-10-01,3.52,,0,
Gobliiins,1992-01-01,4.18,,0,"Adventure, Puzzle"
Ultima VII: The Black Gate,1992-04-16,4.15,,0,RPG
Scrabble,1992-01-01,0.0,,2,Board Games
The Incredible Machine,1992-01-01,4.28,,0,Puzzle
Dune,1992-01-01,4.0,,0,"Strategy, Adventure"
Waxworks,1992-01-01,0.0,,1,"Adventure, RPG"
Final Fantasy Mystic Quest (1992),1992-10-05,3.38,,0,RPG
Disney's Ariel: The Little Mermaid,1992-01-01,3.57,,0,"Adventure, Action"
World of Illusion Starring Mickey Mouse and Donald Duck,1992-12-17,4.09,,0,Platformer
Mario Paint,1992-07-14,3.56,,0,
Gobliins 2: The Prince Buffoon,1992-01-01,4.24,,0,Adventure
The Dark Queen of Krynn,1992-01-01,0.0,,2,RPG
Taz-Mania,1992-12-25,3.59,,0,"Arcade, Platformer, Adventure, Action"
The Simpsons: Bart's Nightmare,1992-10-12,3.3,,0,
Challenge of the Five Realms,1992-01-01,0.0,,5,"Adventure, RPG"
Battle Chess 4000,1992-01-01,0.0,,1,Strategy
Mortal Kombat 1+2+3,1992-12-31,4.41,,0,"Arcade, Action, Fighting"
Monster in My Pocket,1992-01-01,4.12,,0,Platformer
D&D Stronghold: Kingdom Simulator,1992-12-31,0.0,,1,Strategy
Color Lines (1992),1992-01-01,4.04,,0,"Board Games, Puzzle"
Top Gear,1992-03-27,4.5,,0,Racing
Task Force 1942: Surface Naval Action in the South Pacific,1992-11-06,0.0,,2,Simulation
Street Fighter II Turbo: Hyper Fighting,1992-01-01,4.45,,6,Fighting
Landstalker: The Treasures of King Nole,1992-10-30,4.0,,0,"Adventure, Action, RPG"
Bucky O'Hare,1992-01-31,4.25,,0,"Platformer, Action"
Tiny Toon Adventures: Buster Busts Loose!,1992-12-18,3.81,,0,
Soul Blazer,1992-01-31,3.93,,0,"Action, RPG"
Tiny Toon Adventures 2: Trouble in Wackyland,1992-11-27,4.06,,0,Platformer
Mitsume ga Tooru,1992-07-17,4.15,,0,"Platformer, Action"
Kid Chameleon (1992),1992-05-28,3.54,,0,Platformer
Caesar,1992-10-12,0.0,,1,Strategy
Virtua Racing,1992-08-01,4.6,,0,Racing
Fatal Fury 2 (1992),1992-12-10,3.56,,0,Fighting
Mario Is Missing!,1992-01-01,1.59,,0,Educational
Super Double Dragon,1992-10-08,4.17,,0,
Freddy Pharkas: Frontier Pharmacist,1992-12-31,0.0,,0,Adventure
Dungeons & Dragons: Dark Sun Series,1992-12-31,0.0,,7,"Action, RPG"
Art of Fighting (1992),1992-09-24,3.22,,0,Fighting
Adventure Island III (1992),1992-07-31,4.25,,0,"Platformer, Adventure, Action"
Mutation Nation,1992-03-16,0.0,,0,Action
Spear of Destiny,1992-09-19,3.82,,0,"Shooter, Action"
The Magical Quest (Starring Mickey Mouse),1992-11-20,4.0,,0,Platformer
Zool,1992-01-01,3.54,,0,"Platformer, Arcade"
E.V.O.: Search for Eden,1992-12-21,3.7,,0,Action
Disney's Magical Quest,1992-11-20,4.31,,0,"Platformer, Action"
King's Quest VI,1992-09-30,3.73,,0,Adventure
Splatterhouse 2 (1992),1992-08-03,3.77,,0,
Forgotten Realms: The Archives - Collection Three,1992-12-31,0.0,,1,"Action, RPG"
Krusty's Fun House,1992-01-01,2.82,,0,Puzzle
Might and Magic 4: Clouds of Xeen,1992-01-01,3.0,,0,RPG
Hearts (Microsoft),1992-01-01,3.9,,0,Card
Secret Agent HD,1992-01-31,0.0,,1,"Indie, Adventure, Action"
Steel Empire,1992-01-01,0.0,,8,"Strategy, Arcade, Action"
King of the Monsters 2: The Next Thing,1992-05-25,0.0,,0,"Action, Fighting"
Toxic Crusaders,1992-01-01,3.09,,0,Platformer
Disney's TaleSpin,1992-09-24,4.0,,0,"Platformer, Action"
Hook (1992),1992-02-01,3.78,,0,"Platformer, Action"
Fire Emblem Gaiden,1992-03-14,3.5,,0,Strategy
Return of the Phantom,1992-01-01,0.0,,1,Adventure
Yoshi's Cookie,1992-11-21,3.5,,0,Puzzle
Eric the Unready,1992-12-31,0.0,,1,Adventure
Romancing SaGa,1992-01-28,0.0,,0,RPG
Power Blade 2,1992-09-29,4.17,,0,"Platformer, Action"
Quest for Glory 3: The Wages of War,1992-01-01,4.09,,0,"Adventure, RPG"
Gargoyle's Quest II,1992-07-17,0.0,,0,"Adventure, Action"
Little Samson,1992-11-26,4.62,,0,"Platformer, Action"
Pocky & Rocky,1992-12-22,0.0,,0,"Shooter, Adventure, Action"
Power Blade,1992-01-23,3.91,,0,Action
Jill of the Jungle,1992-01-01,3.29,,0,Arcade
The Lost Files of Sherlock Holmes: The Case of the Serrated Scalpel,1992-01-01,4.38,,0,Adventure
Quest for Glory 1: So You Want to Be a Hero,1992-01-01,4.0,,0,"Adventure, RPG"
Ultima Underworld 1+2,1992-02-29,0.0,,0,RPG
Night Trap,1992-10-15,3.5,,0,
Axelay (1992),1992-09-11,3.5,,0,"Shooter, Action"
Super Turrican (1992),1992-01-01,0.0,,0,
Chakan: The Forever Man,1992-06-08,3.25,,0,"Platformer, Action"
King's Quest 6: Heir Today Gone Tomorrow,1992-10-01,4.33,,0,Adventure
Косынка,1992-01-01,4.1,,0,Card
Sensible Soccer,1992-01-01,4.44,,0,Sports
Ayrton Senna's Super Monaco GP II,1992-07-16,4.36,,0,Racing
Mega Man III,1992-12-11,0.0,,0,Platformer
X-Men Arcade,1992-03-19,3.71,67.0,0,"Arcade, Action"
"Ворона, или Как Иван-дурак за кладом ходил",1992-01-01,0.0,,0,Arcade
Magic Sword,1992-08-14,3.67,,0,Action
Freecell (1992),1992-01-01,3.75,,0,Card
Alisia Dragoon,1992-03-30,4.0,,0,Platformer
Super Adventure Island (1992),1992-01-11,0.0,,0,"Platformer, Arcade, Action"
Kick Master,1992-01-01,0.0,,0,Action
Ugh!,1992-01-01,0.0,,0,"Casual, Arcade, Action"
Panic Restaurant,1992-04-24,4.38,,0,"Platformer, Action"
Brawl Brothers (1992),1992-12-22,0.0,,0,
Home Alone 2: Lost in New York,1992-01-01,3.22,,0,Arcade
Legend,1992-09-01,3.5,,0,RPG
Gravity Wars,1992-01-01,0.0,,0,"Arcade, Action"
KGB,1992-01-01,0.0,,0,Adventure
Bio-Hazard Battle (1992),1992-10-30,3.67,,0,
Bumpy's Arcade Fantasy,1992-01-01,4.43,,0,Arcade
Risky Woods,1992-01-01,0.0,,0,"Arcade, Adventure, Action"
SpellJammer: Pirates of Realmspace,1992-01-01,0.0,,0,"Strategy, Adventure, RPG"
Ferrari - Grand Prix Challenge,1992-06-01,0.0,,0,Racing
Pinball Fantasies (1992),1992-01-01,0.0,81.0,0,"Casual, Arcade, Action, Simulation"
Mick & Mack as the Global Gladiators,1992-01-01,3.43,,0,"Platformer, Action"
Jill of the Jungle 2: Jill Goes Underground,1992-01-01,0.0,,0,Arcade
Mario Teaches Typing,1992-01-01,0.0,,0,"Educational, Arcade"
Cybernator (1992),1992-12-18,0.0,,0,"Shooter, Action"
The Young Indiana Jones Chronicles,1992-01-01,0.0,,0,"Platformer, Action"
The Humans,1992-01-01,0.0,,0,"Arcade, Puzzle"
The Battle on the Black Sea,1992-06-01,0.0,,0,
Adventures in the Magic Kingdom,1992-12-10,4.14,,0,Action
Jill of the Jungle 3: Jill Saves the Prince,1992-01-01,0.0,,0,Arcade
OutRunners,1992-05-15,0.0,,0,Racing
Summer Challenge,1992-01-01,0.0,,0,Sports
Island of Dr. Brain,1992-01-01,0.0,,0,Adventure
Genghis Khan II: Clan of the Gray Wolf (1992),1992-07-30,0.0,,0,Strategy
Nekketsu Kakutou Densetsu,1992-12-23,4.67,,0,Fighting
Road Runner's Death Valley Rally,1992-12-22,0.0,,0,
Fire 'n Ice,1992-01-24,0.0,,0,"Action, Puzzle"
Pinball Dreams (1992),1992-03-13,0.0,,0,
Police Quest I: In Pursuit of the Death Angel,1992-01-01,0.0,,0,Adventure
Wolfchild,1992-01-01,0.0,,0,"Platformer, Action"
River City Ransom 2,1992-08-07,0.0,,0,"Arcade, Action, Fighting"
The Simpsons: Bartman Meets Radioactive Man,1992-12-01,0.0,,0,Platformer
Kyouryuu Sentai Zyuranger,1992-11-06,3.43,,0,"Platformer, Action"
Congo's Caper,1992-12-18,0.0,,0,Action
King's Quest 4+5+6,1992-09-29,0.0,,0,Adventure
Lethal Weapon,1992-01-01,0.0,,0,"Arcade, Action"
Elvira II: The Jaws of Cerberus,1992-01-01,0.0,,0,"Adventure, RPG"
Space Crusade,1992-01-01,0.0,,0,Strategy
Where in the U.S.A. Is Carmen Sandiego? Deluxe Edition,1992-01-01,0.0,,0,"Educational, Adventure"
Ветка,1992-01-01,0.0,,0,Puzzle
Tiny Toon Adventures: Babs' Big Break,1992-02-01,0.0,,0,Platformer
Cobra Mission: Panic in the Cobra City,1992-01-01,0.0,,0,"Adventure, RPG"
Viewpoint,1992-11-20,0.0,,0,"Shooter, Action"
Star Control 2,1992-01-01,0.0,,0,"Adventure, Action"
Greendog: The Beached Surfer Dude!,1992-01-01,3.5,,0,Platformer
Comanche: Maximum Overkill,1992-01-01,0.0,,0,Simulation
Formula One Grand Prix,1992-01-01,0.0,,0,
Metal Storm,1992-04-24,0.0,,0,Action
Simusex,1992-01-01,0.0,,0,Arcade
The Summoning,1992-01-01,0.0,,0,"Adventure, Action, RPG, Simulation"
Battle Chess Enhanced CD-ROM,1992-01-01,0.0,,0,Strategy
SimLife,1992-01-01,0.0,,0,"Strategy, Family, Board Games, Educational"
Toe Jam & Earl,1992-03-13,0.0,,1,Platformer
Thunder Force IV,1992-07-24,0.0,80.0,0,"Shooter, Action"
The Patrician,1992-01-01,0.0,,0,Strategy
Super Aleste,1992-04-28,0.0,,0,
Kaeru no Tame ni Kane wa Naru,1992-09-04,0.0,,0,RPG
