name,release_date,rating,metacritic,playtime,genres
X-COM: UFO Defense,1993-12-30,3.65,,1,Strategy
Bio Menace,1993-08-03,2.54,,1,"Platformer, Action"
DOOM,1993-12-10,4.39,83.0,0,"Shooter, Action"
Syndicate Plus,1993-06-05,2.8,,1,Action
Litil Divil,1993-01-01,1.9,,1,"Adventure, Action, Puzzle"
Eye of the Beholder 3: Assault on Myth Drannor,1993-01-01,2.93,,1,RPG
Disney's Aladdin,1993-11-11,4.22,59.0,1,"Arcade, Platformer, Adventure, Action"
Leisure Suit Larry 6 - Shape Up Or Slip Out,1993-06-15,3.82,,1,"Adventure, Puzzle"
The 7th Guest,1993-04-01,3.43,,1,"Adventure, Puzzle"
Super Mario Kart,1993-08-27,4.05,,6,Racing
The Legend of Zelda: Link's Awakening (1993),1993-06-06,4.39,,18,"Adventure, Action"
Mortal Kombat 2,1993-06-25,4.14,,0,"Arcade, Fighting"
Myst,1993-09-24,3.88,23.0,1,"Indie, Adventure, Puzzle"
Gabriel Knight: Sins of the Fathers,1993-12-16,3.88,,1,Adventure
Sam & Max Hit the Road,1993-12-01,4.28,,1,Adventure
The Chaos Engine,1993-03-01,3.67,40.0,2,"Shooter, Action"
Battletoads & Double Dragon,1993-12-01,4.42,,0,Fighting
Blake Stone: Aliens of Gold,1993-12-05,2.85,,1,"Shooter, Action"
Master of Orion 1,1993-09-06,3.78,,1,Strategy
Rock n' Roll Racing,1993-06-04,4.38,,0,Racing
Monster Bash,1993-04-08,2.2,,1,"Platformer, Arcade, Action"
Mega Man X (1993),1993-12-17,4.31,55.0,0,"Arcade, Platformer, Adventure, Action"
SimCity 2000,1993-01-01,4.12,,3,"Strategy, Simulation"
Major Stryker,1993-01-10,1.88,,1,"Shooter, Arcade, Action"
Chip 'n Dale Rescue Rangers 2,1993-12-10,4.4,,0,Platformer
Kirby's Adventure,1993-03-23,4.13,,0,"Platformer, Arcade, Action"
Duke Nukem 2,1993-12-03,3.18,,1,Arcade
Alone in the Dark 2,1993-01-01,3.78,,6,"Adventure, Action"
