name,release_date,rating,metacritic,playtime,genres
Limbo,2010-07-21,4.15,88.0,3,"Indie, Platformer, Adventure, Puzzle"
Metro 2033,2010-03-16,3.94,79.0,2,"Shooter, Action"
BioShock 2,2010-02-09,4.07,88.0,3,"Shooter, Action"
Amnesia: The Dark Descent,2010-09-08,3.65,85.0,2,"Indie, Adventure, Action"
Alan Wake,2010-05-14,4.1,83.0,5,"Shooter, Adventure, Action"
Fallout: New Vegas,2010-10-19,4.44,84.0,12,"Shooter, Adventure, Action, RPG"
Super Meat Boy,2010-10-20,3.97,87.0,3,"Platformer, Indie"
Sid Meier's Civilization V,2010-09-21,4.3,90.0,26,Strategy
Mass Effect 2,2010-01-26,4.48,94.0,22,"Action, RPG"
Just Cause 2,2010-03-23,3.61,84.0,3,"Shooter, Action"
Mafia II,2010-08-24,4.23,77.0,13,"Shooter, Adventure, Action"
Heavy Rain,2010-02-17,4.11,80.0,4,"Adventure, Action"
SEGA Mega Drive and Genesis Classics,2010-06-01,2.99,76.0,2,"Adventure, Action, RPG, Fighting, Platformer"
Batman: Arkham Asylum Game of the Year Edition,2010-03-26,4.38,91.0,8,"Platformer, Adventure, Action"
Darksiders,2010-01-27,3.76,83.0,3,Action
Red Dead Redemption,2010-05-18,4.43,95.0,7,"Shooter, Action"
Call of Duty: Black Ops,2010-11-09,4.03,81.0,9,"Shooter, Action"
Assassin’s Creed Brotherhood,2010-11-16,4.26,88.0,15,"Adventure, Action"
Lara Croft and the Guardian of Light,2010-08-05,3.43,82.0,2,"Adventure, Action"
Medal of Honor,2010-10-12,3.26,72.0,1,"Shooter, Action"
Alien Swarm,2010-07-19,3.32,77.0,2,"Shooter, Action"
Battlefield: Bad Company 2,2010-03-02,4.13,87.0,7,"Shooter, Action"
VVVVVV,2010-01-09,3.76,81.0,1,"Adventure, Action, Puzzle, Casual, Arcade, Indie, Platformer"
Mount & Blade: Warband,2010-03-30,4.36,78.0,10,"Strategy, Action, RPG"
World of Tanks,2010-08-12,2.92,78.0,2,"Shooter, Massively Multiplayer, Action"
Dead Rising 2,2010-08-31,3.53,78.0,5,Action
Plants vs. Zombies GOTY Edition,2010-08-10,4.32,87.0,5,Strategy
Alpha Protocol,2010-04-08,3.54,72.0,2,"Shooter, Action, RPG"
Need For Speed: Hot Pursuit,2010-11-16,3.86,86.0,3,"Racing, Arcade"
Vanquish,2010-10-19,4.01,79.0,4,"Indie, Shooter, Adventure, Action"
Serious Sam HD: The Second Encounter,2010-04-28,3.9,76.0,4,"Shooter, Indie, Action"
Kane & Lynch 2: Dog Days,2010-08-17,3.25,66.0,2,"Shooter, Action"
STAR WARS: The Force Unleashed II,2010-10-25,3.65,59.0,3,"Adventure, Action"
Tom Clancy's Splinter Cell: Conviction,2010-04-13,3.83,83.0,5,"Adventure, Action"
Fable III,2010-10-25,3.73,78.0,8,"Action, RPG"
ArmA II: Operation Arrowhead,2010-06-29,3.26,73.0,3,"Strategy, Action, Simulation"
Dungeon Defenders,2010-12-16,3.32,81.0,8,"Strategy, Indie, Action, RPG"
Assassin's Creed 2 Deluxe Edition,2010-03-04,4.33,86.0,13,"Adventure, Action"
