name,release_date,rating,rating_top,metacritic,playtime,genres
Breach,1986-12-31,1.93,1,59.0,1,"Shooter, Indie, Action, RPG"
Metroid,1986-08-06,3.64,4,58.0,9,"Platformer, Action"
World Games,1986-04-25,3.5,4,,0,Sports
Deactivators,1986-10-06,0.0,0,,0,"Arcade, Puzzle"
Moero TwinBee: Cinnamon-hakase o Sukue!,1986-11-21,0.0,0,,0,
Flash Gordon,1986-01-01,0.0,0,,0,Action
Solaris,1986-01-01,0.0,0,,0,
Leader Board,1986-01-01,0.0,0,,0,Sports
Big Trouble in Little China,1986-01-01,0.0,0,,0,
Split Personalities,1986-01-01,0.0,0,,0,Puzzle
W.A.R.,1986-01-01,0.0,0,,0,
Realms of Darkness,1986-01-01,0.0,0,,0,RPG
Yie Ar Kung-Fu II,1986-01-01,0.0,0,,0,
The Colour of Magic,1986-01-01,0.0,0,,0,Adventure
Thanatos,1986-01-01,0.0,0,,3,Action
Robot Rascals,1986-01-01,0.0,0,,0,
The Karuizawa Kidnapping Guide,1986-01-01,0.0,0,,0,Adventure
Falcon Collection,1986-12-31,0.0,0,,0,Simulation
King's Quest 1+2+3,1986-09-30,0.0,0,,0,Adventure
Empire!,1986-01-01,0.0,0,,0,"Strategy, Action"
Kicks (1986),1986-01-01,0.0,0,,0,Arcade
Trantor: The Last Stormtrooper,1986-12-31,0.0,0,,0,
Destroyer (1986),1986-01-01,0.0,0,,0,Simulation
Black Belt,1986-11-14,0.0,0,,0,"Action, Fighting"
Starglider,1986-01-01,0.0,0,,0,
Into the Eagle's Nest (1986),1986-01-01,0.0,0,,0,
S.D.I.,1986-01-01,0.0,0,,0,
Psycho Soldier (1986),1986-01-01,0.0,0,,0,Action
Jewels of Darkness,1986-01-01,0.0,0,,0,
Silicon Dreams,1986-01-01,0.0,0,,0,Adventure
Amnesia,1986-01-01,0.0,0,,0,
177,1986-01-01,0.0,0,,0,Simulation
JaJaMaru no Daibouken,1986-08-20,0.0,0,,0,Action
Gumshoe,1986-06-06,0.0,0,,0,"Shooter, Platformer"
500cc Grand Prix,1986-01-01,0.0,0,,0,Racing
Agent X,1986-01-01,0.0,0,,0,
Kidou Senshi Z-Gundam: Hot Scramble,1986-08-27,0.0,0,,0,"Shooter, Action"
Stadium Events,1986-12-23,0.0,0,,0,Sports
Super Sprint,1986-01-01,0.0,0,,0,Racing
Ninja,1986-01-01,0.0,0,,0,"Arcade, Strategy, Adventure, Fighting"
Conflict in Vietnam,1986-01-01,0.0,0,,0,Strategy
Dragon Ball: Shenron no Nazo,1986-11-27,0.0,0,,0,Action
Arkanoid (1986),1986-01-01,3.89,4,,0,
Mighty Bomb Jack (1986),1986-04-24,0.0,3,,0,
The Legend of Kage (1986),1986-04-18,3.83,4,,0,Action
B-Wings,1986-06-03,0.0,0,,0,Shooter
Dragon Quest (1986),1986-05-27,3.9,4,,0,RPG
Renegade (1986),1986-01-01,3.71,5,,0,"Action, Fighting"
Bubble Bobble (1986),1986-01-01,4.22,4,,0,
Kid Icarus (1986),1986-12-19,3.47,4,,0,Action
Alpha Mission (1986),1986-09-03,0.0,0,,0,"Shooter, Action"
Super Star Force: Jikuureki no Himitsu,1986-11-10,0.0,0,,0,"Shooter, Action"
Star Soldier (NES),1986-06-13,0.0,0,,0,Shooter
Falcon,1986-12-31,0.0,0,,1,Simulation
Defender of the Crown,1986-01-01,3.55,4,,1,Strategy
Lords of Conquest,1986-01-01,0.0,0,,0,Strategy
Mean 18,1986-01-01,0.0,0,,0,Sports
Sky Runner,1986-01-01,0.0,0,,0,Shooter
Emmanuelle,1986-01-01,0.0,0,,0,Adventure
Sorcerer Lord,1986-12-31,0.0,0,,0,Strategy
Starflight 1+2,1986-01-01,0.0,0,,0,"Adventure, RPG"
Star Trek: The Promethean Prophecy,1986-01-01,0.0,0,,0,
The Chessmaster 2000,1986-01-01,0.0,0,,0,Strategy
Hypaball,1986-01-01,0.0,0,,0,Sports
Trailblazer (1986),1986-10-02,0.0,0,,0,"Racing, Puzzle"
Jack the Nipper,1986-01-01,0.0,0,,0,Puzzle
Wizardry 3: The Legacy of Llylgamyn,1986-01-01,0.0,0,,0,RPG
Midnight Magic,1986-01-01,0.0,0,,0,
Miami Vice,1986-01-01,0.0,0,,0,Action
Arcticfox,1986-01-01,0.0,0,,0,
Roadwar 2000,1986-01-01,0.0,0,,0,Strategy
Hollywood Hijinx,1986-12-15,0.0,0,,0,
The Great Escape (1986),1986-01-01,0.0,0,,0,
Druid (1986),1986-01-01,0.0,0,,0,Puzzle
Ninja Kid,1986-04-17,0.0,0,,0,Action
Volleyball (1986),1986-07-21,0.0,0,,0,Sports
Aighina no Yogen: From the Legend of Balubalouk,1986-11-21,0.0,0,,0,Platformer
