name,release_date,rating,metacritic,playtime,genres
Sengoku Dynasty,2023-08-10,0.0,,2,"Adventure, RPG, Simulation"
Horizon Forbidden West Complete Edition,2023-10-06,0.0,,0,"Adventure, Action"
A Tiny Sticker Tale,2023-10-04,0.0,,15,"Indie, Adventure"
Six Days in Fallujah,2023-06-22,0.0,,2,"Shooter, Action"
Showgunners,2023-05-02,0.0,,14,Strategy
Breakout 13,2023-01-08,0.0,,3,"Indie, Adventure, RPG"
Gunsmith Simulator: Prologue,2023-05-10,0.0,,3,Simulation
Last Train Home,2023-11-27,0.0,,0,Strategy
In Sink: A Co-Op Escape Prologue,2023-02-25,0.0,,2,"Casual, Strategy"
United Penguin Kingdom: Huddle up,2023-12-19,0.0,,1,Strategy
Above Snakes,2023-05-24,3.1,,1,"Adventure, RPG, Simulation"
Lords and Tactics,2023-05-03,0.0,,0,"Strategy, Massively Multiplayer"
Project Sphinx,2023-07-27,0.0,,0,"Casual, Indie, Adventure, Action"
Gravity Circuit,2023-07-13,0.0,89.0,5,"Indie, Action"
CorpoNation: The Prologue,2023-06-06,0.0,,1,"Adventure, Simulation"
My Summer Adventure: Memories of Another Life — Day 1,2023-05-04,0.0,,0,"Casual, Indie, Adventure, Simulation"
The Tales of Bayun,2023-02-16,0.0,,5,"Indie, RPG"
PROTOTYPE原型,2023-02-04,0.0,,0,Indie
One-armed robber,2023-12-15,0.0,,1,"Strategy, Indie, Action, Simulation"
LEGO Fortnite,2023-12-07,3.73,,0,Adventure
Striker Zone: Gun Games Online,2023-06-04,0.0,,0,"Casual, Massively Multiplayer, Action, Simulation"
星际战线,2023-05-25,0.0,,0,"Adventure, RPG, Casual, Strategy, Simulation, Massively Multiplayer"
The Many Pieces of Mr. Coo,2023-09-07,4.38,,2,"Indie, Adventure"
Superfuse,2023-01-31,0.0,,4,Action
King Of The Castle,2023-03-02,0.0,,1,"Casual, Strategy, Indie"
Railroads & Catacombs: Prologue,2023-07-21,0.0,,0,"Indie, Strategy, Adventure, RPG"
Moonstone Island,2023-09-19,0.0,,2,"Indie, Adventure, Action, RPG"
PERISH,2023-02-02,0.0,,3,"Indie, Action"
Teravit,2023-04-19,0.0,,1,"Indie, Adventure, Action"
Don Duality: Initiation,2023-04-20,0.0,,1,"Casual, Strategy, Indie"
Infection Free Zone – Prologue,2023-10-19,0.0,,0,"Strategy, Indie, Action, Simulation"
DON'T SCREAM,2023-10-27,2.67,,1,Indie
GRUNND,2023-01-25,0.0,,0,"Indie, Adventure"
Death in the Water 2,2023-01-26,0.0,,4,"Indie, Shooter, Adventure, Action"
Vacuum Warrior - Idle Game,2023-06-29,0.0,,5,"Casual, Indie"
Story Of Seasons: A Wonderful Life,2023-06-27,0.0,,2,"Casual, Adventure, RPG, Simulation"
Mail Time,2023-04-26,0.0,,6,"Indie, Adventure, Action"
Sunkenland,2023-08-25,2.33,,8,"Indie, Action"
The Dark Pictures Anthology: The Devil In Me - Friend's Pass,2023-02-15,0.0,,7,Adventure
The Tartarus Key,2023-05-31,0.0,,0,Adventure
Firmament,2023-05-17,0.0,,10,"Indie, Adventure, Puzzle"
Snakebird Complete,2023-12-29,0.0,,0,"Adventure, Puzzle"
BUCKSHOT ROULETTE,2023-12-28,4.0,,0,Strategy
SOH One Shot Challenge,2023-10-23,0.0,,0,"Adventure, Action"
少女战场,2023-06-14,0.0,,1,"Adventure, Action, RPG, Casual, Strategy, Massively Multiplayer"
A Date with Death,2023-12-07,0.0,,0,"Indie, Simulation"
Tatari: The Arrival,2023-10-03,0.0,,1,"Indie, Adventure"
Park Beyond,2023-06-15,0.0,,1,"Casual, Strategy, Simulation"
Goblins of Elderstone,2023-03-07,0.0,,1,"Strategy, Indie, Simulation"
Unnamed Space Idle,2023-07-27,0.0,,1,"Casual, Simulation"
Pineapple on pizza,2023-03-28,3.92,,0,"Casual, Indie"
Daydream: Forgotten Sorrow,2023-06-14,0.0,,0,"Indie, Adventure"
黎明大陆,2023-04-27,0.0,,0,"Adventure, Action, RPG, Strategy, Massively Multiplayer"
Pan'orama,2023-05-09,0.0,,3,"Casual, Strategy, Indie, Simulation"
Underlevel,2023-09-18,0.0,,1,Action
Super Adventure Hand,2023-09-21,0.0,,0,"Indie, Adventure, Action"
Plan B: Terraform,2023-02-15,0.0,,5,"Strategy, Indie, Simulation"
WW2 Rebuilder,2023-01-16,0.0,,9,"Adventure, Action, RPG, Casual, Strategy, Simulation, Indie"
Car For Sale Simulator 2023,2023-05-18,3.5,,4,"Indie, Simulation"
Military Tanks,2023-04-11,0.0,,0,"Massively Multiplayer, Adventure, Action, Simulation"
Deadlink: Prologue,2023-07-19,0.0,,1,"Indie, Action"
Let's School,2023-07-26,4.17,,7,"Casual, Indie, Simulation"
Scarlet Maiden,2023-01-27,0.0,,3,"Adventure, Action"
Stray Souls,2023-10-25,0.0,,0,"Indie, Adventure, Action"
Snowbreak: Containment Zone,2023-12-24,0.0,,1,"Adventure, Action, RPG"
BETON BRUTAL,2023-03-31,0.0,,4,"Casual, Indie"
Vernal Edge,2023-03-14,0.0,,3,"Platformer, Adventure, Action, RPG"
Double Dragon Gaiden: Rise Of The Dragons,2023-07-27,0.0,,0,"Adventure, Action, Fighting, Casual, Family"
Rain World: Downpour,2023-01-19,0.0,,0,"Platformer, Adventure, Action"
二次元老婆生成器,2023-01-08,0.0,,1,"Casual, Simulation"
Moving Out 2,2023-08-15,0.0,,0,"Casual, Indie, Action, Simulation"
Ash of Gods: The Way,2023-01-11,0.0,,7,"Adventure, RPG, Puzzle, Strategy, Indie"
Passpartout 2: The Lost Artist,2023-04-04,0.0,,1,"Casual, Indie, Simulation"
Afterimage (16BitGenocide),2023-04-24,0.0,,5,"Indie, Adventure, Action"
Invincible Presents: Atom Eve,2023-11-14,0.0,,7,Adventure
Time Wasters,2023-02-03,3.0,,7,"Shooter, Action, RPG, Casual, Indie"
Continent of the Ninth Golden,2023-07-11,0.0,,0,"Massively Multiplayer, Adventure, Action, RPG"
FatalZone: Outbreak,2023-09-25,0.0,,1,"Casual, Indie, Action, RPG"
Tape to Tape,2023-05-03,0.0,,4,"Action, Sports"
Theathrhythm Final Bar,2023-02-16,0.0,,0,Arcade
Age,2023-10-13,0.0,,0,"Casual, Strategy"
Against All Odds (2023),2023-05-04,0.0,,0,"Indie, Action, Sports"
Hotel Renovator,2023-03-07,0.0,,5,"Casual, Indie, Adventure, Simulation"
Homebody,2023-06-01,0.0,,8,"Indie, Adventure, Action"
Naruto x Boruto: Ultimate Ninja Storm Connections,2023-11-17,0.0,,0,"Adventure, Action, Fighting"
Ravenbound,2023-03-30,0.0,,21,"Adventure, Action, RPG"
One Lonely Outpost,2023-06-26,0.0,,2,"Indie, RPG, Simulation"
Kingpin: Reloaded,2023-12-04,0.0,,3,"Action, RPG"
Akka Arrh,2023-02-21,0.0,,0,Action
Fabledom,2023-04-13,0.0,,4,"Casual, Strategy, Simulation"
Raincode,2023-06-30,0.0,,0,Adventure
