name,release_date,rating,rating_top,metacritic,playtime,genres
Pac-Man,1980-05-22,4.05,4,62.0,4,"Casual, Family, Arcade"
Dodge 'Em,1980-01-01,0.0,0,,0,"Racing, Action"
Arcade Pinball,1980-01-01,0.0,3,,0,
B-1 Nuclear Bomber,1980-01-01,0.0,0,,0,
Rogue,1980-01-01,3.94,4,,0,
Alien Invaders - Plus!,1980-01-01,2.5,3,,0,Arcade
Fishing Derby,1980-01-01,3.0,3,,0,Sports
Warlords (1980),1980-01-01,3.44,4,,0,"Arcade, Action"
Golf (1980),1980-12-31,3.05,3,,0,Sports
Wizard and the Princess,1980-01-01,0.0,3,,0,Adventure
Dragster,1980-01-01,0.0,0,,0,Racing
Zork: The Great Underground Empire,1980-11-04,0.0,4,,0,Adventure
Berzerk,1980-11-12,3.75,4,,0,"Shooter, Arcade, Action"
Pelé's Soccer,1980-01-01,0.0,0,,0,Sports
Eamon,1980-12-30,0.0,0,,0,"Adventure, RPG"
Polaris (1980),1980-01-01,0.0,0,,0,
Mystery House (1980),1980-05-05,0.0,0,,0,Adventure
Phoenix (1980),1980-01-01,0.0,4,,0,
Moon Cresta,1980-05-01,0.0,0,,0,
Carnival,1980-01-01,0.0,0,,0,
Zork I,1980-12-01,3.56,4,,0,
Skiing,1980-01-01,3.0,3,,0,Sports
Missile Command (1980),1980-01-01,4.11,4,,0,"Shooter, Arcade, Action"
Sea Battle (1980),1980-01-01,3.0,3,,0,Strategy
Boxing (1980),1980-07-01,3.33,3,,0,"Fighting, Sports"
Space Zap,1980-01-01,0.0,0,,0,
Zork (1980),1980-12-01,0.0,0,,0,Adventure
Crazy Balloon,1980-01-01,0.0,0,,0,
Rescue at Rigel,1980-01-01,0.0,0,,0,RPG
Galactic Empire,1980-01-01,0.0,0,,0,Strategy
Battlezone (1980),1980-01-01,3.17,4,,0,
Mission Asteroid,1980-01-01,0.0,0,,0,Adventure
Space Panic,1980-01-01,0.0,0,,0,Platformer
Voodoo Castle,1980-01-01,0.0,0,,0,Adventure
Lords of Karma,1980-01-01,0.0,0,,0,Adventure
