name,release_date,rating,metacritic,playtime,genres
I Expect You To Die,2016-12-13,4.19,76.0,2,"Indie, Puzzle"
Plantera,2016-01-28,2.58,,5,"Casual, Indie, Family, Simulation"
One Troll Army,2016-05-19,2.88,,1,"Casual, Strategy, Indie"
CRACKHEAD,2016-11-10,1.85,,3,"Casual, Indie"
Yesterday Origins,2016-10-13,3.65,74.0,5,"Adventure, RPG"
Waltz of the Wizard,2016-05-31,2.86,,1,"Indie, Adventure, Simulation"
The Last Hope,2016-08-29,1.67,,3,"Indie, Adventure, Simulation"
Insincere,2016-05-12,1.8,,4,"Indie, Action"
Zup!,2016-10-04,2.3,,3,"Casual, Indie, Puzzle"
Montaro,2016-07-25,3.11,,3,"Casual, Indie"
PulseCharge,2016-01-27,1.71,,4,"Indie, Adventure, Action"
Rabiez: Epidemic,2016-03-04,1.7,,4,"Strategy, Indie"
Storm Of Spears RPG,2016-06-17,2.43,,4,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie"
Mind Spheres,2016-07-08,1.8,,3,"Casual, Indie, Sports"
KARAKARA,2016-06-27,3.0,,5,"Casual, Indie"
Bell Ringer,2016-03-18,1.62,,5,"Indie, Action"
BlazBlue: Central Fiction,2016-11-01,3.96,85.0,4,"Action, Fighting"
Replica,2016-07-11,3.52,,3,"Indie, Adventure"
Project CARS - Pagani Edition,2016-10-28,3.48,,1,"Racing, Simulation, Sports"
Eon Altar,2016-06-22,2.94,,4,"Indie, Adventure, Action, RPG"
Mad Games Tycoon,2016-09-12,3.78,,5,"Casual, Strategy, Indie, Simulation"
METAL GEAR SOLID V: THE DEFINITIVE EXPERIENCE,2016-10-11,4.43,,0,Action
Farming Simulator 17,2016-10-24,3.72,69.0,10,Simulation
Livelock,2016-08-30,2.79,73.0,3,"Indie, Adventure, Action"
Slingshot people,2016-10-21,1.53,,3,"Casual, Indie, Action, Simulation"
Allods Online RU,2016-01-26,2.62,,2,"Massively Multiplayer, RPG"
Pokémon GO,2016-07-07,3.68,,367,"Strategy, Adventure, RPG"
Grow Up,2016-08-16,3.85,71.0,4,"Casual, Indie, Adventure, Action"
Forbidden planet,2016-01-11,1.62,,4,"Strategy, Indie"
BrainBread 2,2016-07-20,1.97,,1,"Indie, Adventure, Action"
Stikbold! A Dodgeball Adventure,2016-04-01,2.76,,3,"Indie, Adventure, Action, Sports"
Neon Space,2016-05-12,1.86,,4,"Adventure, Action, Casual, Strategy, Indie"
Art of War: Red Tides,2016-12-22,2.38,,1,"Strategy, Indie"
Metrico+,2016-08-23,2.28,66.0,1,"Indie, Adventure, Action, Puzzle"
Neon Space 2,2016-07-26,1.83,,4,"Adventure, Action, Casual, Strategy, Indie"
Dungeon Punks,2016-07-26,2.01,71.0,9,"Indie, Adventure, Action, RPG"
Trials of the Blood Dragon,2016-06-13,3.37,54.0,4,Racing
Master of Orion,2016-02-26,3.36,74.0,7,Strategy
Hunger Dungeon,2016-12-06,2.53,,1,"Indie, Action"
Chronicle: RuneScape Legends,2016-05-26,2.53,76.0,1,"Strategy, Adventure"
ARCADE GAME SERIES: GALAGA,2016-04-19,3.81,,1,Action
Razortron 2000,2016-10-12,1.64,,4,"Casual, Racing, Indie"
Sleeping Valley,2016-10-08,1.79,,3,"Casual, Indie, Adventure, Action"
Spin Rush,2016-09-16,1.95,,4,"Casual, Indie, Action"
Batman - The Telltale Series - Episode 1: Realm of Shadows,2016-08-02,3.52,,0,Adventure
Here They Lie,2016-10-13,2.72,62.0,0,Adventure
Lobotomy Corporation | Monster Management Simulation,2016-12-16,3.8,,2,"Indie, Simulation"
RPG Maker VX,2016-10-20,3.56,,1,
LEGO Harry Potter Collection,2016-10-18,3.77,73.0,0,Action
NVIDIA VR Funhouse,2016-07-14,2.83,,1,Casual
ARCADE GAME SERIES: DIG DUG,2016-04-19,3.52,,1,"Arcade, Action"
3on3 FreeStyle,2016-12-06,2.46,,1,"Casual, Massively Multiplayer, Action, Sports"
Just Dance 2017,2016-10-25,3.75,,8,"Casual, Family"
Frosty Kiss,2016-01-08,3.57,,1,"Casual, Indie, Adventure"
Ninja Senki DX,2016-02-23,2.48,72.0,2,"Indie, Action"
Pixel Puzzles 2: Space,2016-02-19,2.09,,4,"Casual, Strategy, Indie, Simulation"
Corridor Z,2016-05-03,2.44,,2,"Indie, Adventure, Action"
Insanity Clicker,2016-06-07,2.62,,2,"Adventure, RPG, Casual, Strategy, Simulation, Indie"
Godus Wars,2016-02-03,2.57,,1,"Casual, Strategy, Indie, Simulation"
Digimon Masters Online,2016-11-03,2.13,,1,"Adventure, Action, RPG, Casual, Massively Multiplayer"
Necropolis,2016-07-12,3.17,,4,"Indie, Adventure, Action, RPG"
Candle: The Power of the Flame,2016-11-10,3.43,80.0,4,"Indie, Adventure, Action, Puzzle"
Neon Prism,2016-11-18,2.0,,4,"Casual, Indie, Action"
Save Jesus,2016-08-04,2.08,,4,"Casual, Indie"
Half-Life: A Place in the West,2016-09-29,3.33,,1,Indie
Accounting,2016-10-18,3.74,,1,"Indie, Adventure"
"Planes, Bullets and Vodka",2016-12-13,1.75,,5,"Casual, Indie, Action"
Surfingers,2016-01-06,1.78,,4,"Action, Casual, Arcade, Sports, Indie"
Escape This,2016-05-04,1.48,,4,"Casual, Strategy, Indie"
Sorcery! Parts 1 and 2,2016-02-02,3.3,69.0,2,"Indie, Adventure, RPG"
Tilt Brush,2016-04-05,3.9,,1,
Through the Woods,2016-10-26,3.39,63.0,3,"Indie, Adventure"
Cossacks 3,2016-09-19,3.51,63.0,4,Strategy
The Pirate: Caribbean Hunt,2016-06-04,2.28,,1,"Adventure, Action, Strategy, Simulation, Indie"
The Deed: Dynasty,2016-05-10,1.77,,4,"Indie, Adventure, RPG"
