name,release_date,rating,rating_top,metacritic,playtime,genres
Metal Gear Solid 2: Sons of Liberty,2001-11-12,4.36,5,96.0,12,"Shooter, Action"
Tony Hawk's Pro Skater 3,2001-10-28,4.3,4,94.0,5,"Arcade, Sports"
Mario Kart: Super Circuit (2001),2001-07-21,3.73,4,93.0,1,Racing
Grand Theft Auto III,2001-10-22,4.15,4,93.0,1,"Shooter, Action"
Super Smash Bros. Melee,2001-11-21,4.35,5,92.0,0,"Action, Fighting"
Final Fantasy X,2001-07-19,4.38,5,92.0,0,RPG
SSX Tricky,2001-11-05,4.39,5,92.0,0,"Racing, Sports"
Conker's Bad Fur Day,2001-03-04,4.2,4,92.0,0,"Platformer, Action"
Super Mario World: Super Mario Advance 2,2001-12-14,4.14,5,92.0,0,"Platformer, Action"
Klonoa 2: Lunatea's Veil,2001-07-24,4.44,5,91.0,0,"Platformer, Adventure, Action"
Castlevania: Circle of the Moon,2001-06-10,3.77,4,91.0,0,Action
Golden Sun,2001-11-11,4.38,5,91.0,90,RPG
Twisted Metal: Black,2001-06-18,3.79,4,91.0,0,Racing
ICO,2001-09-24,4.35,5,90.0,0,"Platformer, Action"
Halo: Combat Evolved,2001-11-15,4.32,5,90.0,1,"Shooter, Action"
Black & White,2001-03-24,4.13,4,90.0,15,"Indie, Strategy, Adventure, RPG"
Jak and Daxter: The Precursor Legacy,2001-12-04,4.01,4,90.0,1,"Platformer, Action"
Sid Meier's Civilization III Complete,2001-10-29,3.68,4,90.0,1,"Strategy, Simulation"
Pikmin,2001-10-26,4.26,4,89.0,3,Strategy
Sonic Adventure 2,2001-06-18,3.97,4,89.0,2,"Platformer, Adventure, Action"
Max Payne,2001-07-25,4.46,5,89.0,2,"Shooter, Action"
Silent Hill 2,2001-09-24,4.42,5,89.0,0,"Adventure, Action"
Phantasy Star Online,2001-01-29,4.05,5,89.0,0,"Shooter, Adventure, Action, RPG, Strategy, Massively Multiplayer"
Tactics Ogre: The Knight of Lodis,2001-06-21,4.0,4,88.0,0,Strategy
Shenmue II,2001-09-06,4.32,5,88.0,0,"Adventure, Action, RPG"
Wario Land 4,2001-08-21,4.22,4,88.0,3,"Platformer, Action"
Return to Castle Wolfenstein,2001-06-11,4.21,4,88.0,1,Shooter
Animal Crossing,2001-04-14,4.2,4,87.0,0,"RPG, Simulation"
Kohan: Immortal Sovereigns,2001-03-14,0.0,0,87.0,1,Strategy
Serious Sam: The First Encounter,2001-03-21,4.04,4,87.0,1,"Shooter, Indie, Action"
Commandos 2: Men of Courage,2001-09-20,4.22,5,87.0,1,Action
F-Zero: Maximum Velocity,2001-03-21,3.14,3,86.0,0,"Racing, Arcade"
Onimusha: Warlords,2001-01-25,4.14,4,86.0,3,Action
Command & Conquer: Red Alert 2 - Yuri's Revenge,2001-09-28,4.34,5,86.0,0,Strategy
Clive Barker's Undying,2001-02-18,4.27,5,85.0,1,"Shooter, Action"
Wizardry 8,2001-11-14,3.95,5,85.0,1,"Adventure, RPG"
Aliens Versus Predator 2,2001-01-01,4.29,4,85.0,7,"Shooter, Action"
Sonic Advance,2001-12-20,4.02,4,85.0,0,"Platformer, Action"
Super Mario Advance,2001-06-11,3.8,4,84.0,2,Platformer
Rez,2001-11-22,4.5,5,84.0,0,"Shooter, Action"
Sub Command,2001-10-01,0.0,0,84.0,1,"Casual, Strategy, Action"
Splashdown,2001-11-05,0.0,0,84.0,0,Racing
Fear Effect 2: Retro Helix,2001-02-21,4.55,5,84.0,0,"Adventure, Action, Puzzle"
Rayman Advance,2001-06-11,0.0,4,84.0,0,Platformer
Ikaruga,2001-12-20,4.02,4,84.0,1,"Shooter, Indie, Action"
Devil May Cry,2001-08-23,4.07,4,84.0,0,Action
Independence War 2: Edge of Chaos,2001-06-28,0.0,4,83.0,1,"Shooter, Action, Simulation"
Crazy Taxi 2,2001-05-28,3.96,4,82.0,0,"Racing, Action"
Battle Realms,2001-01-01,4.11,4,82.0,15,Strategy
Fallout Tactics: Brotherhood of Steel,2001-03-01,3.37,4,82.0,1,"Strategy, RPG"
Time Crisis II,2001-10-01,4.29,4,81.0,0,
Arcanum: Of Steamworks and Magick Obscura,2001-08-21,4.36,5,81.0,1,RPG
Mega Man Battle Network 2,2001-12-14,4.25,5,81.0,0,"Action, RPG"
Stronghold,2001-10-01,4.34,4,81.0,0,Strategy
Gothic,2001-03-15,4.37,5,81.0,1,"Action, RPG"
Hostile Waters: Antaeus Rising,2001-06-13,2.09,1,80.0,4,Strategy
Wave Race: Blue Storm,2001-09-14,0.0,0,80.0,0,Racing
Tom Clancy's Ghost Recon,2001-01-01,3.67,4,80.0,1,"Shooter, Action"
Conquest: Frontier Wars,2001-08-17,0.0,4,80.0,1,Strategy
Phoenix Wright: Ace Attorney,2001-10-12,4.39,5,80.0,13,Adventure
Tekken 4,2001-09-23,3.9,4,79.0,0,Fighting
Breath of Fire (1993),2001-12-31,3.93,4,79.0,0,RPG
Super Dodge Ball Advance,2001-03-21,0.0,0,79.0,0,Sports
Mega Man Battle Network,2001-03-21,3.91,4,79.0,0,"Action, RPG"
Burnout,2001-11-01,3.75,4,79.0,27,"Racing, Arcade"
Ragnarok Online,2001-10-31,4.18,5,79.0,1,"Massively Multiplayer, RPG"
Kohan: Ahriman's Gift,2001-11-05,0.0,0,79.0,1,Strategy
Pac-Man Collection (2001),2001-07-12,0.0,4,79.0,0,"Arcade, Puzzle"
Zone of the Enders,2001-03-01,3.9,4,78.0,0,Action
Konami Krazy Racers,2001-03-21,0.0,0,78.0,0,"Racing, Arcade"
Luigi's Mansion,2001-09-14,4.26,4,78.0,2,"Adventure, Action"
Red Faction,2001-05-01,3.89,4,78.0,1,"Shooter, Action"
Desperados: Wanted Dead or Alive,2001-07-22,4.23,5,78.0,1,"Strategy, Action"
Fatal Frame,2001-12-13,4.13,4,77.0,0,"Adventure, Action"
Etherlords,2001-07-01,3.77,4,77.0,1,Strategy
Anachronox,2001-06-26,3.34,4,77.0,1,"Action, RPG"
Legacy of Kain: Soul Reaver 2,2001-10-29,3.91,4,77.0,1,"Platformer, Adventure, Action"
Smuggler's Run 2,2001-10-30,0.0,0,77.0,0,Racing
Disney•Pixar Toy Story Racer,2001-02-28,0.0,0,76.0,0,"Racing, Action"
WWF SmackDown! Just Bring It,2001-11-19,3.67,3,76.0,0,"Action, Fighting"
Jade Cocoon 2,2001-08-30,0.0,5,76.0,0,RPG
Uplink,2001-09-30,3.32,4,75.0,1,"Strategy, Indie, Simulation"
SimCoaster,2001-01-30,0.0,0,75.0,0,"Strategy, Simulation"
Skygunner,2001-09-27,0.0,0,75.0,0,
Armored Core 2: Another Age,2001-08-22,0.0,0,75.0,0,"Shooter, Action, Simulation"
Worms World Party,2001-04-06,4.26,4,75.0,0,Strategy
Comanche 4,2001-11-15,3.56,4,74.0,1,"Action, Simulation"
Spider-Man 2: Enter Electro,2001-10-19,4.07,4,74.0,12,Platformer
Cossacks: Art of War,2001-11-20,4.15,4,74.0,1,Strategy
"Runaway, A Road Adventure",2001-03-14,4.12,4,74.0,2,"Adventure, Action, RPG"
Oni,2001-01-29,4.05,4,73.0,1,"Shooter, Arcade, Action, Fighting"
Syphon Filter 3,2001-11-05,4.14,4,73.0,20,"Shooter, Action"
SAIYUKI: Journey West,2001-08-13,3.71,5,73.0,0,"Strategy, RPG"
Sonic Adventure 2 Battle,2001-12-20,4.15,4,73.0,0,"Platformer, Action"
Shadow Hearts,2001-12-12,4.62,5,73.0,0,"Adventure, RPG"
Looney Tunes: Sheep Raider,2001-01-01,4.31,5,72.0,0,"Platformer, Arcade, Puzzle"
Hyperspace Delivery Boy,2001-12-23,0.0,0,72.0,0,"Arcade, Puzzle"
Microsoft Golf 2001 Edition,2001-08-24,0.0,0,72.0,0,Sports
Resident Evil - Code: Veronica X,2001-03-22,4.02,4,72.0,0,"Shooter, Action, Puzzle"
Baldur's Gate: Dark Alliance,2001-12-02,3.92,4,72.0,1,"Action, RPG"
Ballistics,2001-10-01,0.0,0,71.0,0,"Racing, Arcade"
Half-Life: Blue Shift,2001-06-01,3.72,4,71.0,2,Action
Kessen 2,2001-03-29,0.0,0,71.0,0,Strategy
STAR WARS Starfighter,2001-02-18,2.93,3,71.0,1,"Shooter, Action, Simulation"
CT Special Forces,2001-01-02,0.0,4,71.0,0,"Platformer, Action"
AirForce Delta II: Storm,2001-11-15,0.0,0,71.0,0,"Action, Simulation"
Silent Hunter II,2001-11-05,3.57,4,71.0,0,"Strategy, Simulation"
Blood Wake,2001-12-28,0.0,0,71.0,0,Action
Confidential Mission,2001-05-14,3.83,4,70.0,0,"Shooter, Action"
Fuzion Frenzy,2001-09-23,4.38,5,70.0,0,"Family, Sports"
Echelon,2001-03-21,3.53,5,70.0,4,"Action, Simulation"
Hunter: The Reckoning,2001-05-21,0.0,0,70.0,0,Action
Zax: The Alien Hunter,2001-01-01,0.0,4,70.0,0,Arcade
Zoo Tycoon,2001-10-17,3.75,4,68.0,12,"Strategy, Simulation"
F-14 Tomcat,2001-09-02,0.0,0,67.0,0,Action
AquaNox,2001-10-11,3.21,4,67.0,1,"Shooter, Action"
Alone in the Dark: The New Nightmare,2001-05-18,3.57,4,66.0,1,"Adventure, Action"
Stupid Invaders,2001-02-21,3.78,4,65.0,3,Adventure
