name,release_date,rating,metacritic,playtime,genres
Tangle Tower,2019-10-21,4.19,,6,"Indie, Adventure, Puzzle"
Steel Circus,2019-08-08,2.19,,1,"Massively Multiplayer, Action, Sports"
Bad North: Jotunn Edition,2019-10-15,3.5,,3,"Strategy, Action"
Sparklite,2019-11-13,3.44,,3,"Indie, Adventure, Action, RPG"
Die Young,2019-09-12,3.53,,2,"Indie, Adventure, Action, Simulation"
Auto Chess,2019-06-06,2.75,,16,Strategy
7th Sector,2019-03-05,3.86,74.0,2,"Indie, Adventure"
Hentai Girl Fantasy,2019-10-28,2.7,,1,"Casual, Indie, RPG, Simulation"
macdows 95,2019-09-05,3.93,,2,Indie
Jenny LeClue - Detectivu,2019-09-19,3.91,,3,"Casual, Indie, Adventure, Action"
The Eternal Castle [REMASTERED],2019-01-05,3.67,,1,"Indie, Platformer, Adventure, Action"
Necesse,2019-12-12,3.5,,2,"Indie, Adventure, Action"
Last Year,2019-12-09,2.45,,3,Action
AI Dungeon,2019-12-17,4.32,,1,"Adventure, Action, RPG, Casual, Simulation"
NASCAR Heat 4,2019-09-13,2.76,72.0,2,Racing
Fade to Silence,2019-04-30,2.89,56.0,2,RPG
Eagle Island,2019-07-10,3.46,,1,"Indie, Adventure, Action"
Sex with Stalin,2019-10-10,2.15,,3,"Indie, Simulation"
Enderal: Forgotten Stories,2019-02-13,4.31,,0,"Adventure, Action, RPG"
SpaceEngine,2019-06-10,4.41,,1,"Casual, Indie, Simulation"
Disney Classic Games: Aladdin and the Lion King,2019-10-29,3.64,,1,"Platformer, Action"
Phoenix Point,2019-12-03,3.21,74.0,0,Strategy
FALLBACK,2019-10-19,0.0,,1,"Indie, Adventure, Action"
Wattam,2019-12-17,3.59,,2,"Casual, Indie, Adventure, Action"
My Big Sister,2019-05-07,3.42,,2,"Indie, Adventure, RPG"
Snakeybus,2019-05-10,3.74,,1,"Casual, Indie, Action"
FINAL FANTASY XIV: Shadowbringers,2019-07-02,4.47,,0,"Massively Multiplayer, RPG"
Devotion,2019-02-18,4.08,86.0,4,"Indie, Adventure"
Vacation Simulator,2019-04-09,3.81,,3,"Adventure, Action, RPG, Simulation"
Shakedown: Hawaii,2019-05-07,3.67,,1,"Arcade, Indie, Adventure, Action"
Later Alligator,2019-09-18,4.37,,2,"Indie, Adventure"
Streets of Red: Devil's Dare Deluxe,2019-02-21,0.0,,1,"Indie, Action"
Marvel Ultimate Alliance 3: The Black Order,2019-07-19,3.7,73.0,0,"Action, RPG"
Stela,2019-10-17,3.79,68.0,3,"Indie, Adventure"
Meeple Station,2019-02-07,2.11,,1,"RPG, Casual, Strategy, Simulation, Indie"
Yaga,2019-11-12,3.17,70.0,2,"Indie, Adventure, Action, RPG"
AWAY: Journey to the Unexpected,2019-02-05,2.62,,2,"Adventure, Action, RPG"
Overland,2019-09-18,3.29,,3,"Strategy, Indie"
Edna & Harvey: The Breakout - Anniversary Edition,2019-12-04,4.17,,3,"Family, Indie, Adventure, Puzzle"
Disgaea 4 Complete+,2019-10-29,2.91,,5,"Strategy, RPG"
Merchant of the Skies,2019-05-30,3.08,,4,"Strategy, Indie, RPG, Simulation"
Founders' Fortune,2019-07-19,3.27,,2,"Strategy, Indie, Simulation"
Left Alive,2019-03-05,1.96,38.0,3,"Adventure, Action"
The Mercury Man,2019-09-24,3.34,,2,"Indie, Strategy, Adventure, RPG"
Guilty Gear 20th Anniversary Edition,2019-05-15,3.14,,1,Action
Pretty Angel,2019-12-13,2.81,,2,"Casual, Indie, RPG, Simulation"
Hell is Other Demons,2019-04-18,3.11,,1,"Indie, Action"
Eternity: The Last Unicorn,2019-03-05,2.0,38.0,4,"Action, RPG"
Contra Rogue Corps,2019-09-24,2.17,,2,"Shooter, Action"
Yakuza Remastered Collection,2019-08-20,4.04,84.0,0,"Adventure, Action"
Zup! F,2019-12-11,1.85,,3,"Casual, Indie, Puzzle"
ANOTHER EDEN,2019-01-28,4.0,,1,"Adventure, RPG"
DEAD OR ALIVE 6: Core Fighters,2019-03-01,3.41,74.0,0,"Action, Fighting"
A Year Of Rain,2019-11-06,1.86,,1,"Strategy, Adventure, Action, RPG"
Wolfenstein: Cyberpilot,2019-07-26,2.5,,2,"Shooter, Action"
Valakas Story,2019-12-13,3.27,,2,"Casual, Adventure, Action"
BDSM: Big Drunk Satanic Massacre,2019-10-10,3.29,,2,"Shooter, Indie, Action, RPG"
Talisman: Origins,2019-05-15,0.0,,2,"Strategy, Indie, Board Games, RPG"
My Friend is a Raven,2019-11-19,0.0,,1,"Casual, Indie, Adventure, RPG"
Hentai Killer,2019-09-24,1.86,,2,"Casual, Indie, Adventure"
Astrologaster,2019-05-02,3.58,,3,"Adventure, Puzzle, Casual, Strategy, Indie"
Robothorium,2019-01-31,2.83,,5,"Strategy, RPG"
Double Cross,2019-01-10,3.43,72.0,1,"Indie, Adventure, Action"
OUTBUDDIES,2019-10-14,0.0,,2,"Indie, Adventure, Action"
PlanetSide Arena,2019-09-19,2.0,,1,Action
Destiny 2: Shadowkeep,2019-10-01,3.53,75.0,0,Action
I hate this game,2019-03-07,3.62,,3,Indie
Neptunia Shooter / ネプシューター,2019-05-21,3.25,,1,Action
Metal Wolf Chaos XD,2019-08-05,3.05,,2,Action
Microsoft Maquette,2019-01-15,0.0,,1,Casual
Hello Neighbor Alpha 1,2019-08-01,3.29,,1,"Indie, Strategy, Adventure"
Stellaris: Console Edition,2019-02-28,3.83,79.0,0,Strategy
Star Traders: Frontiers,2019-01-31,3.6,,3,"Strategy, RPG"
SENRAN KAGURA Burst Re:Newal,2019-01-22,3.78,,3,Action
Budget Cuts 2: Mission Insolvency,2019-12-12,3.71,,2,"Indie, Adventure, Action"
Mirror Maker,2019-01-24,1.82,,3,"Indie, RPG, Simulation"
Watchers,2019-10-22,2.5,,1,"Indie, Massively Multiplayer, Action"
NHL 20,2019-09-13,3.33,81.0,0,Sports
Detective Di: The Silk Rose Murders,2019-04-23,0.0,,4,"Indie, Adventure, Puzzle"
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,2019-08-20,3.5,,4,Simulation
Session,2019-09-17,3.58,,0,"Simulation, Sports"
Hello Neighbor Pre-Alpha,2019-08-01,2.62,,1,"Indie, Strategy, Adventure"
Hello Neighbor Alpha 4,2019-08-01,2.27,,1,"Indie, Strategy, Adventure"
Spirit Hunter: NG,2019-10-10,4.14,,4,Adventure
Weedcraft Inc,2019-04-10,3.1,67.0,2,"Strategy, Indie, Simulation"
Nether: The Untold Chapter,2019-05-15,0.0,,0,"Massively Multiplayer, Adventure, Action"
The Long Drive,2019-03-23,4.21,,3,"Racing, Adventure, Action, Casual, Indie"
Hello Neighbor Alpha 2,2019-08-01,3.22,,1,"Indie, Strategy, Adventure"
Hentai Mosaique Vip Room,2019-03-21,0.0,,3,"Casual, Action"
Steel Division 2,2019-06-19,3.85,73.0,5,"Strategy, Indie"
Higurashi When They Cry Hou - Ch.7 Minagoroshi,2019-07-17,4.21,,14,Adventure
Woven,2019-11-15,2.17,,5,"Casual, Indie, Adventure, Action"
Barro 2020,2019-11-05,1.89,,3,"Casual, Racing, Indie"
Mutant Year Zero: Seed of Evil,2019-07-30,3.51,,0,"Strategy, RPG"
Lair of the Clockwork God,2019-08-30,3.43,,2,"Casual, Indie, Adventure, Action"
Lovely Planet 2: April Skies,2019-06-18,2.3,69.0,3,"Indie, Action"
Wet Girl,2019-02-01,2.91,,1,"Casual, Indie, RPG"
Hello Neighbor Alpha 3,2019-08-01,2.86,,1,"Indie, Strategy, Adventure"
Femdom Waifu,2019-03-08,3.75,,1,Indie
Sakura MMO 3,2019-06-07,0.0,,2,Simulation
Batman: Arkham Collection,2019-09-06,4.21,,0,Action
ШХД: ЗИМА / IT'S WINTER,2019-03-07,3.65,,1,"Casual, Indie, Simulation"
Path to Mnemosyne,2019-04-16,0.0,,2,"Indie, Adventure"
Car Mechanic Simulator,2019-02-15,3.83,58.0,0,Simulation
Drift86,2019-04-30,3.6,,3,"Casual, Racing, Indie"
Knightin'+,2019-07-25,2.67,,3,"Indie, Adventure, Action"
Zup! 9,2019-06-24,2.55,,3,"Casual, Indie, Puzzle"
Aftercharge,2019-01-10,2.64,,6,Action
World of Warcraft Classic,2019-08-27,4.13,81.0,0,"Massively Multiplayer, RPG"
Death Crown,2019-08-23,3.75,,1,"Strategy, Indie, Action"
Abandon Ship,2019-10-21,3.4,,3,"Indie, Strategy, Adventure, Action"
Puyo Puyo Champions / ぷよぷよ eスポーツ,2019-05-07,3.64,,2,"Casual, Puzzle"
GRID (2019),2019-10-11,3.23,75.0,0,Racing
The Sojourn,2019-09-29,2.94,,3,"Indie, Adventure"
Marbles on Stream,2019-11-06,0.0,,1,"Casual, Racing, Massively Multiplayer, Simulation"
Super Neptunia RPG,2019-06-19,3.42,,5,"Adventure, Action, RPG"
Down In Bermuda,2019-08-06,3.39,,3,"Casual, Indie, Adventure, Puzzle"
The Curious Tale of the Stolen Pets,2019-11-19,0.0,,2,"Casual, Indie, Adventure"
Zup! XS,2019-04-18,2.57,,3,"Casual, Indie, Puzzle"
