name,release_date,rating,metacritic,playtime,genres
Star Wars: Dark Forces,1995-02-28,3.67,,1,"Shooter, Action"
NiGHTS into dreams...,1995-02-11,3.05,,1,"Platformer, Adventure"
Ultimate Doom,1995-12-31,4.43,,1,"Shooter, Action"
"I Have No Mouth, and I Must Scream",1995-10-31,3.31,,3,"Adventure, Puzzle"
Worms,1995-01-01,3.78,,1,"Strategy, Arcade, Action"
Master Levels for Doom II,1995-08-03,3.86,,1,"Shooter, Action"
X-COM: Terror From the Deep,1995-03-31,3.47,,1,Strategy
Flight of the Amazon Queen,1995-01-01,2.34,,1,"Adventure, Puzzle"
Chrono Trigger,1995-03-11,4.34,82.0,6,RPG
HeXen: Beyond Heretic,1995-10-30,3.78,,1,"Shooter, Action"
Slipstream 5000,1995-12-30,2.0,,4,"Racing, Arcade, Action, Sports"
The Dig,1995-11-30,3.9,,2,Adventure
Comix Zone,1995-01-01,4.32,,0,Action
Ultimate Mortal Kombat 3,1995-11-06,4.43,62.0,0,Fighting
Phantasmagoria,1995-07-30,3.57,,1,Adventure
Earthworm Jim 2,1995-09-18,4.3,45.0,1,"Adventure, Action"
Warcraft II: Tides of Darkness,1995-12-09,4.36,,0,Strategy
Super Mario World 2: Yoshi's Island,1995-08-05,4.34,91.0,0,Platformer
Warhammer: Shadow of the Horned Rat,1995-11-11,2.54,,1,Strategy
Mortal Kombat 3,1995-01-01,4.25,,0,"Arcade, Fighting"
The 11th Hour,1995-12-12,3.45,,1,Adventure
Donkey Kong Country 2: Diddy's Kong Quest,1995-11-20,4.38,,10,Platformer
Terminal Velocity,1995-04-06,3.54,,1,"Racing, Shooter, Action, Casual, Simulation"
Realms of Chaos,1995-11-10,2.58,,1,"Adventure, Action"
Full Throttle,1995-04-30,4.38,86.0,0,Adventure
Heroes of Might and Magic: A Strategic Quest,1995-08-31,4.01,,1,Strategy
Rayman,1995-09-01,3.84,84.0,3,"Arcade, Adventure, Action"
Command & Conquer,1995-08-31,4.31,94.0,0,Strategy
Descent (1996),1995-03-17,4.12,,1,"Shooter, Action"
Tekken 2 (1995),1995-09-29,4.0,89.0,0,Fighting
Killing Time,1995-12-31,3.06,,4,"Shooter, Indie, Action, RPG"
Crusader: No Remorse,1995-08-31,3.69,,1,"Adventure, Action"
Gabriel Knight 2: The Beast Within,1995-06-29,3.53,,1,Adventure
Putt-Putt Saves the Zoo,1995-03-30,4.16,,3,"Casual, Educational, Adventure"
Chaos Control,1995-01-01,0.0,,1,"Arcade, Adventure, Action"
Gex,1995-01-05,4.16,,1,"Platformer, Action"
3D Pinball: Space Cadet,1995-01-01,4.05,,0,"Arcade, Action"
Wing Commander 4: The Price of Freedom,1995-12-30,3.88,,1,"Shooter, Action"
WWF WrestleMania: The Arcade Game,1995-01-01,4.25,,0,"Arcade, Fighting"
Twisted Metal (1995),1995-11-05,3.8,,0,Simulation
Suikoden,1995-12-15,4.16,,19,RPG
Stonekeep,1995-11-07,3.69,,1,"Adventure, Action, RPG"
Fields of Battle,1995-01-01,0.0,,1,"Strategy, Action, Sports"
Batman Forever,1995-01-01,3.38,,0,"Arcade, Action, Fighting"
Mega Man X3 (1995),1995-12-01,3.97,,0,Action
Tactics Ogre: Let Us Cling Together,1995-10-06,4.38,87.0,42,Strategy
Judge Dredd,1995-01-01,3.43,,1,"Arcade, Action"
Clock Tower (1995),1995-09-14,4.1,,0,"Adventure, Action"
Mega Man 7 (1995),1995-03-24,4.11,,0,"Platformer, Action"
Destruction Derby,1995-01-01,3.95,,0,"Racing, Action"
Kirby's Dream Land 2 (1995),1995-03-21,3.94,,0,"Platformer, Adventure"
Tales of Phantasia,1995-12-15,4.0,56.0,0,RPG
Ristar,1995-02-16,4.16,,1,"Platformer, Action"
Magic Carpet 2: The Netherworlds,1995-09-07,3.89,,3,"Shooter, Action"
Pitfall: The Mayan Adventure,1995-01-01,4.08,,0,"Platformer, Arcade"
